# wave[microns]    norm_trans
  1.9000601E+00    0.0000000E+00
  1.9004200E+00    0.0000000E+00
  1.9007800E+00    1.7365006E-04
  1.9011400E+00    6.0623663E-04
  1.9015000E+00    1.1844867E-03
  1.9018600E+00    1.4210657E-03
  1.9022300E+00    1.3124838E-03
  1.9025900E+00    1.0082539E-03
  1.9029500E+00    6.9305423E-04
  1.9033099E+00    1.0430132E-03
  1.9036700E+00    1.5514842E-03
  1.9040400E+00    1.9692488E-03
  1.9044000E+00    1.6751505E-03
  1.9047600E+00    1.1450530E-03
  1.9051200E+00    6.1525096E-04
  1.9054900E+00    2.7426548E-04
  1.9058501E+00    2.2998934E-04
  1.9062099E+00    1.4941811E-04
  1.9065800E+00    8.8754758E-05
  1.9069400E+00    1.0122086E-04
  1.9073000E+00    3.1095842E-04
  1.9076700E+00    7.1489683E-04
  1.9080300E+00    1.0905132E-03
  1.9084001E+00    1.0866277E-03
  1.9087600E+00    9.4744266E-04
  1.9091300E+00    9.0106460E-04
  1.9094900E+00    1.0938791E-03
  1.9098500E+00    1.3210095E-03
  1.9102200E+00    1.4560887E-03
  1.9105800E+00    1.4364911E-03
  1.9109499E+00    1.3674113E-03
  1.9113100E+00    1.1492589E-03
  1.9116800E+00    1.0729494E-03
  1.9120500E+00    1.1638888E-03
  1.9124100E+00    1.2265915E-03
  1.9127800E+00    8.8629045E-04
  1.9131401E+00    5.5541506E-04
  1.9135100E+00    3.2279763E-04
  1.9138800E+00    3.8766701E-04
  1.9142400E+00    6.0944108E-04
  1.9146100E+00    8.7948475E-04
  1.9149801E+00    1.0159315E-03
  1.9153399E+00    8.8623585E-04
  1.9157100E+00    7.5819303E-04
  1.9160800E+00    6.8448664E-04
  1.9164400E+00    6.4098689E-04
  1.9168100E+00    9.5790182E-04
  1.9171799E+00    1.4024799E-03
  1.9175500E+00    1.9440358E-03
  1.9179100E+00    2.4906388E-03
  1.9182800E+00    2.9493715E-03
  1.9186500E+00    3.1631931E-03
  1.9190201E+00    2.9463365E-03
  1.9193900E+00    1.9596887E-03
  1.9197500E+00    1.0737394E-03
  1.9201200E+00    4.7285797E-04
  1.9204900E+00    2.3422825E-04
  1.9208601E+00    1.6596112E-04
  1.9212300E+00    4.2765307E-05
  1.9216000E+00    0.0000000E+00
  1.9219700E+00    0.0000000E+00
  1.9223400E+00    2.6408938E-04
  1.9227099E+00    5.5249705E-04
  1.9230800E+00    6.1907270E-04
  1.9234500E+00    5.2882894E-04
  1.9238200E+00    4.2891488E-04
  1.9241900E+00    5.4494228E-04
  1.9245600E+00    9.8541100E-04
  1.9249300E+00    1.9840491E-03
  1.9253000E+00    2.6054727E-03
  1.9256700E+00    2.4652213E-03
  1.9260401E+00    1.6241563E-03
  1.9264100E+00    6.3894183E-04
  1.9267800E+00    2.8068469E-05
  1.9271500E+00    0.0000000E+00
  1.9275301E+00    3.6790247E-05
  1.9279000E+00    6.2861230E-04
  1.9282700E+00    1.1973545E-03
  1.9286400E+00    1.5209058E-03
  1.9290100E+00    1.7344316E-03
  1.9293801E+00    1.6684551E-03
  1.9297600E+00    1.1065026E-03
  1.9301300E+00    7.9571351E-04
  1.9305000E+00    7.3986419E-04
  1.9308701E+00    9.6390152E-04
  1.9312500E+00    1.3536568E-03
  1.9316200E+00    1.8156178E-03
  1.9319900E+00    2.3608569E-03
  1.9323699E+00    2.7948995E-03
  1.9327400E+00    2.7945926E-03
  1.9331100E+00    2.4452941E-03
  1.9334900E+00    1.8958719E-03
  1.9338599E+00    1.2920907E-03
  1.9342400E+00    1.1507821E-03
  1.9346100E+00    1.3025942E-03
  1.9349800E+00    1.4841094E-03
  1.9353600E+00    1.2295130E-03
  1.9357300E+00    7.1723055E-04
  1.9361100E+00    2.8116777E-04
  1.9364800E+00    1.9184932E-04
  1.9368600E+00    4.6103811E-04
  1.9372300E+00    1.0076878E-03
  1.9376100E+00    1.5602825E-03
  1.9379801E+00    1.7816747E-03
  1.9383600E+00    1.9162311E-03
  1.9387400E+00    1.7258378E-03
  1.9391100E+00    1.3273070E-03
  1.9394900E+00    9.1912522E-04
  1.9398600E+00    8.2215987E-04
  1.9402400E+00    7.6331524E-04
  1.9406199E+00    7.6487823E-04
  1.9409900E+00    7.8726531E-04
  1.9413700E+00    8.0755498E-04
  1.9417500E+00    8.7769661E-04
  1.9421200E+00    8.8525598E-04
  1.9425000E+00    7.8849407E-04
  1.9428800E+00    5.5589364E-04
  1.9432600E+00    4.0379397E-04
