# wave[microns]    norm_trans
  2.0004001E+00    0.0000000E+00
  2.0007999E+00    4.0066661E-05
  2.0012000E+00    5.6784633E-05
  2.0016000E+00    5.4116215E-05
  2.0020001E+00    3.4532728E-05
  2.0023999E+00    1.6323624E-05
  2.0028000E+00    0.0000000E+00
  2.0032101E+00    0.0000000E+00
  2.0036099E+00    0.0000000E+00
  2.0040100E+00    0.0000000E+00
  2.0044100E+00    0.0000000E+00
  2.0048101E+00    0.0000000E+00
  2.0052099E+00    0.0000000E+00
  2.0056200E+00    1.5111699E-05
  2.0060201E+00    3.1270363E-05
  2.0064199E+00    5.0378720E-05
  2.0068200E+00    5.3936950E-05
  2.0072300E+00    3.8186197E-05
  2.0076301E+00    4.0373441E-05
  2.0080299E+00    2.1524098E-05
  2.0084400E+00    0.0000000E+00
  2.0088401E+00    0.0000000E+00
  2.0092399E+00    0.0000000E+00
  2.0096500E+00    0.0000000E+00
  2.0100501E+00    0.0000000E+00
  2.0104499E+00    0.0000000E+00
  2.0108600E+00    1.9365307E-05
  2.0112600E+00    3.8201528E-05
  2.0116701E+00    1.8963739E-05
  2.0120699E+00    1.8855091E-05
  2.0124800E+00    0.0000000E+00
  2.0128801E+00    1.9011502E-05
  2.0132899E+00    5.7548110E-05
  2.0136900E+00    9.6107273E-05
  2.0141001E+00    9.7494478E-05
  2.0144999E+00    7.9309844E-05
  2.0149100E+00    2.0248046E-05
  2.0153201E+00    0.0000000E+00
  2.0157199E+00    0.0000000E+00
  2.0161300E+00    0.0000000E+00
  2.0165401E+00    2.1285723E-05
  2.0169401E+00    1.0665048E-04
  2.0173500E+00    1.7438843E-04
  2.0177600E+00    2.2135883E-04
  2.0181601E+00    2.2588458E-04
  2.0185699E+00    2.0925581E-04
  2.0189800E+00    1.4276382E-04
  2.0193901E+00    4.9467970E-05
  2.0197899E+00    0.0000000E+00
  2.0202000E+00    0.0000000E+00
  2.0206101E+00    0.0000000E+00
  2.0210199E+00    0.0000000E+00
  2.0214300E+00    0.0000000E+00
  2.0218401E+00    0.0000000E+00
  2.0222399E+00    0.0000000E+00
  2.0226500E+00    2.9204592E-05
  2.0230601E+00    5.9331578E-05
  2.0234699E+00    1.1914890E-04
  2.0238800E+00    1.5093714E-04
  2.0242901E+00    1.5313516E-04
  2.0246999E+00    9.3910450E-05
  2.0251100E+00    3.1668835E-05
  2.0255201E+00    0.0000000E+00
  2.0259299E+00    0.0000000E+00
  2.0263400E+00    0.0000000E+00
  2.0267501E+00    3.3043660E-05
  2.0271599E+00    1.3162020E-04
