# wave[microns]    norm_trans
  3.0000001E-01    1.4473873E-05
  3.4300002E-01    0.0000000E+00
  3.4550002E-01    1.5921262E-04
  3.4650001E-01    3.7632074E-04
  3.4700000E-01    5.3553336E-04
  3.4750003E-01    8.1053696E-04
  3.4800002E-01    1.1723838E-03
  3.4850001E-01    1.6934432E-03
  3.4900001E-01    2.3881893E-03
  3.4950003E-01    3.2566215E-03
  3.5000002E-01    4.3855840E-03
  3.5050002E-01    5.8040232E-03
  3.5100001E-01    7.5553623E-03
  3.5150000E-01    9.7553916E-03
  3.5200003E-01    1.2317267E-02
  3.5250002E-01    1.5110725E-02
  3.5300002E-01    1.8352872E-02
  3.5350001E-01    2.2362135E-02
  3.5400000E-01    2.7022723E-02
  3.5450003E-01    3.2349110E-02
  3.5500002E-01    3.8572874E-02
  3.5550001E-01    4.5520332E-02
  3.5600001E-01    5.3177014E-02
  3.5650003E-01    6.1571859E-02
  3.5700002E-01    7.0444345E-02
  3.5750002E-01    8.0373421E-02
  3.5800001E-01    9.0910397E-02
  3.5850000E-01    1.0231581E-01
  3.5900003E-01    1.1441597E-01
  3.5950002E-01    1.2696482E-01
  3.6000001E-01    1.4004920E-01
  3.6050001E-01    1.5378492E-01
  3.6100003E-01    1.6779561E-01
  3.6150002E-01    1.8234187E-01
  3.6200002E-01    1.9726443E-01
  3.6250001E-01    2.1208568E-01
  3.6300001E-01    2.2728324E-01
  3.6350003E-01    2.4269791E-01
  3.6400002E-01    2.5859025E-01
  3.6450002E-01    2.7456939E-01
  3.6500001E-01    2.9072222E-01
  3.6550000E-01    3.0684611E-01
  3.6600003E-01    3.2270950E-01
  3.6650002E-01    3.3854392E-01
  3.6700001E-01    3.5489938E-01
  3.6750001E-01    3.7077725E-01
  3.6800003E-01    3.8684323E-01
  3.6850002E-01    4.0259078E-01
  3.6900002E-01    4.1799098E-01
  3.6950001E-01    4.3327540E-01
  3.7000000E-01    4.4851640E-01
  3.7050003E-01    4.6367055E-01
  3.7100002E-01    4.7885364E-01
  3.7150002E-01    4.9345782E-01
  3.7200001E-01    5.0764221E-01
  3.7250003E-01    5.2155155E-01
  3.7300003E-01    5.3562015E-01
  3.7350002E-01    5.4880589E-01
  3.7400001E-01    5.6115210E-01
  3.7450001E-01    5.7349831E-01
  3.7500003E-01    5.8596033E-01
  3.7550002E-01    5.9837890E-01
  3.7600002E-01    6.1065274E-01
  3.7650001E-01    6.2311476E-01
  3.7700000E-01    6.3562018E-01
  3.7750003E-01    6.4777821E-01
  3.7800002E-01    6.5963233E-01
  3.7850001E-01    6.7111009E-01
  3.7900001E-01    6.8205237E-01
  3.7950003E-01    6.9296563E-01
  3.8000003E-01    7.0379215E-01
  3.8050002E-01    7.1458966E-01
  3.8100001E-01    7.2519898E-01
  3.8150001E-01    7.3524386E-01
  3.8200003E-01    7.4499929E-01
  3.8250002E-01    7.5426257E-01
  3.8300002E-01    7.6352578E-01
  3.8350001E-01    7.7267331E-01
  3.8400000E-01    7.8173393E-01
  3.8450003E-01    7.9053408E-01
  3.8500002E-01    7.9897231E-01
  3.8550001E-01    8.0716455E-01
  3.8600001E-01    8.1511068E-01
  3.8650003E-01    8.2328844E-01
  3.8700002E-01    8.3064109E-01
  3.8750002E-01    8.3864516E-01
  3.8800001E-01    8.4570843E-01
  3.8850001E-01    8.5291648E-01
  3.8900003E-01    8.5945863E-01
  3.8950002E-01    8.6649293E-01
  3.9000002E-01    8.7297726E-01
  3.9050001E-01    8.7960631E-01
  3.9100003E-01    8.8546818E-01
  3.9150003E-01    8.9140248E-01
  3.9200002E-01    8.9687359E-01
  3.9250001E-01    9.0205520E-01
  3.9300001E-01    9.0756983E-01
  3.9350003E-01    9.1238964E-01
  3.9400002E-01    9.1757125E-01
  3.9450002E-01    9.2208707E-01
  3.9500001E-01    9.2590821E-01
  3.9550000E-01    9.3004775E-01
  3.9600003E-01    9.3363726E-01
  3.9650002E-01    9.3766099E-01
  3.9700001E-01    9.4140971E-01
  3.9750001E-01    9.4499922E-01
  3.9800003E-01    9.4837165E-01
  3.9850003E-01    9.5165724E-01
  3.9900002E-01    9.5527571E-01
  3.9950001E-01    9.5806921E-01
  4.0000001E-01    9.6074677E-01
  4.0050003E-01    9.6327978E-01
  4.0100002E-01    9.6643507E-01
  4.0150002E-01    9.6844691E-01
  4.0200001E-01    9.7095090E-01
  4.0250003E-01    9.7283250E-01
  4.0300003E-01    9.7509044E-01
  4.0350002E-01    9.7708780E-01
  4.0400001E-01    9.7907072E-01
  4.0450001E-01    9.8059046E-01
  4.0500003E-01    9.8264581E-01
  4.0550002E-01    9.8458529E-01
  4.0600002E-01    9.8623526E-01
  4.0650001E-01    9.8755240E-01
  4.0700001E-01    9.8915899E-01
  4.0750003E-01    9.9025905E-01
  4.0800002E-01    9.9177879E-01
  4.0850002E-01    9.9286437E-01
  4.0900001E-01    9.9397880E-01
  4.0950003E-01    9.9500644E-01
  4.1000003E-01    9.9562883E-01
  4.1050002E-01    9.9656969E-01
  4.1100001E-01    9.9688810E-01
  4.1150001E-01    9.9709070E-01
  4.1200003E-01    9.9742359E-01
  4.1250002E-01    9.9806046E-01
  4.1300002E-01    9.9829203E-01
  4.1350001E-01    9.9856704E-01
  4.1500002E-01    9.9876970E-01
  4.1550002E-01    9.9900126E-01
  4.1600001E-01    9.9914598E-01
  4.1700003E-01    9.9965256E-01
  4.1750002E-01    1.0000000E+00
  4.1800001E-01    9.9984074E-01
  4.1850001E-01    9.9968159E-01
  4.1900003E-01    9.9994200E-01
  4.2000002E-01    9.9943542E-01
  4.2050001E-01    9.9903023E-01
  4.2100003E-01    9.9874067E-01
  4.2150003E-01    9.9795920E-01
  4.2200002E-01    9.9701828E-01
  4.2250001E-01    9.9557096E-01
  4.2300001E-01    9.9423933E-01
  4.2350003E-01    9.9232876E-01
  4.2400002E-01    9.9041820E-01
  4.2450002E-01    9.8826164E-01
  4.2500001E-01    9.8624980E-01
  4.2550001E-01    9.8428136E-01
  4.2600003E-01    9.8238528E-01
  4.2650002E-01    9.8046023E-01
  4.2700002E-01    9.7885358E-01
  4.2750001E-01    9.7771019E-01
  4.2800003E-01    9.7552466E-01
  4.2850003E-01    9.7370100E-01
  4.2900002E-01    9.7161669E-01
  4.2950001E-01    9.7002453E-01
  4.3000001E-01    9.6789694E-01
  4.3050003E-01    9.6579820E-01
  4.3100002E-01    9.6329421E-01
  4.3150002E-01    9.6077573E-01
  4.3200001E-01    9.5838761E-01
  4.3250003E-01    9.5539153E-01
  4.3300003E-01    9.5291650E-01
  4.3350002E-01    9.4999278E-01
  4.3400002E-01    9.4709790E-01
  4.3450001E-01    9.4415981E-01
  4.3500003E-01    9.4145310E-01
  4.3550003E-01    9.3890572E-01
  4.3600002E-01    9.3601096E-01
  4.3650001E-01    9.3333328E-01
  4.3700001E-01    9.3082929E-01
  4.3750003E-01    9.2810822E-01
  4.3800002E-01    9.2505419E-01
  4.3850002E-01    9.2259365E-01
  4.3900001E-01    9.2037916E-01
  4.3950003E-01    9.1744095E-01
  4.4000003E-01    9.1490805E-01
  4.4050002E-01    9.1223037E-01
  4.4100001E-01    9.0913296E-01
  4.4150001E-01    9.0615135E-01
  4.4200003E-01    9.0311188E-01
  4.4250003E-01    8.9958018E-01
  4.4300002E-01    8.9648283E-01
  4.4350001E-01    8.9292222E-01
  4.4400004E-01    8.8884056E-01
  4.4450003E-01    8.8491815E-01
  4.4500002E-01    8.8088000E-01
  4.4550002E-01    8.7603122E-01
  4.4600001E-01    8.7163115E-01
  4.4650003E-01    8.6668110E-01
  4.4700003E-01    8.6134022E-01
  4.4750002E-01    8.5641915E-01
  4.4800001E-01    8.5125196E-01
  4.4850001E-01    8.4601247E-01
  4.4900003E-01    8.4081626E-01
  4.4950002E-01    8.3531624E-01
  4.5000002E-01    8.3029377E-01
  4.5050001E-01    8.2499629E-01
  4.5100003E-01    8.1993049E-01
  4.5150003E-01    8.1483567E-01
  4.5200002E-01    8.1017512E-01
  4.5250002E-01    8.0513817E-01
  4.5300001E-01    8.0039078E-01
  4.5350003E-01    7.9523808E-01
  4.5400003E-01    7.9001302E-01
  4.5450002E-01    7.8499055E-01
  4.5500001E-01    7.7973658E-01
  4.5550004E-01    7.7436674E-01
  4.5600003E-01    7.6886666E-01
  4.5650002E-01    7.6271528E-01
  4.5700002E-01    7.5670856E-01
  4.5750001E-01    7.5052828E-01
  4.5800003E-01    7.4401504E-01
  4.5850003E-01    7.3732805E-01
  4.5900002E-01    7.3082936E-01
  4.5950001E-01    7.2359240E-01
  4.6000001E-01    7.1676069E-01
  4.6050003E-01    7.0978433E-01
  4.6100003E-01    7.0280790E-01
  4.6150002E-01    6.9538277E-01
  4.6200001E-01    6.8749458E-01
