# wave[microns]    norm_trans
  3.0000001E-01    0.0000000E+00
  6.8550003E-01    2.2502249E-05
  6.8800002E-01    1.3501350E-04
  6.8900001E-01    2.4752476E-04
  6.9000006E-01    4.1629162E-04
  6.9050002E-01    5.4005400E-04
  6.9100004E-01    7.0882088E-04
  6.9150001E-01    9.0008997E-04
  6.9200003E-01    1.1588659E-03
  6.9250005E-01    1.4738973E-03
  6.9300002E-01    1.8676866E-03
  6.9350004E-01    2.3402339E-03
  6.9400001E-01    2.9365437E-03
  6.9450003E-01    3.6453644E-03
  6.9500005E-01    4.4779475E-03
  6.9550002E-01    5.4567959E-03
  6.9600004E-01    6.6269129E-03
  6.9650000E-01    8.0108009E-03
  6.9700003E-01    9.5634563E-03
  6.9750005E-01    1.1284878E-02
  6.9800001E-01    1.3242573E-02
  6.9850004E-01    1.5414041E-02
  6.9900006E-01    1.7945545E-02
  6.9950002E-01    2.0893339E-02
  7.0000005E-01    2.4234923E-02
  7.0050001E-01    2.8060306E-02
  7.0100003E-01    3.2290727E-02
  7.0150006E-01    3.6971197E-02
  7.0200002E-01    4.2112961E-02
  7.0250005E-01    4.7738522E-02
  7.0300001E-01    5.4016650E-02
  7.0350003E-01    6.0823582E-02
  7.0400006E-01    6.7968048E-02
  7.0450002E-01    7.5798824E-02
  7.0500004E-01    8.4135912E-02
  7.0550001E-01    9.2889287E-02
  7.0600003E-01    1.0226147E-01
  7.0650005E-01    1.1226372E-01
  7.0700002E-01    1.2271602E-01
  7.0750004E-01    1.3352835E-01
  7.0800000E-01    1.4468947E-01
  7.0850003E-01    1.5618812E-01
  7.0900005E-01    1.6809180E-01
  7.0950001E-01    1.8049054E-01
  7.1000004E-01    1.9327183E-01
  7.1050006E-01    2.0613186E-01
  7.1100003E-01    2.1940820E-01
  7.1150005E-01    2.3279703E-01
  7.1200001E-01    2.4615210E-01
  7.1250004E-01    2.5996849E-01
  7.1300006E-01    2.7403238E-01
  7.1350002E-01    2.8817508E-01
  7.1400005E-01    3.0267775E-01
  7.1450001E-01    3.1739423E-01
  7.1500003E-01    3.3198693E-01
  7.1550006E-01    3.4638837E-01
  7.1600002E-01    3.6099234E-01
  7.1650004E-01    3.7568629E-01
  7.1700001E-01    3.9025649E-01
  7.1750003E-01    4.0491673E-01
  7.1800005E-01    4.1901439E-01
  7.1850002E-01    4.3323582E-01
  7.1900004E-01    4.4662464E-01
  7.1950001E-01    4.5955220E-01
  7.2000003E-01    4.7207472E-01
  7.2050005E-01    4.8533976E-01
  7.2100002E-01    4.9878487E-01
  7.2150004E-01    5.1200491E-01
  7.2200006E-01    5.2549505E-01
  7.2250003E-01    5.3887260E-01
  7.2300005E-01    5.5201393E-01
  7.2350001E-01    5.6487399E-01
  7.2400004E-01    5.7753152E-01
  7.2450006E-01    5.9025651E-01
  7.2500002E-01    6.0223895E-01
  7.2550005E-01    6.1436766E-01
  7.2600001E-01    6.2618136E-01
  7.2650003E-01    6.3801754E-01
  7.2700006E-01    6.4917868E-01
  7.2750002E-01    6.6021597E-01
  7.2800004E-01    6.7135465E-01
  7.2850001E-01    6.8188572E-01
  7.2900003E-01    6.9259679E-01
  7.2950006E-01    7.0321780E-01
  7.3000002E-01    7.1305126E-01
  7.3050004E-01    7.2260350E-01
  7.3100001E-01    7.3222321E-01
  7.3150003E-01    7.4138165E-01
  7.3200005E-01    7.5002247E-01
  7.3250002E-01    7.5885463E-01
  7.3300004E-01    7.6757419E-01
  7.3350006E-01    7.7626008E-01
  7.3400003E-01    7.8412461E-01
  7.3450005E-01    7.9197794E-01
  7.3500001E-01    8.0004501E-01
  7.3550004E-01    8.0740321E-01
  7.3600006E-01    8.1535780E-01
  7.3650002E-01    8.2254720E-01
  7.3700005E-01    8.2983792E-01
  7.3750001E-01    8.3658868E-01
  7.3800004E-01    8.4356427E-01
  7.3850006E-01    8.5003370E-01
  7.3900002E-01    8.5690814E-01
  7.3950005E-01    8.6309630E-01
  7.4000001E-01    8.6901438E-01
  7.4050003E-01    8.7449366E-01
  7.4100006E-01    8.7978172E-01
  7.4150002E-01    8.8476592E-01
  7.4200004E-01    8.9006525E-01
  7.4250001E-01    8.9502698E-01
  7.4300003E-01    9.0012372E-01
  7.4350005E-01    9.0502924E-01
  7.4400002E-01    9.1011477E-01
  7.4450004E-01    9.1477269E-01
  7.4500006E-01    9.1914940E-01
  7.4550003E-01    9.2379612E-01
  7.4600005E-01    9.2741895E-01
  7.4650002E-01    9.3154812E-01
  7.4700004E-01    9.3528348E-01
  7.4750006E-01    9.3890637E-01
  7.4800003E-01    9.4233793E-01
  7.4850005E-01    9.4599456E-01
  7.4900001E-01    9.4903243E-01
  7.4950004E-01    9.5199144E-01
  7.5000006E-01    9.5438790E-01
  7.5050002E-01    9.5726818E-01
  7.5100005E-01    9.5940596E-01
  7.5150001E-01    9.6179116E-01
  7.5200003E-01    9.6401888E-01
  7.5250006E-01    9.6629161E-01
  7.5300002E-01    9.6821553E-01
  7.5350004E-01    9.6950942E-01
  7.5400001E-01    9.7137707E-01
  7.5450003E-01    9.7278351E-01
  7.5500005E-01    9.7415614E-01
  7.5550002E-01    9.7501123E-01
  7.5600004E-01    9.7615880E-01
  7.5650007E-01    9.7741896E-01
  7.5700003E-01    9.7866786E-01
  7.5750005E-01    9.7970295E-01
  7.5800002E-01    9.8043430E-01
  7.5850004E-01    9.8117685E-01
  7.5950003E-01    9.8171693E-01
  7.6000005E-01    9.8238069E-01
  7.6050001E-01    9.8290956E-01
  7.6100004E-01    9.8358458E-01
