# wave[microns]    norm_trans
  3.0000001E-01    1.1182430E-05
  4.5950001E-01    6.7094581E-05
  4.6250004E-01    1.7891888E-04
  4.6350002E-01    2.9074319E-04
  4.6450001E-01    4.5847966E-04
  4.6500003E-01    5.8148638E-04
  4.6550003E-01    7.2685798E-04
  4.6600002E-01    9.2814170E-04
  4.6650001E-01    1.2077024E-03
  4.6700001E-01    1.5655402E-03
  4.6750003E-01    2.0240198E-03
  4.6800002E-01    2.5719590E-03
  4.6850002E-01    3.2876346E-03
  4.6900001E-01    4.1934112E-03
  4.6950004E-01    5.3452016E-03
  4.7000003E-01    6.7653703E-03
  4.7050002E-01    8.5210120E-03
  4.7100002E-01    1.0656857E-02
  4.7150001E-01    1.3239997E-02
  4.7200003E-01    1.6404625E-02
  4.7250003E-01    2.0206651E-02
  4.7300002E-01    2.4713170E-02
  4.7350001E-01    2.9935366E-02
  4.7400004E-01    3.6085702E-02
  4.7450003E-01    4.3253638E-02
  4.7500002E-01    5.1349718E-02
  4.7550002E-01    6.0597587E-02
  4.7600001E-01    7.1120262E-02
  4.7650003E-01    8.2783528E-02
  4.7700003E-01    9.5699236E-02
  4.7750002E-01    1.0986738E-01
  4.7800002E-01    1.2516494E-01
  4.7850001E-01    1.4164785E-01
  4.7900003E-01    1.5956210E-01
  4.7950003E-01    1.7889652E-01
  4.8000002E-01    1.9883479E-01
  4.8050001E-01    2.1948874E-01
  4.8100004E-01    2.4108201E-01
  4.8150003E-01    2.6320085E-01
  4.8200002E-01    2.8421262E-01
  4.8250002E-01    3.0594012E-01
  4.8300001E-01    3.2850623E-01
  4.8350003E-01    3.5191110E-01
  4.8400003E-01    3.7572965E-01
  4.8450002E-01    3.9978307E-01
  4.8500001E-01    4.2421666E-01
  4.8550004E-01    4.4884038E-01
  4.8600003E-01    4.7267014E-01
  4.8650002E-01    4.9616441E-01
  4.8700002E-01    5.1892066E-01
  4.8750001E-01    5.4165459E-01
  4.8800004E-01    5.6363922E-01
  4.8850003E-01    5.8538908E-01
  4.8900002E-01    6.0634494E-01
  4.8950002E-01    6.2670815E-01
  4.9000001E-01    6.4563996E-01
  4.9050003E-01    6.6386735E-01
  4.9100003E-01    6.8143493E-01
  4.9150002E-01    6.9815266E-01
  4.9200001E-01    7.1423304E-01
  4.9250004E-01    7.2976542E-01
  4.9300003E-01    7.4449265E-01
  4.9350002E-01    7.5860494E-01
  4.9400002E-01    7.7159888E-01
  4.9450001E-01    7.8458166E-01
  4.9500003E-01    7.9679286E-01
  4.9550003E-01    8.0840027E-01
  4.9600002E-01    8.1944847E-01
  4.9650002E-01    8.2950151E-01
  4.9700001E-01    8.3938676E-01
  4.9750003E-01    8.4876877E-01
  4.9800003E-01    8.5760289E-01
  4.9850002E-01    8.6606807E-01
  4.9900001E-01    8.7419766E-01
  4.9950004E-01    8.8129854E-01
  5.0000000E-01    8.8838816E-01
  5.0050002E-01    8.9504176E-01
  5.0100005E-01    9.0161699E-01
  5.0150001E-01    9.0745425E-01
  5.0200003E-01    9.1322434E-01
  5.0250000E-01    9.1861427E-01
  5.0300002E-01    9.2364639E-01
  5.0350004E-01    9.2837650E-01
  5.0400001E-01    9.3221211E-01
  5.0450003E-01    9.3636084E-01
  5.0500000E-01    9.4059891E-01
  5.0550002E-01    9.4444567E-01
  5.0600004E-01    9.4839311E-01
  5.0650001E-01    9.5152420E-01
