# wave[microns]    norm_trans
  1.1400000E+01    2.2057621E-02
  1.1405000E+01    2.2641772E-02
  1.1410000E+01    2.3260977E-02
  1.1415000E+01    2.3845127E-02
  1.1420000E+01    2.4394233E-02
  1.1425000E+01    2.4884922E-02
  1.1430000E+01    2.5352245E-02
  1.1435000E+01    2.5854615E-02
  1.1440000E+01    2.6415402E-02
  1.1445000E+01    2.7093019E-02
  1.1450000E+01    2.7910834E-02
  1.1455000E+01    2.8857162E-02
  1.1460000E+01    2.9896954E-02
  1.1465000E+01    3.1006847E-02
  1.1470000E+01    3.2163467E-02
  1.1475000E+01    3.3413555E-02
  1.1480000E+01    3.4838893E-02
  1.1485000E+01    3.6567986E-02
  1.1490000E+01    3.8600836E-02
  1.1495000E+01    4.0785566E-02
  1.1500000E+01    4.2923570E-02
  1.1505000E+01    4.4757809E-02
  1.1510000E+01    4.6183143E-02
  1.1515000E+01    4.7199570E-02
  1.1520000E+01    4.7888871E-02
  1.1525000E+01    4.8414607E-02
  1.1530000E+01    4.8928663E-02
  1.1535000E+01    4.9606279E-02
  1.1540000E+01    5.0634392E-02
  1.1545000E+01    5.2153189E-02
  1.1550000E+01    5.4279502E-02
  1.1555000E+01    5.7083443E-02
  1.1560000E+01    6.0541626E-02
  1.1565000E+01    6.4525545E-02
  1.1570000E+01    6.8836600E-02
  1.1575000E+01    7.3217750E-02
  1.1580000E+01    7.7411965E-02
  1.1585000E+01    8.1547767E-02
  1.1590000E+01    8.6337827E-02
  1.1595000E+01    9.1992430E-02
  1.1600000E+01    9.7390004E-02
  1.1605000E+01    1.0174778E-01
  1.1610000E+01    1.0605884E-01
  1.1615000E+01    1.1218076E-01
  1.1620000E+01    1.2017197E-01
  1.1625000E+01    1.2913288E-01
  1.1630000E+01    1.4085099E-01
  1.1635000E+01    1.5477720E-01
  1.1640000E+01    1.5895973E-01
  1.1645000E+01    1.6983667E-01
  1.1650000E+01    1.8441713E-01
  1.1655000E+01    2.0738602E-01
  1.1660000E+01    2.1762040E-01
  1.1665000E+01    2.1755029E-01
  1.1670000E+01    2.2722386E-01
  1.1675000E+01    2.4494706E-01
  1.1680000E+01    2.8490314E-01
  1.1685000E+01    3.0533683E-01
  1.1690000E+01    3.1404069E-01
  1.1695000E+01    2.9916817E-01
  1.1700000E+01    3.1263873E-01
  1.1705000E+01    3.3750030E-01
  1.1710000E+01    3.7036473E-01
  1.1715000E+01    3.8766733E-01
  1.1720000E+01    4.0278524E-01
  1.1725000E+01    4.2691076E-01
  1.1730000E+01    4.4478583E-01
  1.1735000E+01    4.6246231E-01
  1.1740000E+01    4.8450825E-01
  1.1745000E+01    5.2109963E-01
  1.1750000E+01    5.3993267E-01
  1.1755000E+01    5.4540038E-01
  1.1760000E+01    5.4993337E-01
  1.1765000E+01    5.7157046E-01
  1.1770000E+01    5.9902561E-01
  1.1775000E+01    6.2458813E-01
  1.1780000E+01    6.4297730E-01
  1.1785000E+01    6.6372645E-01
  1.1790000E+01    6.6601628E-01
  1.1795000E+01    6.7787462E-01
  1.1800000E+01    6.8032801E-01
  1.1805000E+01    6.9360000E-01
  1.1810000E+01    7.0951235E-01
  1.1815000E+01    7.2748089E-01
  1.1820000E+01    7.5057834E-01
  1.1825000E+01    7.6971519E-01
  1.1830000E+01    7.8414369E-01
  1.1835000E+01    7.9081482E-01
  1.1840000E+01    7.8966987E-01
  1.1845000E+01    7.9296446E-01
  1.1850000E+01    7.9935503E-01
  1.1855000E+01    8.1238174E-01
  1.1860000E+01    8.2287306E-01
  1.1865000E+01    8.3598149E-01
  1.1870000E+01    8.4563166E-01
  1.1875000E+01    8.5142648E-01
  1.1880000E+01    8.5237283E-01
  1.1885000E+01    8.5387993E-01
  1.1890000E+01    8.5765362E-01
  1.1895000E+01    8.6442971E-01
  1.1900000E+01    8.7198871E-01
  1.1905000E+01    8.7784189E-01
  1.1910000E+01    8.8194263E-01
  1.1915000E+01    8.8661587E-01
  1.1920000E+01    8.9269102E-01
  1.1925000E+01    8.9745778E-01
  1.1930000E+01    9.0100944E-01
  1.1935000E+01    9.0555412E-01
  1.1940000E+01    9.1151243E-01
  1.1945000E+01    9.1755265E-01
  1.1950000E+01    9.2262310E-01
  1.1955000E+01    9.2677051E-01
  1.1960000E+01    9.3047404E-01
  1.1965000E+01    9.3387383E-01
  1.1970000E+01    9.3674791E-01
  1.1975000E+01    9.3886250E-01
  1.1980000E+01    9.4029957E-01
  1.1985000E+01    9.4136268E-01
  1.1990000E+01    9.4232070E-01
  1.1995000E+01    9.4323200E-01
  1.2000000E+01    9.4386286E-01
  1.2005000E+01    9.4403815E-01
  1.2010000E+01    9.4388622E-01
  1.2015000E+01    9.4390959E-01
  1.2020000E+01    9.4457549E-01
  1.2025000E+01    9.4596583E-01
  1.2030000E+01    9.4771832E-01
  1.2035000E+01    9.4928378E-01
  1.2040000E+01    9.5042872E-01
  1.2045000E+01    9.5131665E-01
  1.2050000E+01    9.5241493E-01
  1.2055000E+01    9.5419067E-01
  1.2060000E+01    9.5673758E-01
  1.2065000E+01    9.5978689E-01
  1.2070000E+01    9.6271932E-01
  1.2075000E+01    9.6498585E-01
  1.2080000E+01    9.6643454E-01
  1.2085000E+01    9.6735752E-01
  1.2090000E+01    9.6838564E-01
  1.2095000E+01    9.6998620E-01
  1.2100000E+01    9.7218257E-01
  1.2105000E+01    9.7442573E-01
  1.2110000E+01    9.7592115E-01
  1.2115000E+01    9.7635347E-01
  1.2120000E+01    9.7616655E-01
  1.2125000E+01    9.7628337E-01
  1.2130000E+01    9.7741663E-01
  1.2135000E+01    9.7964805E-01
  1.2140000E+01    9.8249876E-01
  1.2145000E+01    9.8533767E-01
  1.2150000E+01    9.8788464E-01
  1.2155000E+01    9.9017453E-01
  1.2160000E+01    9.9246436E-01
  1.2165000E+01    9.9477768E-01
  1.2170000E+01    9.9691570E-01
  1.2175000E+01    9.9857467E-01
  1.2180000E+01    9.9960274E-01
  1.2185000E+01    1.0000000E+00
  1.2190000E+01    9.9992985E-01
  1.2195000E+01    9.9957937E-01
  1.2200000E+01    9.9908870E-01
  1.2205000E+01    9.9857467E-01
  1.2210000E+01    9.9813068E-01
  1.2215000E+01    9.9783856E-01
  1.2220000E+01    9.9775684E-01
  1.2225000E+01    9.9793208E-01
  1.2230000E+01    9.9832928E-01
  1.2235000E+01    9.9883169E-01
  1.2240000E+01    9.9928731E-01
  1.2245000E+01    9.9952102E-01
  1.2250000E+01    9.9938077E-01
  1.2255000E+01    9.9878490E-01
  1.2260000E+01    9.9781519E-01
  1.2265000E+01    9.9664694E-01
  1.2270000E+01    9.9547863E-01
  1.2275000E+01    9.9440378E-01
  1.2280000E+01    9.9330562E-01
  1.2285000E+01    9.9188030E-01
  1.2290000E+01    9.8989409E-01
  1.2295000E+01    9.8746407E-01
  1.2300000E+01    9.8499888E-01
  1.2305000E+01    9.8302448E-01
  1.2310000E+01    9.8169261E-01
  1.2315000E+01    9.8080468E-01
  1.2320000E+01    9.8003364E-01
  1.2325000E+01    9.7909898E-01
  1.2330000E+01    9.7780216E-01
  1.2335000E+01    9.7596794E-01
  1.2340000E+01    9.7360796E-01
  1.2345000E+01    9.7093254E-01
  1.2350000E+01    9.6837395E-01
  1.2355000E+01    9.6635270E-01
  1.2360000E+01    9.6506757E-01
  1.2365000E+01    9.6446013E-01
  1.2370000E+01    9.6431994E-01
  1.2375000E+01    9.6438998E-01
  1.2380000E+01    9.6444845E-01
  1.2385000E+01    9.6435493E-01
  1.2390000E+01    9.6405119E-01
  1.2395000E+01    9.6365398E-01
  1.2400000E+01    9.6324503E-01
  1.2405000E+01    9.6296471E-01
  1.2410000E+01    9.6290624E-01
  1.2415000E+01    9.6311653E-01
  1.2420000E+01    9.6356052E-01
  1.2425000E+01    9.6414471E-01
  1.2430000E+01    9.6474046E-01
  1.2435000E+01    9.6524292E-01
  1.2440000E+01    9.6557003E-01
  1.2445000E+01    9.6574527E-01
  1.2450000E+01    9.6592051E-01
  1.2455000E+01    9.6637619E-01
  1.2460000E+01    9.6742761E-01
  1.2465000E+01    9.6918011E-01
  1.2470000E+01    9.7146994E-01
  1.2475000E+01    9.7384167E-01
  1.2480000E+01    9.7590947E-01
  1.2485000E+01    9.7762692E-01
  1.2490000E+01    9.7929758E-01
  1.2495000E+01    9.8120195E-01
  1.2500000E+01    9.8321140E-01
  1.2505000E+01    9.8483533E-01
  1.2510000E+01    9.8562980E-01
  1.2515000E+01    9.8560643E-01
  1.2520000E+01    9.8530269E-01
  1.2525000E+01    9.8545456E-01
  1.2530000E+01    9.8641258E-01
  1.2535000E+01    9.8805988E-01
  1.2540000E+01    9.8984736E-01
  1.2545000E+01    9.9124938E-01
  1.2550000E+01    9.9207884E-01
  1.2555000E+01    9.9237096E-01
  1.2560000E+01    9.9232417E-01
  1.2565000E+01    9.9209052E-01
  1.2570000E+01    9.9183351E-01
  1.2575000E+01    9.9159986E-01
  1.2580000E+01    9.9144799E-01
  1.2585000E+01    9.9136621E-01
  1.2590000E+01    9.9134278E-01
  1.2595000E+01    9.9138957E-01
  1.2600000E+01    9.9150634E-01
  1.2605000E+01    9.9166989E-01
  1.2610000E+01    9.9185693E-01
  1.2615000E+01    9.9202049E-01
  1.2620000E+01    9.9211389E-01
  1.2625000E+01    9.9206722E-01
  1.2630000E+01    9.9183351E-01
  1.2635000E+01    9.9138957E-01
  1.2640000E+01    9.9073535E-01
  1.2645000E+01    9.8996425E-01
  1.2650000E+01    9.8918146E-01
  1.2655000E+01    9.8850387E-01
  1.2660000E+01    9.8797816E-01
  1.2665000E+01    9.8754585E-01
  1.2670000E+01    9.8705512E-01
  1.2675000E+01    9.8635417E-01
  1.2680000E+01    9.8540783E-01
  1.2685000E+01    9.8429793E-01
  1.2690000E+01    9.8315299E-01
  1.2695000E+01    9.8201972E-01
  1.2700000E+01    9.8092151E-01
  1.2705000E+01    9.7978824E-01
  1.2710000E+01    9.7858495E-01
  1.2715000E+01    9.7728813E-01
  1.2720000E+01    9.7594458E-01
  1.2725000E+01    9.7461265E-01
  1.2730000E+01    9.7335094E-01
  1.2735000E+01    9.7221768E-01
  1.2740000E+01    9.7123635E-01
  1.2745000E+01    9.7037172E-01
  1.2750000E+01    9.6955389E-01
  1.2755000E+01    9.6857256E-01
  1.2760000E+01    9.6725237E-01
  1.2765000E+01    9.6535969E-01
  1.2770000E+01    9.6273100E-01
  1.2775000E+01    9.5921439E-01
  1.2780000E+01    9.5466965E-01
  1.2785000E+01    9.4924873E-01
  1.2790000E+01    9.4341892E-01
  1.2795000E+01    9.3807971E-01
  1.2800000E+01    9.3401402E-01
  1.2805000E+01    9.3099988E-01
  1.2810000E+01    9.2708594E-01
  1.2815000E+01    9.1963214E-01
  1.2820000E+01    9.0641862E-01
  1.2825000E+01    8.9313501E-01
  1.2830000E+01    8.8319272E-01
  1.2835000E+01    8.7638152E-01
  1.2840000E+01    8.6100656E-01
  1.2845000E+01    8.3060730E-01
  1.2850000E+01    8.0375957E-01
  1.2855000E+01    7.9610717E-01
  1.2860000E+01    7.8258991E-01
  1.2865000E+01    7.7156109E-01
  1.2870000E+01    7.4680465E-01
  1.2875000E+01    7.1915084E-01
  1.2880000E+01    6.7500061E-01
  1.2885000E+01    6.3162136E-01
  1.2890000E+01    6.1773020E-01
  1.2895000E+01    6.1186534E-01
  1.2900000E+01    6.1386311E-01
  1.2905000E+01    6.0084820E-01
  1.2910000E+01    5.6463069E-01
  1.2915000E+01    5.2975678E-01
  1.2920000E+01    4.7992846E-01
  1.2925000E+01    4.5232141E-01
  1.2930000E+01    4.3032220E-01
  1.2935000E+01    4.2045000E-01
  1.2940000E+01    3.9887139E-01
  1.2945000E+01    3.6549291E-01
  1.2950000E+01    3.4988433E-01
  1.2955000E+01    3.4489566E-01
  1.2960000E+01    3.4099352E-01
  1.2965000E+01    3.2665840E-01
  1.2970000E+01    3.1436783E-01
  1.2975000E+01    2.9768440E-01
  1.2980000E+01    2.8587285E-01
  1.2985000E+01    2.7496085E-01
  1.2990000E+01    2.6165384E-01
  1.2995000E+01    2.4783278E-01
  1.3000000E+01    2.3771526E-01
