# wave[microns]    norm_trans
  3.0000001E-01    0.0000000E+00
  4.2450002E-01    6.7910849E-05
  4.2650002E-01    2.0487174E-04
  4.2750001E-01    3.5381623E-04
  4.2800003E-01    4.8002871E-04
  4.2850003E-01    6.6381524E-04
  4.2900002E-01    9.0541283E-04
  4.2950001E-01    1.2968719E-03
  4.3000001E-01    1.8503073E-03
  4.3050003E-01    2.6814584E-03
  4.3100002E-01    3.9643263E-03
  4.3150002E-01    6.0008354E-03
  4.3200001E-01    9.1984775E-03
  4.3250003E-01    1.4372052E-02
  4.3300003E-01    2.2688389E-02
  4.3350002E-01    3.6596965E-02
  4.3400002E-01    5.9722591E-02
  4.3450001E-01    9.7315282E-02
  4.3500003E-01    1.5840471E-01
  4.3550003E-01    2.4735621E-01
  4.3600002E-01    3.6507782E-01
  4.3650001E-01    5.0294608E-01
  4.3700001E-01    6.3857305E-01
  4.3750003E-01    7.5451773E-01
  4.3800002E-01    8.3655894E-01
  4.3850002E-01    8.8420236E-01
  4.3900001E-01    9.0811175E-01
  4.3950003E-01    9.1791707E-01
  4.4000003E-01    9.2271531E-01
  4.4050002E-01    9.2610234E-01
  4.4100001E-01    9.3047464E-01
  4.4150001E-01    9.3682110E-01
  4.4200003E-01    9.4449365E-01
  4.4250003E-01    9.5282084E-01
  4.4300002E-01    9.6138853E-01
  4.4350001E-01    9.6862686E-01
  4.4400004E-01    9.7397292E-01
  4.4450003E-01    9.7740996E-01
  4.4500002E-01    9.7808641E-01
  4.4550002E-01    9.7582334E-01
  4.4600001E-01    9.7208565E-01
  4.4650003E-01    9.6774000E-01
  4.4700003E-01    9.6314383E-01
  4.4750002E-01    9.5986706E-01
  4.4800001E-01    9.5852596E-01
  4.4850001E-01    9.5930755E-01
  4.4900003E-01    9.6251422E-01
  4.4950002E-01    9.6851832E-01
  4.5000002E-01    9.7662836E-01
  4.5050001E-01    9.8600441E-01
  4.5100003E-01    9.9515665E-01
  4.5150003E-01    1.0000000E+00
  4.5200002E-01    9.9366689E-01
  4.5250002E-01    9.6589959E-01
  4.5300001E-01    9.0592730E-01
  4.5350003E-01    8.0801827E-01
  4.5400003E-01    6.7762041E-01
  4.5450002E-01    5.3299654E-01
  4.5500001E-01    3.9328614E-01
  4.5550004E-01    2.7487642E-01
  4.5600003E-01    1.8718351E-01
  4.5650002E-01    1.2438473E-01
  4.5700002E-01    8.2315117E-02
  4.5750001E-01    5.5145297E-02
  4.5800003E-01    3.7206564E-02
  4.5850003E-01    2.5599405E-02
  4.5900002E-01    1.8038446E-02
  4.5950001E-01    1.2732197E-02
  4.6000001E-01    9.2329141E-03
  4.6050003E-01    6.7197043E-03
  4.6100003E-01    5.0518070E-03
  4.6150002E-01    3.8862817E-03
  4.6200001E-01    2.9901632E-03
  4.6250004E-01    2.3023584E-03
  4.6300003E-01    1.7862417E-03
  4.6350002E-01    1.3928085E-03
  4.6400002E-01    1.0852679E-03
  4.6450001E-01    8.7610062E-04
  4.6500003E-01    6.9139217E-04
  4.6600002E-01    4.6967901E-04
  4.6750003E-01    2.7237122E-04
  4.6950004E-01    1.3648707E-04
  7.7450001E-01    0.0000000E+00
  1.2000000E+00    0.0000000E+00
