# wave[microns]    norm_trans
  3.0000001E-01    0.0000000E+00
  4.8810002E-01    1.1103618E-04
  4.9040002E-01    2.3499414E-04
  4.9160004E-01    3.5914150E-04
  4.9240002E-01    4.8339952E-04
  4.9300003E-01    6.2014448E-04
  4.9340001E-01    7.4449519E-04
  4.9380001E-01    8.9377927E-04
  4.9410003E-01    1.0430795E-03
  4.9440002E-01    1.1924759E-03
  4.9460003E-01    1.3418234E-03
  4.9480000E-01    1.4912359E-03
  4.9500003E-01    1.6531502E-03
  4.9520004E-01    1.8648463E-03
  4.9540001E-01    2.0642085E-03
  4.9550003E-01    2.2012333E-03
  4.9560001E-01    2.3507224E-03
  4.9570003E-01    2.5002440E-03
  4.9580002E-01    2.6373502E-03
  4.9590001E-01    2.7869369E-03
  4.9600002E-01    2.9863317E-03
  4.9610004E-01    3.2106384E-03
  4.9620003E-01    3.4350103E-03
  4.9630001E-01    3.6594311E-03
  4.9640003E-01    3.8838845E-03
  4.9650002E-01    4.1955546E-03
  4.9660003E-01    4.5321854E-03
  4.9670005E-01    4.8688818E-03
  4.9680001E-01    5.2056592E-03
  4.9690002E-01    5.5425018E-03
  4.9700001E-01    6.0413466E-03
  4.9710003E-01    6.5901456E-03
  4.9720004E-01    7.1390425E-03
  4.9730000E-01    7.6880693E-03
  4.9740002E-01    8.2372101E-03
  4.9750003E-01    9.0606613E-03
  4.9760002E-01    9.9840043E-03
  4.9770004E-01    1.0907543E-02
  4.9780002E-01    1.1818813E-02
  4.9790001E-01    1.2742743E-02
  4.9800003E-01    1.4215535E-02
  4.9810004E-01    1.5850786E-02
  4.9820003E-01    1.7486332E-02
  4.9830002E-01    1.9122297E-02
  4.9840000E-01    2.0758592E-02
  4.9850002E-01    2.3468172E-02
  4.9860004E-01    2.6502863E-02
  4.9870002E-01    2.9538043E-02
  4.9880001E-01    3.2586567E-02
  4.9890003E-01    3.5623048E-02
  4.9900001E-01    4.1007061E-02
  4.9910003E-01    4.7128838E-02
  4.9920005E-01    5.3252082E-02
  4.9930000E-01    3.5962965E-02
  4.9940002E-01    4.5857683E-02
  4.9950004E-01    5.1570557E-02
  4.9960002E-01    5.8233857E-02
  4.9970004E-01    6.5698057E-02
  4.9980003E-01    7.4425772E-02
  4.9990001E-01    8.4704824E-02
  5.0000000E-01    9.6585520E-02
  5.0010002E-01    1.1086533E-01
  5.0020003E-01    1.2744337E-01
  5.0029999E-01    1.4661920E-01
  5.0040001E-01    1.6853032E-01
  5.0050002E-01    1.9510056E-01
  5.0060004E-01    2.2529127E-01
  5.0070006E-01    2.5864196E-01
  5.0080001E-01    2.9873568E-01
  5.0090003E-01    3.4239942E-01
  5.0100005E-01    3.8940868E-01
  5.0110000E-01    4.4173717E-01
  5.0120002E-01    4.9844602E-01
  5.0130004E-01    5.5699849E-01
  5.0139999E-01    6.1894524E-01
  5.0150001E-01    6.8067557E-01
  5.0160003E-01    7.3879361E-01
  5.0170004E-01    7.9319674E-01
  5.0180000E-01    8.4224969E-01
  5.0190002E-01    8.8364685E-01
  5.0200003E-01    9.1757190E-01
  5.0210005E-01    9.4578719E-01
  5.0220001E-01    9.6708375E-01
  5.0230002E-01    9.8268354E-01
  5.0240004E-01    9.9268901E-01
  5.0250000E-01    9.9853712E-01
  5.0260001E-01    1.0000000E+00
  5.0270003E-01    9.9801970E-01
  5.0279999E-01    9.9227899E-01
  5.0290000E-01    9.8180974E-01
  5.0300002E-01    9.6633363E-01
  5.0310004E-01    9.4510376E-01
  5.0320005E-01    9.1688520E-01
