# wave[microns]    norm_trans
  3.8900003E-01    0.0000000E+00
  3.9000002E-01    1.9920322E-03
  3.9100003E-01    1.9920322E-03
  3.9200002E-01    1.9920322E-03
  3.9300001E-01    3.9840643E-03
  3.9400002E-01    7.9681287E-03
  3.9500001E-01    1.3944224E-02
  3.9600003E-01    2.3904383E-02
  3.9700001E-01    4.1832671E-02
  3.9800003E-01    6.9721118E-02
  3.9900002E-01    1.0557769E-01
  4.0000001E-01    1.4541833E-01
  4.0100002E-01    1.9123507E-01
  4.0200001E-01    2.3505977E-01
  4.0300003E-01    2.6892433E-01
  4.0400001E-01    2.9282871E-01
  4.0500003E-01    3.1274903E-01
  4.0600002E-01    3.2470122E-01
  4.0700001E-01    3.3266932E-01
  4.0800002E-01    3.4063748E-01
  4.0900001E-01    3.4860560E-01
  4.1000003E-01    3.6055776E-01
  4.1100001E-01    3.7051797E-01
  4.1200003E-01    3.8247013E-01
  4.1300002E-01    3.9641437E-01
  4.1400003E-01    4.0637451E-01
  4.1500002E-01    4.1035858E-01
  4.1600001E-01    4.1434267E-01
  4.1700003E-01    4.2031875E-01
  4.1800001E-01    4.3227091E-01
  4.1900003E-01    4.4820717E-01
  4.2000002E-01    4.6414346E-01
  4.2100003E-01    4.7808766E-01
  4.2200002E-01    4.9003989E-01
  4.2300001E-01    4.9601597E-01
  4.2400002E-01    4.9800798E-01
  4.2500001E-01    4.9800798E-01
  4.2600003E-01    5.0398409E-01
  4.2700002E-01    5.1593632E-01
  4.2800003E-01    5.3386456E-01
  4.2900002E-01    5.5179286E-01
  4.3000001E-01    5.6972116E-01
  4.3100002E-01    5.8764941E-01
  4.3200001E-01    5.9760964E-01
  4.3300003E-01    6.0159361E-01
  4.3400002E-01    6.0159361E-01
  4.3500003E-01    6.0557771E-01
  4.3600002E-01    6.1553782E-01
  4.3700001E-01    6.2948215E-01
  4.3800002E-01    6.4342636E-01
  4.3900001E-01    6.5737057E-01
  4.4000003E-01    6.6932273E-01
  4.4100001E-01    6.7729086E-01
  4.4200003E-01    6.7928290E-01
  4.4300002E-01    6.8127495E-01
  4.4400004E-01    6.8525904E-01
  4.4500002E-01    6.9322711E-01
  4.4600001E-01    7.0517933E-01
  4.4700003E-01    7.1912354E-01
  4.4800001E-01    7.3306775E-01
  4.4900003E-01    7.4501997E-01
  4.5000002E-01    7.5697213E-01
  4.5100003E-01    7.6892436E-01
  4.5200002E-01    7.8087652E-01
  4.5300001E-01    7.8884465E-01
  4.5400003E-01    7.9282874E-01
  4.5500001E-01    7.9282874E-01
  4.5600003E-01    7.8486061E-01
  4.5700002E-01    7.7290845E-01
  4.5800003E-01    7.6494026E-01
  4.5900002E-01    7.6095623E-01
  4.6000001E-01    7.6494026E-01
  4.6100003E-01    7.7290845E-01
  4.6200001E-01    7.8286856E-01
  4.6300003E-01    7.8884465E-01
  4.6400002E-01    7.8884465E-01
  4.6500003E-01    7.8884465E-01
  4.6600002E-01    7.9083675E-01
  4.6700001E-01    7.9083675E-01
  4.6800002E-01    7.9482073E-01
  4.6900001E-01    7.9681277E-01
  4.7000003E-01    7.9880482E-01
  4.7100002E-01    8.0079687E-01
  4.7200003E-01    8.0278885E-01
  4.7300002E-01    8.0677295E-01
  4.7400004E-01    8.1274903E-01
  4.7500002E-01    8.2270920E-01
  4.7600001E-01    8.3266938E-01
  4.7700003E-01    8.4462154E-01
  4.7800002E-01    8.5856575E-01
  4.7900003E-01    8.7051797E-01
  4.8000002E-01    8.7848616E-01
  4.8100004E-01    8.8446224E-01
  4.8200002E-01    8.8844627E-01
  4.8300001E-01    8.9243037E-01
  4.8400003E-01    8.9840645E-01
  4.8500001E-01    9.0239048E-01
  4.8600003E-01    9.0836656E-01
  4.8700002E-01    9.1235065E-01
  4.8800004E-01    9.1633475E-01
  4.8900002E-01    9.1633475E-01
  4.9000001E-01    9.1434264E-01
  4.9100003E-01    9.0637457E-01
  4.9200001E-01    8.9840645E-01
  4.9300003E-01    8.9641434E-01
  4.9400002E-01    9.0239048E-01
  4.9500003E-01    9.1434264E-01
  4.9600002E-01    9.2231083E-01
  4.9700001E-01    9.3027896E-01
  4.9800003E-01    9.3824703E-01
  4.9900001E-01    9.4023907E-01
  5.0000000E-01    9.3824703E-01
  5.0100005E-01    9.3227094E-01
  5.0200003E-01    9.2828691E-01
  5.0300002E-01    9.2231083E-01
  5.0400001E-01    9.1434264E-01
  5.0500000E-01    9.1035861E-01
  5.0600004E-01    9.0836656E-01
  5.0700003E-01    9.0637457E-01
  5.0800002E-01    9.0836656E-01
  5.0900000E-01    9.0836656E-01
  5.1000005E-01    9.1035861E-01
  5.1100004E-01    9.1235065E-01
  5.1200002E-01    9.1434264E-01
  5.1300001E-01    9.1832674E-01
  5.1400000E-01    9.2629486E-01
  5.1500005E-01    9.3426299E-01
  5.1600003E-01    9.4223112E-01
  5.1700002E-01    9.4621515E-01
  5.1800001E-01    9.4820726E-01
  5.1900005E-01    9.4621515E-01
  5.2000004E-01    9.4223112E-01
  5.2100003E-01    9.4023907E-01
  5.2200001E-01    9.4223112E-01
  5.2300000E-01    9.4223112E-01
  5.2400005E-01    9.4422317E-01
  5.2500004E-01    9.4223112E-01
  5.2600002E-01    9.4023907E-01
  5.2700001E-01    9.4422317E-01
  5.2800000E-01    9.5019925E-01
  5.2900004E-01    9.6215147E-01
  5.3000003E-01    9.7410363E-01
  5.3100002E-01    9.8605585E-01
  5.3200001E-01    9.9203193E-01
  5.3300005E-01    9.9601597E-01
  5.3400004E-01    9.9800801E-01
  5.3500003E-01    1.0000000E+00
  5.3600001E-01    1.0000000E+00
  5.3700000E-01    1.0000000E+00
  5.3800005E-01    1.0000000E+00
  5.3900003E-01    1.0000000E+00
  5.4000002E-01    9.9800801E-01
  5.4100001E-01    9.9601597E-01
  5.4200006E-01    9.8804784E-01
  5.4300004E-01    9.8207176E-01
  5.4400003E-01    9.7410363E-01
  5.4500002E-01    9.6812755E-01
  5.4600000E-01    9.5816737E-01
  5.4700005E-01    9.3027896E-01
  5.4800004E-01    8.7251002E-01
  5.4900002E-01    7.7689242E-01
  5.5000001E-01    6.4342636E-01
  5.5100000E-01    4.9402392E-01
  5.5200005E-01    3.4860560E-01
  5.5300003E-01    2.2509961E-01
  5.5400002E-01    1.3545819E-01
  5.5500001E-01    8.1673317E-02
