# wave[microns]    norm_trans
  6.6400003E-01    0.0000000E+00
  6.6500002E-01    1.1507480E-03
  6.6600001E-01    1.1507480E-03
  6.6700006E-01    1.1507480E-03
  6.6800004E-01    1.1507480E-03
  6.6900003E-01    1.1507480E-03
  6.7000002E-01    1.1507480E-03
  6.7100000E-01    1.1507480E-03
  6.7200005E-01    2.3014960E-03
  6.7300004E-01    2.3014960E-03
  6.7400002E-01    3.4522440E-03
  6.7500001E-01    4.6029920E-03
  6.7600006E-01    5.7537397E-03
  6.7700005E-01    8.0552362E-03
  6.7800003E-01    1.0356731E-02
  6.7900002E-01    1.3808976E-02
  6.8000001E-01    1.8411968E-02
  6.8100005E-01    2.5316454E-02
  6.8200004E-01    3.3371691E-02
  6.8300003E-01    4.4879172E-02
  6.8400002E-01    6.4441890E-02
  6.8500006E-01    9.6662827E-02
  6.8600005E-01    1.5304948E-01
  6.8700004E-01    1.9447641E-01
  6.8800002E-01    3.0379745E-01
  6.8900001E-01    4.0276179E-01
  6.9000006E-01    4.9021864E-01
  6.9100004E-01    5.8918297E-01
  6.9200003E-01    6.8009210E-01
  6.9300002E-01    7.7100116E-01
  6.9400001E-01    8.4810126E-01
  6.9500005E-01    9.1139239E-01
  6.9600004E-01    9.4476408E-01
  6.9700003E-01    9.7008055E-01
  6.9800001E-01    9.7583425E-01
  6.9900006E-01    9.7353280E-01
  7.0000005E-01    9.7583425E-01
  7.0100003E-01    9.7468352E-01
  7.0200002E-01    9.7468352E-01
  7.0300001E-01    9.7238207E-01
  7.0400006E-01    9.7583425E-01
  7.0500004E-01    9.7698498E-01
  7.0600003E-01    9.8043728E-01
  7.0700002E-01    9.8158801E-01
  7.0800000E-01    9.7928655E-01
  7.0900005E-01    9.7698498E-01
  7.1000004E-01    9.7468352E-01
  7.1100003E-01    9.7468352E-01
  7.1200001E-01    9.7698498E-01
  7.1300006E-01    9.8043728E-01
  7.1400005E-01    9.8388952E-01
  7.1500003E-01    9.8619097E-01
  7.1600002E-01    9.8849255E-01
  7.1700001E-01    9.7123128E-01
  7.1800005E-01    9.5857304E-01
  7.1900004E-01    9.3901032E-01
  7.2000003E-01    9.4936705E-01
  7.2100002E-01    9.6892977E-01
  7.2200006E-01    9.9309546E-01
  7.2300005E-01    9.7353280E-01
  7.2400004E-01    9.5857304E-01
  7.2500002E-01    9.5857304E-01
  7.2600001E-01    9.6892977E-01
  7.2700006E-01    9.6087450E-01
  7.2800004E-01    9.5857304E-01
  7.2900003E-01    9.5627153E-01
  7.3000002E-01    9.6432680E-01
  7.3100001E-01    9.5281935E-01
  7.3200005E-01    9.6432680E-01
  7.3300004E-01    9.7353280E-01
  7.3400003E-01    9.7813582E-01
  7.3500001E-01    9.8158801E-01
  7.3600006E-01    9.8619097E-01
  7.3700005E-01    9.8964328E-01
  7.3800004E-01    9.9424624E-01
  7.3900002E-01    9.9424624E-01
  7.4000001E-01    9.9539697E-01
  7.4100006E-01    9.9539697E-01
  7.4200004E-01    9.9654776E-01
  7.4300003E-01    9.9539697E-01
  7.4400002E-01    9.9539697E-01
  7.4500006E-01    9.9539697E-01
  7.4600005E-01    9.9539697E-01
  7.4700004E-01    9.9539697E-01
  7.4800003E-01    9.9539697E-01
  7.4900001E-01    9.9769849E-01
  7.5000006E-01    9.9884921E-01
  7.5100005E-01    9.9884921E-01
  7.5200003E-01    1.0000000E+00
  7.5300002E-01    9.9884921E-01
  7.5400001E-01    9.9884921E-01
  7.5500005E-01    9.9769849E-01
  7.5600004E-01    9.9654776E-01
  7.5700003E-01    9.9424624E-01
  7.5800002E-01    9.9309546E-01
  7.5900006E-01    9.8964328E-01
  7.6000005E-01    4.6950516E-01
  7.6100004E-01    3.8089758E-01
  7.6200002E-01    7.5373989E-01
  7.6300001E-01    5.2474105E-01
  7.6400006E-01    6.4672035E-01
  7.6500005E-01    7.3647869E-01
  7.6600003E-01    8.4004605E-01
  7.6700002E-01    9.0103567E-01
  7.6800001E-01    9.5857304E-01
  7.6900005E-01    9.7238207E-01
  7.7000004E-01    9.8849255E-01
  7.7100003E-01    9.9539697E-01
  7.7200001E-01    9.9539697E-01
  7.7300006E-01    9.9309546E-01
  7.7400005E-01    9.8964328E-01
  7.7500004E-01    9.8734170E-01
  7.7600002E-01    9.8388952E-01
  7.7700001E-01    9.8158801E-01
  7.7800006E-01    9.7928655E-01
  7.7900004E-01    9.7583425E-01
  7.8000003E-01    9.7123128E-01
  7.8100002E-01    9.6892977E-01
  7.8200006E-01    9.6777904E-01
  7.8300005E-01    9.6662825E-01
  7.8400004E-01    9.6432680E-01
  7.8500003E-01    9.6202534E-01
  7.8600001E-01    9.5857304E-01
  7.8700006E-01    9.5512080E-01
  7.8800005E-01    9.5281935E-01
  7.8900003E-01    9.4821632E-01
  7.9000002E-01    9.4361335E-01
  7.9100001E-01    9.4591486E-01
  7.9200006E-01    9.4821632E-01
  7.9300004E-01    9.5166862E-01
  7.9400003E-01    9.5972377E-01
  7.9500002E-01    9.6432680E-01
  7.9600006E-01    9.6432680E-01
  7.9700005E-01    9.7008055E-01
  7.9800004E-01    9.7353280E-01
  7.9900002E-01    9.7123128E-01
  8.0000001E-01    9.6777904E-01
  8.0100006E-01    9.6432680E-01
  8.0200005E-01    9.6087450E-01
  8.0300003E-01    9.5972377E-01
  8.0400002E-01    9.5742232E-01
  8.0500007E-01    9.5512080E-01
  8.0600005E-01    9.5281935E-01
  8.0700004E-01    9.4821632E-01
  8.0800003E-01    9.4476408E-01
  8.0900002E-01    9.4016105E-01
  8.1000006E-01    9.3555814E-01
  8.1100005E-01    9.3210584E-01
  8.1200004E-01    9.2520136E-01
  8.1300002E-01    9.1829687E-01
  8.1400001E-01    8.9758337E-01
  8.1500006E-01    8.8262373E-01
  8.1600004E-01    8.3774447E-01
  8.1700003E-01    7.8711164E-01
  8.1800002E-01    7.0080554E-01
  8.1900007E-01    6.0184121E-01
  8.2000005E-01    4.6950516E-01
  8.2100004E-01    3.6018410E-01
  8.2200003E-01    2.5431529E-01
  8.2300001E-01    1.6340622E-01
  8.2400006E-01    1.1967779E-01
  8.2500005E-01    8.1703112E-02
  8.2600003E-01    5.4085154E-02
  8.2700002E-01    3.7974682E-02
  8.2800007E-01    2.4165707E-02
  8.2900006E-01    1.7261218E-02
  8.3000004E-01    1.1507479E-02
  8.3100003E-01    8.0552362E-03
  8.3200002E-01    5.7537397E-03
  8.3300006E-01    4.6029920E-03
  8.3400005E-01    3.4522440E-03
  8.3500004E-01    2.3014960E-03
  8.3600003E-01    2.3014960E-03
  8.3700001E-01    1.1507480E-03
  8.3800006E-01    1.1507480E-03
  8.3900005E-01    1.1507480E-03
  8.4000003E-01    1.1507480E-03
  8.4100002E-01    1.1507480E-03
  8.4200007E-01    1.1507480E-03
  8.4300005E-01    1.1507480E-03
  8.4400004E-01    0.0000000E+00
