# wave[microns]    norm_trans
  8.9600003E-01    0.0000000E+00
  8.9700001E-01    1.6260163E-03
  8.9800006E-01    1.6260163E-03
  8.9900005E-01    1.6260163E-03
  9.0000004E-01    1.6260163E-03
  9.0100002E-01    3.2520327E-03
  9.0200007E-01    3.2520327E-03
  9.0300006E-01    3.2520327E-03
  9.0400004E-01    3.2520327E-03
  9.0500003E-01    3.2520327E-03
  9.0600002E-01    4.8780488E-03
  9.0700006E-01    4.8780488E-03
  9.0800005E-01    4.8780488E-03
  9.0900004E-01    8.1300810E-03
  9.1000003E-01    9.7560976E-03
  9.1100007E-01    1.4634145E-02
  9.1200006E-01    2.4390243E-02
  9.1300005E-01    3.9024390E-02
  9.1400003E-01    6.5040648E-02
  9.1500002E-01    1.0731707E-01
  9.1600007E-01    1.5934959E-01
  9.1700006E-01    2.4715446E-01
  9.1800004E-01    3.2357723E-01
  9.1900003E-01    4.4065040E-01
  9.2000002E-01    5.4471546E-01
  9.2100006E-01    6.5528452E-01
  9.2200005E-01    7.3333335E-01
  9.2300004E-01    8.2276416E-01
  9.2400002E-01    8.7642270E-01
  9.2500007E-01    9.1869915E-01
  9.2600006E-01    9.6097565E-01
  9.2700005E-01    1.0000000E+00
  9.2800003E-01    9.7073168E-01
  9.2900002E-01    9.7723579E-01
  9.3000007E-01    9.2682922E-01
  9.3100005E-01    8.8292676E-01
  9.3200004E-01    8.1463408E-01
  9.3300003E-01    7.9024386E-01
  9.3400002E-01    7.0731705E-01
  9.3500006E-01    7.5447154E-01
  9.3600005E-01    6.5203249E-01
  9.3700004E-01    7.0731705E-01
  9.3800002E-01    7.1707320E-01
  9.3900007E-01    8.3414632E-01
  9.4000006E-01    8.6016256E-01
  9.4100004E-01    8.0975610E-01
  9.4200003E-01    8.1138211E-01
  9.4300002E-01    7.0081300E-01
  9.4400007E-01    6.8130082E-01
  9.4500005E-01    7.6585364E-01
  9.4600004E-01    6.2764227E-01
  9.4700003E-01    7.4634147E-01
  9.4800007E-01    6.5691060E-01
  9.4900006E-01    7.9186988E-01
  9.5000005E-01    5.6747967E-01
  9.5100003E-01    7.8048778E-01
  9.5200002E-01    6.2764227E-01
  9.5300007E-01    6.8617886E-01
  9.5400006E-01    7.0731705E-01
  9.5500004E-01    6.7154467E-01
  9.5600003E-01    6.5365857E-01
  9.5700002E-01    6.3089430E-01
  9.5800006E-01    6.6991872E-01
  9.5900005E-01    6.4227641E-01
  9.6000004E-01    6.5203249E-01
  9.6100003E-01    6.5203249E-01
  9.6200007E-01    6.4065039E-01
  9.6300006E-01    6.4878047E-01
  9.6400005E-01    6.2764227E-01
  9.6500003E-01    6.2926829E-01
  9.6600002E-01    6.2113822E-01
  9.6700007E-01    6.1951220E-01
  9.6800005E-01    6.3089430E-01
  9.6900004E-01    6.3414633E-01
  9.7000003E-01    6.1463410E-01
  9.7100008E-01    6.1788619E-01
  9.7200006E-01    5.9837395E-01
  9.7300005E-01    5.8211380E-01
  9.7400004E-01    5.6747967E-01
  9.7500002E-01    5.5447149E-01
  9.7600007E-01    5.4796749E-01
  9.7700006E-01    5.4471546E-01
  9.7800004E-01    5.3170729E-01
  9.7900003E-01    5.3008127E-01
  9.8000002E-01    5.1219511E-01
  9.8100007E-01    5.1707315E-01
  9.8200005E-01    5.0569105E-01
  9.8300004E-01    4.9105689E-01
  9.8400003E-01    4.8943087E-01
  9.8500007E-01    4.7479674E-01
  9.8600006E-01    4.7154468E-01
  9.8700005E-01    4.5853660E-01
  9.8800004E-01    4.4552842E-01
  9.8900002E-01    4.3577236E-01
  9.9000007E-01    4.2276421E-01
  9.9100006E-01    4.1463414E-01
  9.9200004E-01    4.0650406E-01
  9.9300003E-01    3.9512193E-01
  9.9400002E-01    3.8699186E-01
  9.9500006E-01    3.7723577E-01
  9.9600005E-01    3.6910570E-01
  9.9700004E-01    3.5934958E-01
  9.9800003E-01    3.5121951E-01
  9.9900007E-01    3.4308943E-01
  1.0000000E+00    3.3333331E-01
  1.0010000E+00    3.2520324E-01
  1.0020001E+00    3.1707317E-01
  1.0030000E+00    3.0731705E-01
  1.0040001E+00    2.9756096E-01
  1.0050000E+00    2.8943089E-01
  1.0060000E+00    2.8130078E-01
  1.0070001E+00    2.7317071E-01
  1.0080000E+00    2.6341462E-01
  1.0090001E+00    2.5528455E-01
  1.0100000E+00    2.4715446E-01
  1.0110000E+00    2.3902439E-01
  1.0120001E+00    2.2926830E-01
  1.0130000E+00    2.2113822E-01
  1.0140001E+00    2.1300812E-01
  1.0150001E+00    2.0650406E-01
  1.0160000E+00    2.0162600E-01
  1.0170001E+00    1.9512194E-01
  1.0180000E+00    1.8861789E-01
  1.0190001E+00    1.8048781E-01
  1.0200001E+00    1.7235772E-01
  1.0210000E+00    1.6585365E-01
  1.0220001E+00    1.5772358E-01
  1.0230000E+00    1.5284552E-01
  1.0240000E+00    1.4796747E-01
  1.0250001E+00    1.4308943E-01
  1.0260000E+00    1.3658535E-01
  1.0270001E+00    1.3170731E-01
  1.0280000E+00    1.2682927E-01
  1.0290000E+00    1.2195122E-01
  1.0300001E+00    1.1544716E-01
  1.0310000E+00    1.0894309E-01
  1.0320001E+00    1.0406505E-01
  1.0330000E+00    9.7560972E-02
  1.0340000E+00    9.2682928E-02
  1.0350001E+00    8.9430891E-02
  1.0360000E+00    8.6178862E-02
  1.0370001E+00    8.1300810E-02
  1.0380001E+00    7.8048781E-02
  1.0390000E+00    7.3170736E-02
  1.0400001E+00    6.9918700E-02
  1.0410000E+00    6.6666670E-02
  1.0420001E+00    6.3414633E-02
  1.0430001E+00    6.0162600E-02
  1.0440000E+00    5.8536582E-02
  1.0450001E+00    5.6910567E-02
  1.0460000E+00    5.5284556E-02
  1.0470001E+00    5.3658534E-02
  1.0480001E+00    5.2032523E-02
  1.0490000E+00    4.8780486E-02
  1.0500001E+00    4.7154471E-02
  1.0510000E+00    4.5528457E-02
  1.0520000E+00    4.3902438E-02
  1.0530001E+00    4.2276423E-02
  1.0540000E+00    4.0650405E-02
  1.0550001E+00    3.9024390E-02
  1.0560000E+00    3.7398372E-02
  1.0570000E+00    3.5772357E-02
  1.0580001E+00    3.4146339E-02
  1.0590000E+00    3.2520324E-02
