# wave[microns]    norm_trans
  4.4000003E-01    1.1918951E-04
  4.5000002E-01    3.5756856E-04
  4.6000001E-01    7.1513709E-03
  4.7000003E-01    8.6769962E-01
  4.7600001E-01    9.5351613E-01
  4.8000002E-01    8.6769962E-01
  4.8500001E-01    7.6519668E-01
  4.9000001E-01    8.4386176E-01
  5.0000000E-01    1.0000000E+00
  5.1000005E-01    9.6066749E-01
  5.2000004E-01    8.6769962E-01
  5.2300000E-01    8.5458881E-01
  5.3000003E-01    9.4040525E-01
  5.3300005E-01    9.7377831E-01
  5.4000002E-01    9.1060787E-01
  5.5000001E-01    1.4183553E-01
  5.6000000E-01    1.1918952E-03
  5.7000005E-01    3.5756856E-04
  5.8000004E-01    1.1918951E-04
  1.2000000E+00    1.1918951E-04
