# wave[microns]    norm_trans
  3.3000001E-01    6.1598885E-01
  3.4000000E-01    8.9307576E-01
  3.5000002E-01    1.0000000E+00
  3.6000001E-01    9.2936337E-01
  3.7000000E-01    5.5217052E-01
  3.8000003E-01    1.3511437E-01
  3.9000002E-01    2.1364081E-03
  4.0000001E-01    2.1822363E-04
  4.1000003E-01    6.3591904E-04
  4.2000002E-01    1.5066013E-04
  4.3000001E-01    4.0157221E-04
  4.4000003E-01    3.7029742E-05
  4.5000002E-01    1.0249607E-04
  4.6000001E-01    1.4099879E-04
  4.7000003E-01    2.7157547E-04
  4.8000002E-01    4.6012774E-05
  4.9000001E-01    7.5446529E-05
  5.0000000E-01    1.6615744E-04
  5.1000005E-01    3.6270412E-05
  5.2000004E-01    6.6085042E-05
  5.3000003E-01    2.5443873E-05
  5.4000002E-01    6.1607243E-05
  5.5000001E-01    3.8546525E-05
  5.6000000E-01    4.5427962E-05
  5.7000005E-01    9.9652407E-06
  5.8000004E-01    5.5662396E-05
  5.9000003E-01    1.4953825E-04
  6.0000002E-01    5.1818068E-05
  6.1000001E-01    2.4883147E-06
  6.2000000E-01    4.7745132E-05
  6.3000005E-01    2.3965760E-05
  6.4000005E-01    5.3792221E-05
  6.5000004E-01    5.8444777E-05
  6.6000003E-01    2.0434967E-05
  6.7000002E-01    2.8187891E-05
  6.8000001E-01    6.2137355E-05
  6.9000006E-01    8.9708141E-05
  7.0000005E-01    3.7290614E-05
  7.1000004E-01    1.1259893E-04
  7.2000003E-01    7.8441088E-05
  7.3000002E-01    5.1325416E-05
  7.4000001E-01    2.7220014E-05
  7.5000006E-01    5.1177353E-06
  7.6000005E-01    2.0109341E-05
  7.7000004E-01    2.6071359E-06
  7.8000003E-01    1.9263241E-05
  7.9000002E-01    4.1339415E-05
  8.0000001E-01    2.9650862E-06
  8.1000006E-01    3.4960758E-05
  8.2000005E-01    8.6883156E-05
  8.3000004E-01    1.4466469E-05
  8.4000003E-01    5.8939214E-08
  8.5000002E-01    3.6110909E-05
  8.6000001E-01    5.0673836E-05
  8.7000006E-01    9.4866027E-06
  8.8000005E-01    1.6064017E-05
  8.9000005E-01    3.3987075E-05
  9.0000004E-01    1.0969286E-05
  9.1000003E-01    2.5584004E-05
  9.2000002E-01    3.2515716E-05
  9.3000007E-01    4.8018046E-06
  9.4000006E-01    1.2656285E-05
  9.5000005E-01    2.0693935E-05
  9.6000004E-01    1.0886854E-05
  9.7000003E-01    6.7038850E-06
  9.8000002E-01    4.7897076E-05
  9.9000007E-01    1.4902747E-05
  1.0000000E+00    4.0779691E-05
  1.0100000E+00    1.0702708E-05
  1.0200001E+00    7.6848228E-06
  1.0300001E+00    2.9886129E-05
  1.0400001E+00    4.1169202E-05
  1.0500001E+00    1.5626423E-04
  1.0600001E+00    3.5904901E-05
  1.0700001E+00    1.8217770E-05
  1.0800000E+00    3.8135629E-05
  1.0900000E+00    1.2970729E-04
  1.1000000E+00    2.3923623E-05
  1.1100000E+00    1.1268968E-04
  1.1200000E+00    1.4415986E-03
  1.1300000E+00    9.5924590E-04
  1.1400001E+00    1.4201576E-03
  1.1500001E+00    3.9076083E-04
  1.1600001E+00    5.0882704E-04
  1.1700001E+00    4.2858333E-03
  1.1800001E+00    1.7832199E-03
  1.1900001E+00    1.0377219E-02
  1.2000000E+00    8.6224012E-02
