# wave[microns]    norm_trans
  3.3100002E+00    5.2840160E-03
  3.3200002E+00    0.0000000E+00
  3.3300002E+00    0.0000000E+00
  3.3400002E+00    2.2457067E-02
  3.3500001E+00    1.9815058E-02
  3.3600001E+00    6.6050193E-03
  3.3700001E+00    0.0000000E+00
  3.3800001E+00    2.9062087E-02
  3.3900001E+00    0.0000000E+00
  3.4000001E+00    0.0000000E+00
  3.4100001E+00    7.9260236E-03
  3.4200001E+00    1.0568032E-02
  3.4300001E+00    6.6050193E-03
  3.4400001E+00    1.8494055E-02
  3.4500000E+00    4.0951122E-02
  3.4600003E+00    4.2272128E-02
  3.4700003E+00    1.6380449E-01
  3.4800003E+00    3.2628796E-01
  3.4900002E+00    4.9405548E-01
  3.5000002E+00    5.6935269E-01
  3.5100002E+00    6.5125495E-01
  3.5200002E+00    6.5785992E-01
  3.5300002E+00    7.0673710E-01
  3.5400002E+00    7.2787315E-01
  3.5500002E+00    7.7807128E-01
  3.5600002E+00    8.0977535E-01
  3.5700002E+00    8.4015846E-01
  3.5800002E+00    8.6261553E-01
  3.5900002E+00    8.6525750E-01
  3.6000001E+00    9.1809773E-01
  3.6100001E+00    9.0752965E-01
  3.6200001E+00    8.9431965E-01
  3.6300001E+00    8.7846762E-01
  3.6400001E+00    8.7186259E-01
  3.6500001E+00    8.7846762E-01
  3.6600001E+00    8.9299864E-01
  3.6700001E+00    9.1017169E-01
  3.6800001E+00    9.7225887E-01
  3.6900001E+00    9.7754294E-01
  3.7000003E+00    9.9867892E-01
  3.7100003E+00    1.0000000E+00
  3.7200003E+00    9.9867892E-01
  3.7300003E+00    9.9207389E-01
  3.7400002E+00    9.3659174E-01
  3.7500002E+00    7.6354027E-01
  3.7600002E+00    4.9009243E-01
  3.7700002E+00    2.5099075E-01
  3.7800002E+00    1.1889036E-01
  3.7900002E+00    5.5482164E-02
  3.8000002E+00    2.9062087E-02
  3.8100002E+00    1.5852047E-02
  3.8200002E+00    1.0568032E-02
  3.8300002E+00    6.6050193E-03
  3.8400002E+00    3.9630118E-03
  3.8500001E+00    3.9630118E-03
  3.8600001E+00    1.3210040E-03
  3.8700001E+00    1.3210040E-03
  3.8800001E+00    1.3210040E-03
  3.8900001E+00    1.3210040E-03
  3.9000001E+00    1.3210040E-03
  3.9100001E+00    1.3210040E-03
  3.9200001E+00    1.3210040E-03
  3.9300003E+00    0.0000000E+00
  3.9400003E+00    1.3210040E-03
  3.9500003E+00    1.3210040E-03
  3.9600003E+00    1.3210040E-03
  3.9700003E+00    1.3210040E-03
  3.9800003E+00    1.3210040E-03
  3.9900002E+00    0.0000000E+00
