# wave[microns]    norm_trans
  4.9950004E-01    2.8640716E-06
  5.0149798E-01    0.0000000E+00
  5.0349605E-01    1.5786957E-06
  5.0549400E-01    1.3015231E-05
  5.0749201E-01    0.0000000E+00
  5.0949001E-01    4.7120061E-06
  5.1148802E-01    1.0310856E-06
  5.1348603E-01    0.0000000E+00
  5.1548404E-01    0.0000000E+00
  5.1748204E-01    0.0000000E+00
  5.1947999E-01    2.0709838E-07
  5.2147806E-01    0.0000000E+00
  5.2347606E-01    1.9367444E-06
  5.2547401E-01    1.2284349E-06
  5.2747202E-01    1.4353890E-05
  5.2946997E-01    0.0000000E+00
  5.3146803E-01    6.0434395E-06
  5.3346604E-01    4.2411105E-07
  5.3546399E-01    5.7990305E-06
  5.3746200E-01    6.9251832E-06
  5.3946006E-01    9.9616427E-06
  5.4145801E-01    8.5950023E-06
  5.4345602E-01    3.8135518E-06
  5.4545403E-01    5.5726105E-06
  5.4745203E-01    1.5233629E-06
  5.4945004E-01    9.6065451E-06
  5.5144805E-01    0.0000000E+00
  5.5344599E-01    0.0000000E+00
  5.5544400E-01    2.4895868E-07
  5.5744207E-01    6.9841512E-06
  5.5944002E-01    7.2085882E-06
  5.6143802E-01    5.1266438E-06
  5.6343597E-01    4.4468761E-06
  5.6543404E-01    5.1988086E-06
  5.6743205E-01    0.0000000E+00
  5.6942999E-01    0.0000000E+00
  5.7142800E-01    0.0000000E+00
  5.7342607E-01    0.0000000E+00
  5.7542402E-01    0.0000000E+00
  5.7742202E-01    2.5622037E-06
  5.7942003E-01    2.4493240E-06
  5.8141804E-01    8.4975009E-06
  5.8341604E-01    1.0777202E-05
  5.8541405E-01    6.3574248E-06
  5.8741200E-01    7.4915861E-06
  5.8941001E-01    8.9305786E-06
  5.9140807E-01    7.6768292E-06
  5.9340602E-01    6.8132399E-06
  5.9540403E-01    7.4797771E-07
  5.9740198E-01    0.0000000E+00
  5.9940004E-01    0.0000000E+00
  6.0139805E-01    1.6489219E-06
  6.0339600E-01    3.8055653E-06
  6.0539401E-01    3.5621583E-06
  6.0739207E-01    0.0000000E+00
  6.0939002E-01    3.5332639E-06
  6.1138803E-01    2.3233795E-06
  6.1338603E-01    7.4372451E-06
  6.1538398E-01    0.0000000E+00
  6.1738205E-01    3.8665712E-07
  6.1938006E-01    1.9268193E-06
  6.2137800E-01    2.9767200E-06
  6.2337601E-01    1.2236354E-05
  6.2537408E-01    0.0000000E+00
  6.2737203E-01    0.0000000E+00
  6.2937003E-01    0.0000000E+00
  6.3136798E-01    1.1232510E-05
  6.3336605E-01    3.4337136E-06
  6.3536406E-01    0.0000000E+00
  6.3736200E-01    4.0084556E-06
  6.3936001E-01    0.0000000E+00
  6.4135802E-01    0.0000000E+00
  6.4335603E-01    0.0000000E+00
  6.4535403E-01    1.9057460E-07
  6.4735204E-01    5.8877522E-06
  6.4934999E-01    6.4703377E-06
  6.5134805E-01    8.5530983E-06
  6.5334606E-01    3.3724211E-06
  6.5534401E-01    0.0000000E+00
  6.5734202E-01    0.0000000E+00
  6.5934008E-01    6.6160997E-06
  6.6133803E-01    3.9988604E-06
  6.6333604E-01    1.0396339E-05
  6.6533399E-01    0.0000000E+00
  6.6733199E-01    4.5896750E-06
  6.6933006E-01    9.1251404E-06
  6.7132801E-01    0.0000000E+00
  6.7332602E-01    7.2702992E-06
  6.7532402E-01    0.0000000E+00
  6.7732203E-01    6.9730470E-07
  6.7932004E-01    6.6751554E-06
  6.8131804E-01    1.1080733E-05
  6.8331599E-01    0.0000000E+00
  6.8531406E-01    0.0000000E+00
  6.8731207E-01    1.2467896E-05
  6.8931001E-01    2.6691457E-06
  6.9130802E-01    5.3206662E-07
  6.9330609E-01    0.0000000E+00
  6.9530404E-01    0.0000000E+00
  6.9730204E-01    0.0000000E+00
  6.9930005E-01    6.1050073E-06
  7.0129800E-01    0.0000000E+00
  7.0329607E-01    1.4644721E-06
  7.0529401E-01    1.0559088E-05
  7.0729202E-01    1.1186211E-05
  7.0929003E-01    0.0000000E+00
  7.1128803E-01    0.0000000E+00
  7.1328604E-01    7.4988343E-06
  7.1528405E-01    3.8410690E-06
  7.1728200E-01    2.3256819E-06
  7.1928006E-01    6.4964011E-06
  7.2127807E-01    0.0000000E+00
  7.2327602E-01    0.0000000E+00
  7.2527403E-01    0.0000000E+00
  7.2727203E-01    0.0000000E+00
  7.2927004E-01    0.0000000E+00
  7.3126805E-01    1.0443046E-07
  7.3326606E-01    7.7614750E-06
  7.3526400E-01    3.5285270E-06
  7.3726207E-01    0.0000000E+00
  7.3926002E-01    3.5903699E-06
  7.4125803E-01    3.8174071E-06
  7.4325603E-01    8.6413784E-06
  7.4525404E-01    3.9687211E-06
  7.4725205E-01    3.3651506E-06
  7.4925005E-01    1.0099947E-05
  7.5124800E-01    1.1965462E-05
  7.5324601E-01    1.5773406E-06
  7.5524408E-01    2.4283720E-06
  7.5724202E-01    0.0000000E+00
  7.5924003E-01    0.0000000E+00
  7.6123804E-01    0.0000000E+00
  7.6323605E-01    6.0764210E-06
  7.6523405E-01    1.3769839E-07
  7.6723206E-01    2.2030531E-06
  7.6923001E-01    3.7754257E-06
  7.7122808E-01    7.6966244E-06
  7.7322602E-01    3.2762637E-06
  7.7522403E-01    5.3990220E-06
