# wave[microns]    norm_trans
  2.2957001E+00    0.0000000E+00
  2.2962000E+00    1.9531250E-07
  2.2967000E+00    7.8124998E-07
  2.2973001E+00    7.8124998E-07
  2.2978001E+00    5.8593753E-07
  2.2983000E+00    7.8124998E-07
  2.2988999E+00    1.3671875E-06
  2.2994001E+00    2.1484375E-06
  2.2999001E+00    2.9296875E-06
  2.3004000E+00    3.5156249E-06
  2.3010001E+00    3.7109376E-06
  2.3015001E+00    3.7109376E-06
  2.3020000E+00    3.3203125E-06
  2.3025999E+00    3.1249999E-06
  2.3031001E+00    3.1249999E-06
  2.3036001E+00    3.5156249E-06
  2.3041000E+00    4.4921876E-06
  2.3046999E+00    5.6640624E-06
  2.3052001E+00    6.8359377E-06
  2.3057001E+00    8.0078125E-06
  2.3062999E+00    8.9843752E-06
  2.3067999E+00    9.5703126E-06
  2.3073001E+00    1.0351562E-05
  2.3079000E+00    1.1132813E-05
  2.3083999E+00    1.2500000E-05
  2.3089001E+00    1.4257813E-05
  2.3095000E+00    1.6210937E-05
  2.3099999E+00    1.8164063E-05
  2.3104999E+00    1.9531250E-05
  2.3111000E+00    2.0703124E-05
  2.3116000E+00    2.2070313E-05
  2.3120999E+00    2.4804687E-05
  2.3127000E+00    2.9296874E-05
  2.3132000E+00    3.5742189E-05
  2.3137000E+00    4.3164062E-05
  2.3143001E+00    5.1171875E-05
  2.3148000E+00    5.8984377E-05
  2.3153999E+00    6.7578127E-05
  2.3159001E+00    7.7343750E-05
  2.3164001E+00    9.0039066E-05
  2.3169999E+00    1.0566406E-04
  2.3175001E+00    1.2480469E-04
  2.3180001E+00    1.4726563E-04
  2.3185999E+00    1.7382813E-04
  2.3190999E+00    2.0527343E-04
  2.3196001E+00    2.4316406E-04
  2.3202000E+00    2.8925782E-04
  2.3206999E+00    3.4375000E-04
  2.3213000E+00    4.0703124E-04
  2.3218000E+00    4.7949218E-04
  2.3223000E+00    5.6171877E-04
  2.3229001E+00    6.5390626E-04
  2.3234000E+00    7.5546873E-04
  2.3239999E+00    8.6289062E-04
  2.3245001E+00    9.7109377E-04
  2.3250000E+00    1.0773437E-03
  2.3255999E+00    1.1783203E-03
  2.3261001E+00    1.2703125E-03
  2.3267000E+00    1.3488281E-03
  2.3271999E+00    1.4117188E-03
  2.3276999E+00    1.4572266E-03
  2.3283000E+00    1.4898437E-03
  2.3288000E+00    1.5121094E-03
  2.3294001E+00    1.5246094E-03
  2.3299000E+00    1.5265625E-03
  2.3304999E+00    1.5214843E-03
  2.3310001E+00    1.5125000E-03
  2.3315001E+00    1.5048828E-03
  2.3320999E+00    1.5001954E-03
  2.3326001E+00    1.4962890E-03
  2.3332000E+00    1.4916016E-03
  2.3336999E+00    1.4878906E-03
  2.3343000E+00    1.4867188E-03
  2.3348000E+00    1.4890624E-03
  2.3354001E+00    1.4943359E-03
  2.3359001E+00    1.4990234E-03
  2.3364000E+00    1.5033203E-03
  2.3369999E+00    1.5095703E-03
  2.3375001E+00    1.5181641E-03
  2.3381000E+00    1.5289063E-03
  2.3385999E+00    1.5392578E-03
  2.3392000E+00    1.5464844E-03
  2.3397000E+00    1.5521485E-03
  2.3403001E+00    1.5591797E-03
  2.3408000E+00    1.5671875E-03
  2.3413999E+00    1.5750000E-03
  2.3419001E+00    1.5808594E-03
  2.3425000E+00    1.5832031E-03
  2.3429999E+00    1.5845703E-03
  2.3436000E+00    1.5859375E-03
  2.3441000E+00    1.5851563E-03
  2.3447001E+00    1.5796875E-03
  2.3452001E+00    1.5699218E-03
  2.3457999E+00    1.5566406E-03
  2.3462999E+00    1.5421875E-03
  2.3469000E+00    1.5263672E-03
  2.3474000E+00    1.5046875E-03
  2.3480000E+00    1.4742188E-03
  2.3485000E+00    1.4353516E-03
  2.3491001E+00    1.3880859E-03
  2.3496001E+00    1.3335937E-03
  2.3501999E+00    1.2710937E-03
  2.3506999E+00    1.1990234E-03
  2.3513000E+00    1.1187500E-03
  2.3518000E+00    1.0343750E-03
  2.3524001E+00    9.4804686E-04
  2.3529000E+00    8.6074218E-04
  2.3534999E+00    7.7402341E-04
  2.3540001E+00    6.8925781E-04
  2.3546000E+00    6.0839846E-04
  2.3552001E+00    5.3457031E-04
  2.3557000E+00    4.6699218E-04
  2.3563001E+00    4.0605469E-04
  2.3568001E+00    3.5156251E-04
  2.3573999E+00    3.0390624E-04
  2.3578999E+00    2.6249999E-04
  2.3585000E+00    2.2734376E-04
  2.3590000E+00    1.9648437E-04
  2.3596001E+00    1.6953125E-04
  2.3601999E+00    1.4609375E-04
  2.3606999E+00    1.2617187E-04
  2.3613000E+00    1.0937500E-04
  2.3618000E+00    9.4921874E-05
  2.3624001E+00    8.2421873E-05
  2.3629000E+00    7.1484377E-05
  2.3635001E+00    6.2109379E-05
  2.3641000E+00    5.4101562E-05
  2.3645999E+00    4.7265625E-05
  2.3652000E+00    4.1601561E-05
  2.3657000E+00    3.7109374E-05
  2.3663001E+00    3.3593751E-05
  2.3669000E+00    3.1250001E-05
  2.3673999E+00    2.9101562E-05
  2.3680000E+00    2.6562500E-05
  2.3685000E+00    2.4023437E-05
  2.3691001E+00    2.1289063E-05
  2.3697000E+00    1.8554687E-05
  2.3701999E+00    1.5820313E-05
  2.3708000E+00    1.2890625E-05
  2.3714001E+00    9.3750004E-06
  2.3719001E+00    6.4453125E-06
  2.3724999E+00    4.6875002E-06
  2.3729999E+00    4.2968750E-06
  2.3736000E+00    4.8828124E-06
  2.3742001E+00    5.0781250E-06
  2.3747001E+00    4.4921876E-06
  2.3752999E+00    3.3203125E-06
  2.3759000E+00    2.5390625E-06
  2.3764000E+00    2.1484375E-06
  2.3770001E+00    2.5390625E-06
  2.3776000E+00    3.1249999E-06
  2.3780999E+00    3.7109376E-06
  2.3787000E+00    4.4921876E-06
  2.3793001E+00    5.0781250E-06
  2.3798001E+00    5.4687498E-06
  2.3803999E+00    5.2734376E-06
  2.3810000E+00    4.6875002E-06
  2.3815000E+00    3.7109376E-06
  2.3821001E+00    3.3203125E-06
  2.3827000E+00    2.9296875E-06
  2.3831999E+00    2.5390625E-06
  2.3838000E+00    1.5625000E-06
  2.3843999E+00    3.9062499E-07
  2.3849001E+00    0.0000000E+00
