# wave[microns]    norm_trans
  9.5903599E-01    0.0000000E+00
  9.5911598E-01    1.8838709E-04
  9.5919597E-01    1.8655913E-04
  9.5927602E-01    1.0870968E-03
  9.5935601E-01    7.8451616E-04
  9.5943600E-01    7.8268821E-04
  9.5951599E-01    7.8086019E-04
  9.5959598E-01    7.7903224E-04
  9.5967603E-01    7.7709672E-04
  9.5975697E-01    7.7526883E-04
  9.5983702E-01    7.7344087E-04
  9.5991701E-01    1.0724731E-03
  9.5999700E-01    1.0706452E-03
  9.6007699E-01    1.0688172E-03
  9.6015698E-01    1.0669893E-03
  9.6023703E-01    1.0651613E-03
  9.6031702E-01    1.0633332E-03
  9.6039802E-01    1.0615053E-03
  9.6047801E-01    1.0596775E-03
  9.6055800E-01    1.0578495E-03
  9.6063799E-01    1.0559140E-03
  9.6071798E-01    1.0540860E-03
  9.6079803E-01    1.0522581E-03
  9.6087801E-01    1.0504301E-03
  9.6095800E-01    1.0486022E-03
  9.6103901E-01    1.0467742E-03
  9.6111900E-01    1.0449463E-03
  9.6119899E-01    1.0431183E-03
  9.6127898E-01    1.0412904E-03
  9.6135902E-01    1.3397851E-03
  9.6143901E-01    1.3387097E-03
  9.6151900E-01    1.3365592E-03
  9.6159899E-01    1.3344086E-03
  9.6167898E-01    1.6333334E-03
  9.6175998E-01    1.6322581E-03
  9.6183997E-01    1.6301075E-03
  9.6192002E-01    1.6279570E-03
  9.6200001E-01    1.9268817E-03
  9.6208000E-01    1.9258064E-03
  9.6215999E-01    1.9236559E-03
  9.6223998E-01    1.9215053E-03
  9.6232003E-01    1.9204301E-03
  9.6240097E-01    1.9182796E-03
  9.6248102E-01    4.9247309E-03
  9.6256101E-01    3.4182796E-03
  9.6264100E-01    3.1161290E-03
  9.6272099E-01    1.0588172E-04
  9.6280098E-01    1.9086022E-03
  9.6288103E-01    1.9075269E-03
  9.6296102E-01    1.9053763E-03
  9.6304202E-01    2.5053765E-03
  9.6312201E-01    2.5032258E-03
  9.6320200E-01    3.1032260E-03
  9.6328199E-01    3.1010753E-03
  9.6336198E-01    3.0989249E-03
  9.6344203E-01    3.0978494E-03
  9.6352202E-01    3.0956990E-03
  9.6360201E-01    3.3946238E-03
  9.6368200E-01    3.3924731E-03
  9.6376300E-01    3.3913979E-03
  9.6384299E-01    3.6903226E-03
  9.6392298E-01    3.6881720E-03
  9.6400303E-01    3.6860215E-03
  9.6408302E-01    3.9849463E-03
  9.6416301E-01    3.9838711E-03
  9.6424299E-01    4.2827954E-03
  9.6432298E-01    4.2806449E-03
  9.6440399E-01    4.2784945E-03
  9.6448398E-01    4.2774193E-03
  9.6456403E-01    4.2752689E-03
  9.6464401E-01    4.2731185E-03
  9.6472400E-01    4.5720427E-03
  9.6480399E-01    4.8709679E-03
  9.6488398E-01    4.8688171E-03
  9.6496397E-01    5.1688170E-03
  9.6504402E-01    5.1666666E-03
  9.6512502E-01    5.7666665E-03
  9.6520501E-01    5.4634404E-03
  9.6528500E-01    5.4612900E-03
  9.6536499E-01    5.4602148E-03
  9.6544498E-01    5.4580644E-03
  9.6552497E-01    5.4559140E-03
  9.6560502E-01    5.4548387E-03
  9.6568501E-01    5.7537635E-03
  9.6576601E-01    6.0526878E-03
  9.6584600E-01    6.0505373E-03
  9.6592599E-01    6.0483874E-03
  9.6600598E-01    6.3473117E-03
  9.6608597E-01    6.6462364E-03
  9.6616602E-01    6.6451612E-03
  9.6624601E-01    6.6430108E-03
  9.6632600E-01    6.6408603E-03
  9.6640700E-01    6.6397851E-03
  9.6648699E-01    6.6376347E-03
  9.6656698E-01    6.6354838E-03
  9.6664703E-01    6.6344086E-03
  9.6672702E-01    6.6322577E-03
  9.6680701E-01    6.6301073E-03
  9.6688700E-01    6.6279569E-03
  9.6696699E-01    6.6268817E-03
  9.6704698E-01    6.6247312E-03
  9.6712798E-01    6.6225808E-03
  9.6720803E-01    6.9215051E-03
  9.6728802E-01    6.9204303E-03
  9.6736801E-01    7.2193546E-03
  9.6744800E-01    7.2172042E-03
  9.6752799E-01    7.2150538E-03
  9.6760798E-01    7.5139785E-03
  9.6768802E-01    7.5129028E-03
  9.6776903E-01    7.5107524E-03
  9.6784902E-01    7.5086020E-03
  9.6792901E-01    7.8075267E-03
  9.6800900E-01    7.8064515E-03
  9.6808898E-01    7.8043006E-03
