# wave[microns]    norm_trans
  1.0200000E+01    2.1986915E-03
  1.0223000E+01    1.6406440E-03
  1.0246000E+01    1.3548740E-03
  1.0269000E+01    1.3065956E-03
  1.0292000E+01    1.4609980E-03
  1.0315000E+01    1.7832955E-03
  1.0338000E+01    2.2387025E-03
  1.0361000E+01    2.7923828E-03
  1.0384000E+01    3.4095759E-03
  1.0407000E+01    4.0554581E-03
  1.0430000E+01    4.6952697E-03
  1.0453000E+01    5.2941614E-03
  1.0476000E+01    5.8173724E-03
  1.0499000E+01    6.2372615E-03
  1.0522000E+01    6.6299634E-03
  1.0545000E+01    7.1495781E-03
  1.0568000E+01    7.9521853E-03
  1.0591000E+01    9.1938041E-03
  1.0614000E+01    1.1030590E-02
  1.0637000E+01    1.3618437E-02
  1.0660000E+01    1.7113462E-02
  1.0683000E+01    2.1671697E-02
  1.0706000E+01    2.7449463E-02
  1.0729000E+01    3.4602337E-02
  1.0752000E+01    4.3286547E-02
  1.0775000E+01    5.3670228E-02
  1.0798000E+01    6.6822603E-02
  1.0821000E+01    8.5319839E-02
  1.0844000E+01    1.1188353E-01
  1.0867000E+01    1.4923477E-01
  1.0890000E+01    2.0009713E-01
  1.0913000E+01    2.6718712E-01
  1.0936000E+01    3.5294569E-01
  1.0959000E+01    4.5865685E-01
  1.0982000E+01    5.7877064E-01
  1.1005000E+01    7.0173997E-01
  1.1028000E+01    8.1472468E-01
  1.1051000E+01    9.0463185E-01
  1.1074000E+01    9.6189010E-01
  1.1097000E+01    9.9100274E-01
  1.1120000E+01    1.0000000E+00
  1.1143000E+01    9.9653238E-01
  1.1166000E+01    9.8629045E-01
  1.1189000E+01    9.7433203E-01
  1.1212000E+01    9.6511906E-01
  1.1235000E+01    9.5907217E-01
  1.1258000E+01    9.5492971E-01
  1.1281000E+01    9.5142442E-01
  1.1304000E+01    9.4728845E-01
  1.1327000E+01    9.4125473E-01
  1.1350000E+01    9.3205184E-01
  1.1373000E+01    9.1837656E-01
  1.1396000E+01    8.9890420E-01
  1.1419000E+01    8.7230998E-01
  1.1442000E+01    8.3726752E-01
  1.1465000E+01    7.9245532E-01
  1.1488000E+01    7.3674756E-01
  1.1511000E+01    6.7318851E-01
  1.1534000E+01    6.0752308E-01
  1.1557000E+01    5.4008824E-01
  1.1580000E+01    4.7148603E-01
  1.1603000E+01    4.0454522E-01
  1.1626000E+01    3.4219965E-01
  1.1649000E+01    2.8621328E-01
  1.1672000E+01    2.3658668E-01
  1.1695000E+01    1.9317964E-01
  1.1718000E+01    1.5585065E-01
  1.1741000E+01    1.2446281E-01
  1.1764000E+01    9.8873638E-02
  1.1787000E+01    7.8755528E-02
  1.1810000E+01    6.3331194E-02
  1.1833000E+01    5.1759124E-02
  1.1856000E+01    4.3195911E-02
  1.1879000E+01    3.6798794E-02
  1.1902000E+01    3.1724870E-02
  1.1925000E+01    2.7285885E-02
  1.1948000E+01    2.3333924E-02
  1.1971000E+01    1.9840023E-02
  1.1994000E+01    1.6775072E-02
  1.2017000E+01    1.4110371E-02
  1.2040000E+01    1.1816776E-02
  1.2063000E+01    9.8653212E-03
  1.2086000E+01    8.2269739E-03
  1.2109000E+01    6.8728831E-03
  1.2132000E+01    5.7739918E-03
  1.2155000E+01    4.9013332E-03
  1.2178000E+01    4.2258906E-03
  1.2201000E+01    3.7187594E-03
  1.2224000E+01    3.3509221E-03
  1.2247000E+01    3.0933875E-03
  1.2270000E+01    2.9171871E-03
  1.2293000E+01    2.7933421E-03
  1.2316000E+01    2.6928850E-03
  1.2339000E+01    2.5868244E-03
  1.2362000E+01    2.4461795E-03
  1.2385000E+01    2.2419714E-03
  1.2408000E+01    1.9452332E-03
  1.2431000E+01    1.5269847E-03
  1.2454000E+01    9.5820875E-04
  1.2477000E+01    2.0997616E-04
