# wave[microns]    norm_trans
  1.0200000E+01    3.7649083E-03
  1.0205000E+01    1.6523384E-03
  1.0210000E+01    4.1202904E-05
  1.0215000E+01    1.1287725E-03
  1.0220000E+01    1.9179328E-03
  1.0225000E+01    2.3865520E-03
  1.0230000E+01    2.5949611E-03
  1.0235000E+01    2.6035048E-03
  1.0240000E+01    2.4724435E-03
  1.0245000E+01    2.2620931E-03
  1.0250000E+01    2.0327426E-03
  1.0255000E+01    1.8447367E-03
  1.0260000E+01    1.7583495E-03
  1.0265000E+01    1.8339118E-03
  1.0270000E+01    2.1317259E-03
  1.0275000E+01    2.7119671E-03
  1.0280000E+01    3.6351501E-03
  1.0285000E+01    4.9614925E-03
  1.0290000E+01    6.7513250E-03
  1.0295000E+01    9.0649500E-03
  1.0300000E+01    1.1962670E-02
  1.0305000E+01    1.5504817E-02
  1.0310000E+01    1.9751662E-02
  1.0315000E+01    2.4762521E-02
  1.0320000E+01    3.0599572E-02
  1.0325000E+01    3.7322275E-02
  1.0330000E+01    4.5142852E-02
  1.0335000E+01    5.5396747E-02
  1.0340000E+01    6.9922909E-02
  1.0345000E+01    9.0562642E-02
  1.0350000E+01    1.1915729E-01
  1.0355000E+01    1.5753980E-01
  1.0360000E+01    2.0753197E-01
  1.0365000E+01    2.6961792E-01
  1.0370000E+01    3.4257689E-01
  1.0375000E+01    4.2506814E-01
  1.0380000E+01    5.1451313E-01
  1.0385000E+01    6.0557359E-01
  1.0390000E+01    6.9254190E-01
  1.0395000E+01    7.7066433E-01
  1.0400000E+01    8.3730286E-01
  1.0405000E+01    8.9014482E-01
  1.0410000E+01    9.2781603E-01
  1.0415000E+01    9.5287114E-01
  1.0420000E+01    9.6884239E-01
  1.0425000E+01    9.7887433E-01
  1.0430000E+01    9.8455888E-01
  1.0435000E+01    9.8709875E-01
  1.0440000E+01    9.8769766E-01
  1.0445000E+01    9.8755872E-01
  1.0450000E+01    9.8788488E-01
  1.0455000E+01    9.8970091E-01
  1.0460000E+01    9.9271011E-01
  1.0465000E+01    9.9602401E-01
  1.0470000E+01    9.9875110E-01
  1.0475000E+01    1.0000000E+00
  1.0480000E+01    9.9887955E-01
  1.0485000E+01    9.9449825E-01
  1.0490000E+01    9.8596436E-01
  1.0495000E+01    9.7238666E-01
  1.0500000E+01    9.5287353E-01
  1.0505000E+01    9.2653388E-01
  1.0510000E+01    8.9247561E-01
  1.0515000E+01    8.4980881E-01
  1.0520000E+01    7.9789805E-01
  1.0525000E+01    7.3668838E-01
  1.0530000E+01    6.6616565E-01
  1.0535000E+01    5.8718210E-01
  1.0540000E+01    5.0390553E-01
  1.0545000E+01    4.2133600E-01
  1.0550000E+01    3.4402943E-01
  1.0555000E+01    2.7476627E-01
  1.0560000E+01    2.1588311E-01
  1.0565000E+01    1.6927166E-01
  1.0570000E+01    1.3345492E-01
  1.0575000E+01    1.0548499E-01
  1.0580000E+01    8.2617044E-02
  1.0585000E+01    6.3733824E-02
  1.0590000E+01    4.8447698E-02
  1.0595000E+01    3.6374468E-02
  1.0600000E+01    2.7129985E-02
  1.0605000E+01    2.0331139E-02
  1.0610000E+01    1.5591217E-02
  1.0615000E+01    1.2527581E-02
  1.0620000E+01    1.0756012E-02
  1.0625000E+01    9.8923519E-03
  1.0630000E+01    9.5524285E-03
  1.0635000E+01    9.3520535E-03
  1.0640000E+01    8.9124227E-03
  1.0645000E+01    8.0639524E-03
  1.0650000E+01    6.9089388E-03
  1.0655000E+01    5.5670957E-03
  1.0660000E+01    4.1588149E-03
  1.0665000E+01    2.8042910E-03
  1.0670000E+01    1.6237316E-03
  1.0675000E+01    7.3730241E-04
  1.0680000E+01    2.6519762E-04
  1.0685000E+01    3.2762540E-04
  1.0690000E+01    1.0445673E-03
  1.0695000E+01    2.5364582E-03
