# wave[microns]    norm_trans
  2.2600000E+00    0.0000000E+00
  2.2620001E+00    1.6949153E-02
  2.2639999E+00    1.6949153E-02
  2.2660000E+00    1.6949153E-02
  2.2679999E+00    1.6949153E-02
  2.2700000E+00    3.3898305E-02
  2.2720001E+00    5.0847460E-02
  2.2739999E+00    6.7796610E-02
  2.2760000E+00    1.0169492E-01
  2.2780001E+00    1.5254238E-01
  2.2800000E+00    2.5423732E-01
  2.2820001E+00    3.8983053E-01
  2.2839999E+00    5.9322035E-01
  2.2860000E+00    7.7966106E-01
  2.2880001E+00    9.4915259E-01
  2.2900000E+00    9.8305088E-01
  2.2920001E+00    9.4915259E-01
  2.2939999E+00    8.8135594E-01
  2.2960000E+00    8.4745765E-01
  2.2980001E+00    8.3050853E-01
  2.3000000E+00    8.4745765E-01
  2.3020000E+00    8.8135594E-01
  2.3039999E+00    8.9830506E-01
  2.3060000E+00    9.1525429E-01
  2.3080001E+00    9.3220347E-01
  2.3099999E+00    9.3220347E-01
  2.3120000E+00    9.4915259E-01
  2.3139999E+00    1.0000000E+00
  2.3160000E+00    9.8305088E-01
  2.3180001E+00    9.6610171E-01
  2.3199999E+00    9.6610171E-01
  2.3220000E+00    9.8305088E-01
  2.3239999E+00    9.8305088E-01
  2.3260000E+00    1.0000000E+00
  2.3280001E+00    1.0000000E+00
  2.3299999E+00    9.8305088E-01
  2.3320000E+00    9.3220347E-01
  2.3340001E+00    8.9830506E-01
  2.3360000E+00    8.9830506E-01
  2.3380001E+00    8.6440682E-01
  2.3399999E+00    6.7796612E-01
  2.3420000E+00    5.4237288E-01
  2.3440001E+00    3.8983053E-01
  2.3460000E+00    2.8813562E-01
  2.3480000E+00    1.6949153E-01
  2.3499999E+00    1.0169492E-01
  2.3520000E+00    6.7796610E-02
  2.3540001E+00    5.0847460E-02
  2.3559999E+00    3.3898305E-02
  2.3580000E+00    1.6949153E-02
  2.3599999E+00    1.6949153E-02
  2.3620000E+00    0.0000000E+00
