# wave[microns]    norm_trans
  1.2440000E+00    0.0000000E+00
  1.2460001E+00    1.5151515E-02
  1.2480000E+00    3.0303029E-02
  1.2500000E+00    1.6666666E-01
  1.2520000E+00    6.0606056E-01
  1.2539999E+00    9.2424244E-01
  1.2560000E+00    9.8484838E-01
  1.2580000E+00    1.0000000E+00
  1.2600000E+00    9.8484838E-01
  1.2620000E+00    9.8484838E-01
  1.2640001E+00    8.9393932E-01
  1.2660000E+00    5.3030300E-01
  1.2680000E+00    1.5151514E-01
  1.2700000E+00    3.0303029E-02
  1.2720000E+00    1.5151515E-02
  1.2740000E+00    0.0000000E+00
