# wave[microns]    norm_trans
  2.1060002E+00    0.0000000E+00
  2.1070001E+00    2.3415739E-06
  2.1080000E+00    1.3241418E-05
  2.1090002E+00    7.5561252E-06
  2.1100001E+00    1.3632085E-05
  2.1110001E+00    3.7416648E-06
  2.1120000E+00    2.0812102E-05
  2.1130002E+00    8.0608379E-06
  2.1140001E+00    1.0531016E-05
  2.1150000E+00    5.0956527E-07
  2.1160002E+00    5.0932267E-06
  2.1170001E+00    1.2838618E-05
  2.1180000E+00    5.6052181E-07
  2.1190002E+00    1.4971514E-06
  2.1200001E+00    8.1942953E-06
  2.1210001E+00    1.9217889E-06
  2.1220002E+00    3.6106339E-06
  2.1230001E+00    1.4818644E-05
  2.1240001E+00    4.2148331E-06
  2.1250000E+00    6.7990563E-06
  2.1260002E+00    3.7368120E-06
  2.1270001E+00    1.9635248E-05
  2.1280000E+00    1.3127373E-06
  2.1290002E+00    9.3711487E-06
  2.1300001E+00    1.2989061E-05
  2.1310000E+00    4.8602819E-06
  2.1320002E+00    2.5534075E-05
  2.1330001E+00    9.2207053E-08
  2.1340001E+00    4.8044723E-07
  2.1350000E+00    9.2207053E-08
  2.1360002E+00    4.8772677E-07
  2.1370001E+00    2.4119422E-06
  2.1380000E+00    1.3828631E-05
  2.1390002E+00    7.7623781E-06
  2.1400001E+00    1.1414262E-05
  2.1410000E+00    1.5010337E-05
  2.1420002E+00    8.0171603E-06
  2.1430001E+00    5.2169781E-07
  2.1440001E+00    6.2094168E-06
  2.1450002E+00    2.2287413E-05
  2.1460001E+00    2.2343223E-05
  2.1470001E+00    6.1972846E-06
  2.1480000E+00    1.7203895E-06
  2.1490002E+00    1.1120656E-05
  2.1500001E+00    1.3576275E-05
  2.1510000E+00    1.6805949E-05
  2.1520002E+00    1.9239729E-05
  2.1530001E+00    2.2367489E-05
  2.1540000E+00    3.8850711E-05
  2.1550002E+00    2.2493668E-05
  2.1560001E+00    1.1479778E-05
  2.1570001E+00    3.9988740E-06
  2.1580000E+00    1.7706181E-05
  2.1590002E+00    2.4912890E-05
  2.1600001E+00    2.2799406E-05
  2.1610000E+00    2.0474818E-05
  2.1620002E+00    2.7283582E-05
  2.1630001E+00    1.1164333E-05
  2.1640000E+00    2.8673967E-05
  2.1650002E+00    3.5589495E-05
  2.1660001E+00    5.6865058E-05
  2.1670001E+00    2.3874347E-05
  2.1680002E+00    2.2476681E-05
  2.1690001E+00    5.5394597E-05
  2.1700001E+00    3.8605634E-05
  2.1710000E+00    2.7958149E-05
  2.1720002E+00    3.9035127E-05
  2.1730001E+00    4.7537585E-05
  2.1740000E+00    4.9376875E-05
  2.1750002E+00    4.3203854E-05
  2.1760001E+00    3.1988566E-05
  2.1770000E+00    4.9396287E-05
  2.1780002E+00    4.2148327E-05
  2.1790001E+00    6.8837420E-05
  2.1800001E+00    6.3411760E-05
  2.1810000E+00    5.5957549E-05
  2.1820002E+00    7.0193826E-05
  2.1830001E+00    7.0574795E-05
  2.1840000E+00    6.5003544E-05
  2.1850002E+00    7.5658310E-05
  2.1860001E+00    7.7723264E-05
  2.1870000E+00    1.0701355E-04
  2.1880002E+00    1.1201944E-04
  2.1890001E+00    1.0886740E-04
  2.1900001E+00    1.3779373E-04
  2.1910002E+00    1.4661891E-04
  2.1920002E+00    1.5717905E-04
  2.1930001E+00    1.4619427E-04
  2.1940000E+00    1.7435868E-04
  2.1950002E+00    2.0500539E-04
  2.1960001E+00    1.9614866E-04
  2.1970000E+00    2.1841182E-04
  2.1980002E+00    2.4568569E-04
  2.1990001E+00    2.7021032E-04
  2.2000000E+00    2.8610151E-04
  2.2010002E+00    3.0786722E-04
  2.2020001E+00    3.6123811E-04
  2.2030001E+00    4.0214890E-04
  2.2040000E+00    4.2112416E-04
  2.2050002E+00    4.6373592E-04
  2.2060001E+00    5.0829625E-04
  2.2070000E+00    5.7870115E-04
  2.2080002E+00    6.4686401E-04
  2.2090001E+00    7.2037731E-04
  2.2100000E+00    7.7686139E-04
  2.2110002E+00    8.6060481E-04
  2.2120001E+00    9.5957203E-04
  2.2130001E+00    1.0696357E-03
  2.2140000E+00    1.1893618E-03
  2.2150002E+00    1.3229527E-03
  2.2160001E+00    1.5012642E-03
  2.2170000E+00    1.6972455E-03
  2.2180002E+00    1.9315120E-03
  2.2190001E+00    2.1732426E-03
  2.2200000E+00    2.4781371E-03
  2.2210002E+00    2.8111746E-03
  2.2220001E+00    3.2114987E-03
  2.2230000E+00    3.7091500E-03
  2.2240002E+00    4.2918255E-03
  2.2250001E+00    4.9927207E-03
  2.2260001E+00    5.8149165E-03
  2.2270000E+00    6.8376623E-03
  2.2280002E+00    8.0489721E-03
  2.2290001E+00    9.6122688E-03
  2.2300000E+00    1.1688845E-02
  2.2310002E+00    1.4058567E-02
  2.2320001E+00    1.7063813E-02
  2.2330000E+00    2.0786284E-02
  2.2340002E+00    2.5684761E-02
  2.2350001E+00    3.1806335E-02
  2.2360001E+00    3.9939240E-02
  2.2370000E+00    5.0296035E-02
  2.2380002E+00    6.2535062E-02
  2.2390001E+00    7.8487851E-02
  2.2400000E+00    9.7936258E-02
  2.2410002E+00    1.1759941E-01
  2.2420001E+00    1.3333504E-01
  2.2430000E+00    1.5449460E-01
  2.2440002E+00    1.8306035E-01
