# wave[microns]    norm_trans
  5.4000002E-01    0.0000000E+00
  5.4100001E-01    1.5463917E-02
  5.4200006E-01    3.0927833E-02
  5.4300004E-01    4.6391752E-02
  5.4400003E-01    6.1855666E-02
  5.4500002E-01    7.7319585E-02
  5.4600000E-01    9.2783503E-02
  5.4700005E-01    1.0824741E-01
  5.4800004E-01    1.2371133E-01
  5.4900002E-01    1.3917527E-01
  5.5000001E-01    1.5463917E-01
  5.5100000E-01    2.2783504E-01
  5.5200005E-01    3.0103090E-01
  5.5300003E-01    3.7422681E-01
  5.5400002E-01    4.4742265E-01
  5.5500001E-01    5.2061856E-01
  5.5600005E-01    5.9381437E-01
  5.5700004E-01    6.6701031E-01
  5.5800003E-01    7.4020618E-01
  5.5900002E-01    8.1340200E-01
  5.6000000E-01    8.8659793E-01
  5.6100005E-01    8.9072162E-01
  5.6200004E-01    8.9484531E-01
  5.6300002E-01    8.9896899E-01
  5.6400001E-01    9.0309274E-01
  5.6500000E-01    9.0721649E-01
  5.6600004E-01    9.1134018E-01
  5.6700003E-01    9.1546392E-01
  5.6800002E-01    9.1958761E-01
  5.6900001E-01    9.2371136E-01
  5.7000005E-01    9.2783499E-01
  5.7100004E-01    9.2989689E-01
  5.7200003E-01    9.3195873E-01
  5.7300001E-01    9.3402064E-01
  5.7400000E-01    9.3608242E-01
  5.7500005E-01    9.3814433E-01
  5.7600003E-01    9.4020617E-01
  5.7700002E-01    9.4226801E-01
  5.7800001E-01    9.4432986E-01
  5.7900006E-01    9.4639170E-01
  5.8000004E-01    9.4845361E-01
  5.8100003E-01    9.5051545E-01
  5.8200002E-01    9.5257729E-01
  5.8300000E-01    9.5463914E-01
  5.8400005E-01    9.5670098E-01
  5.8500004E-01    9.5876288E-01
  5.8600003E-01    9.6082467E-01
  5.8700001E-01    9.6288657E-01
  5.8800000E-01    9.6494842E-01
  5.8900005E-01    9.6701032E-01
  5.9000003E-01    9.6907216E-01
  5.9100002E-01    9.7216493E-01
  5.9200001E-01    9.7525769E-01
  5.9300005E-01    9.7835046E-01
  5.9400004E-01    9.8144329E-01
  5.9500003E-01    9.8453605E-01
  5.9600002E-01    9.8762882E-01
  5.9700000E-01    9.9072164E-01
  5.9800005E-01    9.9381441E-01
  5.9900004E-01    9.9690717E-01
  6.0000002E-01    1.0000000E+00
  6.0100001E-01    9.9793810E-01
  6.0200006E-01    9.9587625E-01
  6.0300004E-01    9.9381441E-01
  6.0400003E-01    9.9175256E-01
  6.0500002E-01    9.8969066E-01
  6.0600001E-01    9.8762882E-01
  6.0700005E-01    9.8556697E-01
  6.0800004E-01    9.8350513E-01
  6.0900003E-01    9.8144329E-01
  6.1000001E-01    9.7938138E-01
  6.1100000E-01    9.8144329E-01
  6.1200005E-01    9.8350513E-01
  6.1300004E-01    9.8556697E-01
  6.1400002E-01    9.8762882E-01
  6.1500001E-01    9.8969066E-01
  6.1600006E-01    9.9175256E-01
  6.1700004E-01    9.9381441E-01
  6.1800003E-01    9.9587625E-01
  6.1900002E-01    9.9793810E-01
  6.2000000E-01    1.0000000E+00
