# wave[microns]    norm_trans
  8.9664001E+00    1.5013700E-03
  8.9784002E+00    0.0000000E+00
  8.9904003E+00    6.4956900E-03
  9.0024004E+00    0.0000000E+00
  9.0143995E+00    1.6578401E-02
  9.0263996E+00    1.9139400E-03
  9.0383997E+00    0.0000000E+00
  9.0503998E+00    0.0000000E+00
  9.0623999E+00    1.9980301E-03
  9.0743999E+00    0.0000000E+00
  9.0864000E+00    3.3964801E-03
  9.0984001E+00    0.0000000E+00
  9.1104002E+00    3.9627100E-03
  9.1224003E+00    3.7469799E-04
  9.1344004E+00    1.3994400E-02
  9.1464005E+00    1.9833500E-02
  9.1583996E+00    0.0000000E+00
  9.1703997E+00    2.4007400E-02
  9.1823997E+00    0.0000000E+00
  9.1943998E+00    8.9690499E-03
  9.2063999E+00    1.8884800E-02
  9.2184000E+00    1.3024400E-02
  9.2304001E+00    1.3912400E-03
  9.2424002E+00    9.4573200E-03
  9.2544003E+00    6.6290400E-03
  9.2664003E+00    1.8309100E-03
  9.2784004E+00    0.0000000E+00
  9.2903996E+00    1.6561801E-02
  9.3023996E+00    9.9946596E-03
  9.3143997E+00    1.3305200E-02
  9.3263998E+00    0.0000000E+00
  9.3383999E+00    1.6681900E-02
  9.3504000E+00    6.0017598E-03
  9.3624001E+00    0.0000000E+00
  9.3744001E+00    0.0000000E+00
  9.3864002E+00    1.6956599E-03
  9.3984003E+00    1.8319700E-02
  9.4104004E+00    1.1660900E-02
  9.4224005E+00    1.1154600E-02
  9.4343996E+00    0.0000000E+00
  9.4463997E+00    9.3619404E-03
  9.4583998E+00    7.3611098E-03
  9.4703999E+00    9.2021404E-03
  9.4823999E+00    2.2077501E-02
  9.4944000E+00    0.0000000E+00
  9.5064001E+00    0.0000000E+00
  9.5184002E+00    0.0000000E+00
  9.5304003E+00    1.6828600E-02
  9.5424004E+00    1.5064300E-02
  9.5544004E+00    2.3196200E-02
  9.5663996E+00    1.3090000E-02
  9.5783997E+00    3.8923700E-03
  9.5903997E+00    1.5715400E-02
  9.6023998E+00    1.7898001E-02
  9.6143999E+00    2.8593000E-02
  9.6264000E+00    1.7625701E-02
  9.6384001E+00    3.3990301E-02
  9.6504002E+00    3.3073802E-02
  9.6624002E+00    4.3258000E-02
  9.6744003E+00    3.4667801E-02
  9.6864004E+00    6.5435700E-02
  9.6983995E+00    6.2242500E-02
  9.7103996E+00    5.4619402E-02
  9.7223997E+00    8.2636699E-02
  9.7343998E+00    9.0171598E-02
  9.7463999E+00    7.0883997E-02
  9.7584000E+00    1.1193400E-01
  9.7704000E+00    9.2906900E-02
  9.7824001E+00    1.1617700E-01
  9.7944002E+00    1.4218800E-01
  9.8064003E+00    1.3559601E-01
  9.8184004E+00    1.5940700E-01
  9.8304005E+00    1.6993500E-01
  9.8423996E+00    1.6528000E-01
  9.8543997E+00    2.1451800E-01
  9.8663998E+00    2.4372700E-01
  9.8783998E+00    2.5384900E-01
  9.8903999E+00    2.9094601E-01
  9.9024000E+00    3.1111500E-01
  9.9144001E+00    3.3943799E-01
  9.9264002E+00    3.7188101E-01
  9.9384003E+00    4.0962100E-01
  9.9504004E+00    4.2779201E-01
  9.9624004E+00    4.4606200E-01
  9.9743996E+00    4.8676601E-01
  9.9863997E+00    5.0584799E-01
  9.9983997E+00    5.2206200E-01
  1.0010400E+01    5.4326302E-01
  1.0022400E+01    5.3935200E-01
  1.0034400E+01    5.7852203E-01
  1.0046400E+01    6.1627698E-01
  1.0058400E+01    6.2345701E-01
  1.0070400E+01    6.7180902E-01
  1.0082400E+01    6.9376701E-01
  1.0094400E+01    7.2547603E-01
  1.0106400E+01    7.5627798E-01
  1.0118400E+01    7.8394502E-01
  1.0130400E+01    8.3957201E-01
  1.0142400E+01    8.4617299E-01
  1.0154400E+01    8.7164700E-01
  1.0166400E+01    8.9043599E-01
  1.0178400E+01    8.9931399E-01
  1.0190400E+01    9.0798301E-01
  1.0202400E+01    9.1596103E-01
  1.0214400E+01    9.3218303E-01
  1.0226400E+01    9.3231302E-01
  1.0238400E+01    8.9645702E-01
  1.0250400E+01    9.1398400E-01
  1.0262400E+01    8.6961502E-01
  1.0274400E+01    8.5681200E-01
  1.0286400E+01    8.7945700E-01
  1.0298400E+01    8.6343902E-01
  1.0310400E+01    8.6817801E-01
  1.0322400E+01    8.6699897E-01
  1.0334400E+01    8.5439497E-01
  1.0346400E+01    8.5482901E-01
  1.0358400E+01    8.5378402E-01
  1.0370400E+01    8.8109398E-01
  1.0382400E+01    8.8344997E-01
  1.0394400E+01    8.4857702E-01
  1.0406400E+01    8.9002502E-01
  1.0418400E+01    8.9577901E-01
  1.0430400E+01    8.8653398E-01
  1.0442400E+01    9.2716700E-01
  1.0454400E+01    9.1160101E-01
  1.0466400E+01    9.3658400E-01
  1.0478400E+01    9.3253398E-01
  1.0490400E+01    9.3721801E-01
  1.0502400E+01    9.4213301E-01
  1.0514400E+01    9.4282597E-01
  1.0526400E+01    9.4305599E-01
  1.0538400E+01    9.5999998E-01
  1.0550400E+01    9.4561702E-01
  1.0562400E+01    9.6338999E-01
  1.0574400E+01    9.5221299E-01
  1.0586400E+01    9.5894098E-01
  1.0598400E+01    9.6799302E-01
  1.0610400E+01    9.8809201E-01
  1.0622400E+01    9.7918397E-01
  1.0634400E+01    9.7727901E-01
  1.0646400E+01    9.8563802E-01
  1.0658400E+01    9.8990297E-01
  1.0670400E+01    9.8468298E-01
  1.0682400E+01    1.0000000E+00
  1.0694400E+01    9.8698503E-01
  1.0706400E+01    9.8847699E-01
  1.0718400E+01    9.6074098E-01
  1.0730400E+01    9.5769298E-01
  1.0742400E+01    9.6527600E-01
  1.0754400E+01    9.6124899E-01
  1.0766400E+01    9.4783503E-01
  1.0778400E+01    9.4296002E-01
  1.0790400E+01    9.3617302E-01
  1.0802400E+01    9.1098601E-01
  1.0814400E+01    9.1423798E-01
  1.0826400E+01    9.0412003E-01
  1.0838400E+01    8.9154899E-01
  1.0850400E+01    9.0764397E-01
  1.0862400E+01    8.9984900E-01
  1.0874400E+01    8.8758498E-01
  1.0886400E+01    9.0551299E-01
  1.0898400E+01    8.9076501E-01
  1.0910400E+01    8.7553501E-01
  1.0922400E+01    8.8165200E-01
  1.0934400E+01    8.8644201E-01
  1.0946400E+01    8.7211901E-01
  1.0958400E+01    8.8382900E-01
  1.0970400E+01    8.5991699E-01
  1.0982400E+01    8.6363500E-01
  1.0994400E+01    8.6768597E-01
  1.1006400E+01    8.8106900E-01
  1.1018400E+01    8.4946299E-01
  1.1030400E+01    8.8198102E-01
  1.1042400E+01    8.8034898E-01
  1.1054400E+01    8.8649303E-01
  1.1066400E+01    8.8538700E-01
  1.1078400E+01    8.8922000E-01
  1.1090400E+01    8.8894302E-01
  1.1102400E+01    9.0968800E-01
  1.1114400E+01    9.1371101E-01
  1.1126400E+01    9.1564697E-01
  1.1138400E+01    9.3512201E-01
  1.1150400E+01    9.3386602E-01
  1.1162400E+01    9.2735100E-01
  1.1174400E+01    9.1732597E-01
  1.1186400E+01    9.2478001E-01
  1.1198400E+01    9.0520501E-01
  1.1210400E+01    8.7398303E-01
  1.1222400E+01    8.4705901E-01
  1.1234400E+01    8.0664301E-01
  1.1246400E+01    7.8889698E-01
  1.1258400E+01    7.4414098E-01
  1.1270400E+01    6.7768002E-01
  1.1282400E+01    6.5067601E-01
  1.1294400E+01    6.2252998E-01
  1.1306400E+01    5.7058102E-01
  1.1318400E+01    5.1056403E-01
  1.1330400E+01    4.6798301E-01
  1.1342400E+01    4.1399601E-01
  1.1354400E+01    3.7214300E-01
  1.1366400E+01    3.4200001E-01
  1.1378400E+01    2.8702500E-01
  1.1390400E+01    2.3858200E-01
  1.1402400E+01    2.0857400E-01
  1.1414400E+01    1.9267200E-01
  1.1426400E+01    1.4321500E-01
  1.1438400E+01    1.4612900E-01
  1.1450400E+01    1.0053400E-01
  1.1462400E+01    9.8748296E-02
  1.1474400E+01    7.9406798E-02
  1.1486400E+01    8.1975497E-02
  1.1498400E+01    6.7745298E-02
  1.1510400E+01    7.2215497E-02
  1.1522400E+01    4.5831800E-02
  1.1534400E+01    6.9630802E-02
  1.1546400E+01    3.0514900E-02
  1.1558400E+01    3.4278501E-02
  1.1570400E+01    2.2873901E-02
  1.1582400E+01    3.5670299E-02
  1.1594400E+01    2.2167200E-02
  1.1606400E+01    2.9477401E-02
  1.1618400E+01    2.2763800E-02
  1.1630400E+01    4.0509399E-02
  1.1642400E+01    2.1476600E-02
  1.1654400E+01    9.0830401E-03
  1.1666400E+01    1.2719200E-02
  1.1678400E+01    3.3641100E-02
  1.1690400E+01    1.4387100E-02
  1.1702400E+01    1.2618200E-02
  1.1714400E+01    0.0000000E+00
  1.1726400E+01    8.4118899E-03
  1.1738400E+01    8.1426296E-03
  1.1750400E+01    1.9243101E-02
  1.1762400E+01    0.0000000E+00
  1.1774400E+01    3.5439001E-03
  1.1786400E+01    0.0000000E+00
  1.1798400E+01    3.3213999E-02
  1.1810400E+01    1.3679300E-02
  1.1822400E+01    1.3126100E-02
  1.1834400E+01    0.0000000E+00
  1.1846400E+01    7.9631601E-03
  1.1858400E+01    3.0555001E-03
  1.1870400E+01    0.0000000E+00
  1.1882400E+01    0.0000000E+00
  1.1894400E+01    2.7850301E-03
  1.1906400E+01    0.0000000E+00
  1.1918400E+01    7.2891801E-03
  1.1930400E+01    5.2363402E-03
  1.1942400E+01    2.4139900E-03
  1.1954400E+01    1.0500400E-02
  1.1966400E+01    0.0000000E+00
  1.1978400E+01    1.8630800E-03
  1.1990400E+01    2.0125100E-02
  1.2002400E+01    0.0000000E+00
  1.2014400E+01    5.1830499E-03
  1.2026400E+01    0.0000000E+00
  1.2038400E+01    1.6549001E-02
  1.2050400E+01    5.2420702E-03
  1.2062400E+01    0.0000000E+00
  1.2074400E+01    0.0000000E+00
  1.2086400E+01    1.6110000E-03
  1.2098400E+01    0.0000000E+00
  1.2110400E+01    2.6283899E-02
  1.2122400E+01    0.0000000E+00
  1.2134400E+01    2.3134399E-02
  1.2146400E+01    0.0000000E+00
  1.2158400E+01    2.4472900E-02
  1.2170400E+01    4.3616998E-03
  1.2182400E+01    7.1159601E-03
  1.2194400E+01    0.0000000E+00
  1.2206400E+01    0.0000000E+00
  1.2218400E+01    4.3359702E-03
  1.2230400E+01    3.3557501E-03
  1.2242400E+01    0.0000000E+00
  1.2254400E+01    0.0000000E+00
  1.2266400E+01    0.0000000E+00
  1.2278400E+01    0.0000000E+00
  1.2290400E+01    1.0709900E-02
  1.2302400E+01    0.0000000E+00
  1.2314400E+01    8.0425097E-03
  1.2326400E+01    0.0000000E+00
  1.2338400E+01    1.1239999E-03
  1.2350400E+01    0.0000000E+00
  1.2362400E+01    1.5729699E-02
  1.2374400E+01    0.0000000E+00
  1.2386400E+01    0.0000000E+00
  1.2398400E+01    0.0000000E+00
  1.2410400E+01    0.0000000E+00
  1.2422400E+01    1.4015300E-02
  1.2434400E+01    0.0000000E+00
  1.2446400E+01    0.0000000E+00
  1.2458400E+01    0.0000000E+00
  1.2470400E+01    1.3011500E-04
  1.2482400E+01    2.2342000E-02
  1.2494400E+01    1.1132600E-02
  1.2506400E+01    5.7815399E-04
  1.2518400E+01    1.5857600E-02
  1.2530400E+01    0.0000000E+00
  1.2542400E+01    5.4720799E-03
  1.2554400E+01    0.0000000E+00
  1.2566400E+01    0.0000000E+00
  1.2578400E+01    0.0000000E+00
  1.2590400E+01    0.0000000E+00
  1.2602400E+01    0.0000000E+00
  1.2614400E+01    2.0336000E-02
  1.2626400E+01    0.0000000E+00
  1.2638400E+01    7.9985000E-03
  1.2650400E+01    0.0000000E+00
  1.2662400E+01    7.3794802E-03
  1.2674400E+01    2.6067000E-02
  1.2686400E+01    6.2283799E-03
  1.2698400E+01    4.7227601E-03
  1.2710400E+01    0.0000000E+00
  1.2722400E+01    0.0000000E+00
  1.2734400E+01    0.0000000E+00
  1.2746400E+01    5.1794299E-03
  1.2758400E+01    0.0000000E+00
  1.2770400E+01    0.0000000E+00
  1.2782400E+01    1.1414800E-02
  1.2794400E+01    0.0000000E+00
  1.2806400E+01    1.2167100E-04
  1.2818400E+01    0.0000000E+00
  1.2830400E+01    8.7053198E-03
  1.2842400E+01    0.0000000E+00
  1.2854400E+01    0.0000000E+00
  1.2866400E+01    0.0000000E+00
  1.2878400E+01    0.0000000E+00
  1.2890400E+01    0.0000000E+00
  1.2902400E+01    0.0000000E+00
  1.2914400E+01    2.0264400E-02
  1.2926400E+01    0.0000000E+00
  1.2938400E+01    0.0000000E+00
  1.2950400E+01    0.0000000E+00
  1.2962400E+01    1.2306100E-02
