# wave[microns]    norm_trans
  5.9664001E+00    1.6677401E-03
  5.9784002E+00    2.0294799E-03
  5.9903998E+00    2.0011100E-03
  6.0023999E+00    0.0000000E+00
  6.0144000E+00    1.2878900E-03
  6.0264001E+00    0.0000000E+00
  6.0384002E+00    0.0000000E+00
  6.0503998E+00    1.0455600E-03
  6.0623999E+00    3.5143001E-03
  6.0743999E+00    3.0214700E-04
  6.0864000E+00    0.0000000E+00
  6.0984001E+00    3.6627799E-03
  6.1104002E+00    0.0000000E+00
  6.1223998E+00    0.0000000E+00
  6.1343999E+00    0.0000000E+00
  6.1464000E+00    0.0000000E+00
  6.1584001E+00    0.0000000E+00
  6.1704001E+00    2.5371500E-04
  6.1824002E+00    1.0677900E-03
  6.1943998E+00    1.0253000E-03
  6.2063999E+00    9.2889799E-04
  6.2184000E+00    2.2229000E-03
  6.2304001E+00    4.5924200E-05
  6.2424002E+00    1.2413301E-03
  6.2543998E+00    0.0000000E+00
  6.2663999E+00    0.0000000E+00
  6.2783999E+00    0.0000000E+00
  6.2904000E+00    6.0881201E-05
  6.3024001E+00    2.2197801E-03
  6.3144002E+00    6.3768799E-05
  6.3263998E+00    3.9958898E-03
  6.3383999E+00    0.0000000E+00
  6.3504000E+00    1.5529200E-03
  6.3624001E+00    0.0000000E+00
  6.3744001E+00    5.5747799E-04
  6.3864002E+00    8.8747300E-04
  6.3983998E+00    0.0000000E+00
  6.4103999E+00    0.0000000E+00
  6.4224000E+00    0.0000000E+00
  6.4344001E+00    4.4397099E-04
  6.4464002E+00    0.0000000E+00
  6.4583998E+00    2.6174500E-03
  6.4703999E+00    7.9722202E-04
  6.4823999E+00    0.0000000E+00
  6.4944000E+00    1.9064100E-04
  6.5064001E+00    0.0000000E+00
  6.5184002E+00    0.0000000E+00
  6.5303998E+00    1.6799900E-03
  6.5423999E+00    2.9702100E-03
  6.5544000E+00    2.2350100E-03
  6.5664001E+00    9.2971098E-04
  6.5784001E+00    2.0827500E-03
  6.5904002E+00    1.6923400E-03
  6.6023998E+00    0.0000000E+00
  6.6143999E+00    0.0000000E+00
  6.6264000E+00    6.8173499E-04
  6.6384001E+00    0.0000000E+00
  6.6504002E+00    0.0000000E+00
  6.6623998E+00    0.0000000E+00
  6.6743999E+00    0.0000000E+00
  6.6863999E+00    1.8095101E-03
  6.6984000E+00    2.3450601E-05
  6.7104001E+00    3.0468899E-04
  6.7224002E+00    0.0000000E+00
  6.7343998E+00    8.8227098E-04
  6.7463999E+00    5.2391400E-04
  6.7584000E+00    0.0000000E+00
  6.7704000E+00    1.0554100E-03
  6.7824001E+00    1.6724101E-03
  6.7944002E+00    4.8507401E-04
  6.8063998E+00    1.5632400E-03
  6.8183999E+00    4.5933900E-04
  6.8304000E+00    5.8114098E-04
  6.8424001E+00    8.7432400E-04
  6.8544002E+00    6.8956998E-04
  6.8663998E+00    1.8400400E-03
  6.8783998E+00    1.9524000E-03
  6.8903999E+00    1.5804901E-04
  6.9024000E+00    1.6437500E-03
  6.9144001E+00    5.7977799E-04
  6.9264002E+00    2.7559199E-03
  6.9383998E+00    1.0066800E-03
  6.9503999E+00    2.0863700E-03
  6.9624000E+00    0.0000000E+00
  6.9744000E+00    1.0375000E-03
  6.9864001E+00    0.0000000E+00
  6.9984002E+00    1.7115900E-03
  7.0103998E+00    0.0000000E+00
  7.0223999E+00    1.3489800E-03
  7.0344000E+00    0.0000000E+00
  7.0464001E+00    2.3007800E-03
  7.0584002E+00    2.4579701E-03
  7.0704002E+00    1.2432700E-03
  7.0823998E+00    2.2126200E-04
  7.0943999E+00    7.5322198E-04
  7.1064000E+00    4.1968301E-03
  7.1184001E+00    1.8358800E-03
  7.1304002E+00    0.0000000E+00
  7.1423998E+00    3.6596600E-03
  7.1543999E+00    1.9648899E-03
  7.1664000E+00    3.6800201E-03
  7.1784000E+00    3.6525701E-03
  7.1904001E+00    4.6443301E-03
  7.2024002E+00    5.3938902E-03
  7.2143998E+00    3.0376399E-03
  7.2263999E+00    1.0024700E-02
  7.2384000E+00    1.3010800E-02
  7.2504001E+00    1.6978901E-02
  7.2624002E+00    2.2909399E-02
  7.2744002E+00    2.6716700E-02
  7.2863998E+00    3.0287100E-02
  7.2983999E+00    3.7434701E-02
  7.3104000E+00    5.0756700E-02
  7.3224001E+00    6.6615403E-02
  7.3344002E+00    8.5828103E-02
  7.3463998E+00    1.1623700E-01
  7.3583999E+00    1.4732599E-01
  7.3704000E+00    1.9241901E-01
  7.3824000E+00    2.5723100E-01
  7.3944001E+00    3.1730300E-01
  7.4064002E+00    3.8905501E-01
  7.4183998E+00    4.5360100E-01
  7.4303999E+00    5.1701897E-01
  7.4424000E+00    5.7772797E-01
  7.4544001E+00    6.5067899E-01
  7.4664001E+00    7.1638000E-01
  7.4784002E+00    7.5829101E-01
  7.4903998E+00    7.8866303E-01
  7.5023999E+00    8.1937402E-01
  7.5144000E+00    8.3559799E-01
  7.5264001E+00    8.4191197E-01
  7.5384002E+00    8.4541500E-01
  7.5503998E+00    8.5073900E-01
  7.5623999E+00    8.4555900E-01
  7.5743999E+00    8.4661102E-01
  7.5864000E+00    8.5509199E-01
  7.5984001E+00    8.5423201E-01
  7.6104002E+00    8.5088599E-01
  7.6223998E+00    8.4659201E-01
  7.6343999E+00    8.5089701E-01
  7.6464000E+00    8.4861499E-01
  7.6584001E+00    8.5588998E-01
  7.6704001E+00    8.6737603E-01
  7.6824002E+00    8.7308401E-01
  7.6943998E+00    8.9098901E-01
  7.7063999E+00    9.1082400E-01
  7.7184000E+00    9.2364597E-01
  7.7304001E+00    9.3954599E-01
  7.7424002E+00    9.6221501E-01
  7.7543998E+00    9.7502398E-01
  7.7663999E+00    9.8441499E-01
  7.7783999E+00    1.0000000E+00
  7.7904000E+00    9.9649900E-01
  7.8024001E+00    9.9143100E-01
  7.8144002E+00    9.8265398E-01
  7.8263998E+00    9.5806301E-01
  7.8383999E+00    9.3395799E-01
  7.8504000E+00    9.1046500E-01
  7.8624001E+00    8.8133299E-01
  7.8744001E+00    8.5016602E-01
  7.8864002E+00    8.1968498E-01
  7.8983998E+00    7.8551799E-01
  7.9103999E+00    7.4480999E-01
  7.9224000E+00    7.0789897E-01
  7.9344001E+00    6.6891199E-01
  7.9464002E+00    6.2343401E-01
  7.9583998E+00    5.8366001E-01
  7.9703999E+00    5.4322499E-01
  7.9823999E+00    5.0147200E-01
  7.9944000E+00    4.5807400E-01
  8.0064001E+00    4.2343900E-01
  8.0184002E+00    3.8823199E-01
  8.0304003E+00    3.6048701E-01
  8.0424004E+00    3.3610299E-01
  8.0544004E+00    3.1299400E-01
  8.0663996E+00    2.8950599E-01
  8.0783997E+00    2.6994899E-01
  8.0903997E+00    2.4679400E-01
  8.1023998E+00    2.2737500E-01
  8.1143999E+00    2.0190001E-01
  8.1264000E+00    1.7750400E-01
  8.1384001E+00    1.5448999E-01
  8.1504002E+00    1.3105799E-01
  8.1624002E+00    1.1179300E-01
  8.1744003E+00    9.2290699E-02
  8.1864004E+00    7.6846600E-02
  8.1983995E+00    6.1596099E-02
  8.2103996E+00    4.9276501E-02
  8.2223997E+00    4.2334400E-02
  8.2343998E+00    3.7118901E-02
  8.2463999E+00    3.0437000E-02
  8.2584000E+00    2.4289699E-02
  8.2704000E+00    1.9690800E-02
  8.2824001E+00    1.4079700E-02
  8.2944002E+00    1.6225301E-02
  8.3064003E+00    1.2568600E-02
  8.3184004E+00    1.2925400E-02
  8.3304005E+00    8.5541001E-03
  8.3423996E+00    9.3528898E-03
  8.3543997E+00    7.5661298E-03
  8.3663998E+00    6.0115000E-03
  8.3783998E+00    4.6118400E-03
  8.3903999E+00    4.5410702E-03
  8.4024000E+00    5.0979001E-03
  8.4144001E+00    1.2546001E-04
  8.4264002E+00    2.0991899E-03
  8.4384003E+00    6.1913398E-03
  8.4504004E+00    9.8019998E-05
  8.4624004E+00    3.1170000E-03
  8.4743996E+00    8.2854100E-04
  8.4863997E+00    1.8654700E-03
  8.4983997E+00    3.1119201E-03
  8.5103998E+00    4.2704600E-05
  8.5223999E+00    3.1495499E-03
