# wave[microns]    norm_trans
  1.0030000E+01    1.3866910E-04
  1.0036000E+01    7.8061312E-05
  1.0042000E+01    2.6725389E-05
  1.0048000E+01    0.0000000E+00
  1.0054000E+01    0.0000000E+00
  1.0060000E+01    2.1072929E-05
  1.0066000E+01    4.4309403E-05
  1.0072000E+01    5.0960589E-05
  1.0078000E+01    3.5841036E-05
  1.0084100E+01    0.0000000E+00
  1.0090100E+01    0.0000000E+00
  1.0096100E+01    0.0000000E+00
  1.0102100E+01    0.0000000E+00
  1.0108100E+01    0.0000000E+00
  1.0114100E+01    0.0000000E+00
  1.0120100E+01    0.0000000E+00
  1.0126100E+01    3.2665510E-05
  1.0132100E+01    5.7272500E-05
  1.0138100E+01    5.6258214E-05
  1.0144100E+01    5.1136081E-05
  1.0150100E+01    5.7113495E-05
  1.0156100E+01    7.0550064E-05
  1.0162100E+01    8.2327082E-05
  1.0168100E+01    8.8657638E-05
  1.0174100E+01    8.8175060E-05
  1.0180200E+01    7.8779922E-05
  1.0186200E+01    6.0200422E-05
  1.0192200E+01    4.6561079E-05
  1.0198200E+01    5.4187418E-05
  1.0204200E+01    8.5089210E-05
  1.0210200E+01    1.1391545E-04
  1.0216200E+01    1.0621715E-04
  1.0222200E+01    5.4572614E-05
  1.0228200E+01    0.0000000E+00
  1.0234200E+01    0.0000000E+00
  1.0240200E+01    0.0000000E+00
  1.0246200E+01    1.6631202E-05
  1.0252200E+01    1.4363654E-05
  1.0258200E+01    1.4002175E-06
  1.0264200E+01    1.5424474E-05
  1.0270200E+01    6.5335800E-05
  1.0276200E+01    1.2061470E-04
  1.0282300E+01    1.3415389E-04
  1.0288300E+01    8.4832522E-05
  1.0294300E+01    0.0000000E+00
  1.0300300E+01    0.0000000E+00
  1.0306300E+01    0.0000000E+00
  1.0312300E+01    0.0000000E+00
  1.0318300E+01    0.0000000E+00
  1.0324300E+01    4.3971821E-05
  1.0330300E+01    1.2415800E-04
  1.0336300E+01    1.6606395E-04
  1.0342300E+01    1.6320893E-04
  1.0348300E+01    1.2543777E-04
  1.0354300E+01    8.1202015E-05
  1.0360300E+01    5.8399877E-05
  1.0366300E+01    5.8449183E-05
  1.0372300E+01    5.7612393E-05
  1.0378300E+01    3.8503789E-05
  1.0384400E+01    7.1476065E-06
  1.0390400E+01    0.0000000E+00
  1.0396400E+01    0.0000000E+00
  1.0402400E+01    2.1187561E-05
  1.0408400E+01    5.6637087E-05
  1.0414400E+01    8.2998544E-05
  1.0420400E+01    9.7113523E-05
  1.0426400E+01    1.0883137E-04
  1.0432400E+01    1.2896890E-04
  1.0438400E+01    1.5382780E-04
  1.0444400E+01    1.6831502E-04
  1.0450400E+01    1.5539414E-04
  1.0456400E+01    1.1459338E-04
  1.0462400E+01    6.0037255E-05
  1.0468400E+01    1.3613748E-05
  1.0474400E+01    0.0000000E+00
  1.0480400E+01    1.9489480E-06
  1.0486500E+01    1.6179911E-05
  1.0492500E+01    1.3106511E-05
  1.0498500E+01    0.0000000E+00
  1.0504500E+01    0.0000000E+00
  1.0510500E+01    0.0000000E+00
  1.0516500E+01    0.0000000E+00
  1.0522500E+01    0.0000000E+00
  1.0528500E+01    0.0000000E+00
  1.0534500E+01    4.9417511E-05
  1.0540500E+01    1.0200037E-04
  1.0546500E+01    1.3634010E-04
  1.0552500E+01    1.4443666E-04
  1.0558500E+01    1.3451242E-04
  1.0564500E+01    1.1660207E-04
  1.0570500E+01    9.5698480E-05
  1.0576500E+01    7.6841330E-05
  1.0582600E+01    6.4648157E-05
  1.0588600E+01    6.1956736E-05
  1.0594600E+01    6.7584704E-05
  1.0600600E+01    8.0249665E-05
  1.0606600E+01    9.8226417E-05
  1.0612600E+01    1.0920130E-04
  1.0618600E+01    9.7548946E-05
  1.0624600E+01    5.6294419E-05
  1.0630600E+01    0.0000000E+00
  1.0636600E+01    0.0000000E+00
  1.0642600E+01    0.0000000E+00
  1.0648600E+01    0.0000000E+00
  1.0654600E+01    0.0000000E+00
  1.0660600E+01    0.0000000E+00
  1.0666600E+01    7.2879709E-05
  1.0672600E+01    1.4960564E-04
  1.0678600E+01    1.7320849E-04
  1.0684700E+01    1.3085727E-04
  1.0690700E+01    3.5398065E-05
  1.0696700E+01    0.0000000E+00
  1.0702700E+01    0.0000000E+00
  1.0708700E+01    0.0000000E+00
  1.0714700E+01    0.0000000E+00
  1.0720700E+01    0.0000000E+00
  1.0726700E+01    0.0000000E+00
  1.0732700E+01    0.0000000E+00
  1.0738700E+01    8.2816578E-06
  1.0744700E+01    0.0000000E+00
  1.0750700E+01    0.0000000E+00
  1.0756700E+01    0.0000000E+00
  1.0762700E+01    0.0000000E+00
  1.0768700E+01    0.0000000E+00
  1.0774700E+01    1.2065630E-05
  1.0780800E+01    5.8627142E-05
  1.0786800E+01    4.3829146E-05
  1.0792800E+01    0.0000000E+00
  1.0798800E+01    0.0000000E+00
  1.0804800E+01    0.0000000E+00
  1.0810800E+01    0.0000000E+00
  1.0816800E+01    0.0000000E+00
  1.0822800E+01    0.0000000E+00
  1.0828800E+01    0.0000000E+00
  1.0834800E+01    0.0000000E+00
  1.0840800E+01    1.1604863E-05
  1.0846800E+01    7.8017249E-05
  1.0852800E+01    9.0835973E-05
  1.0858800E+01    4.0374434E-05
  1.0864800E+01    0.0000000E+00
  1.0870800E+01    0.0000000E+00
  1.0876800E+01    0.0000000E+00
  1.0882900E+01    0.0000000E+00
  1.0888900E+01    0.0000000E+00
  1.0894900E+01    4.8450525E-05
  1.0900900E+01    7.7643293E-05
  1.0906900E+01    7.6398363E-05
  1.0912900E+01    5.0453367E-05
  1.0918900E+01    1.5547426E-05
  1.0924900E+01    0.0000000E+00
  1.0930900E+01    2.0728567E-05
  1.0936900E+01    7.3049967E-05
  1.0942900E+01    1.1866855E-04
  1.0948900E+01    1.1542123E-04
  1.0954900E+01    4.7111134E-05
  1.0960900E+01    0.0000000E+00
  1.0966900E+01    0.0000000E+00
  1.0972900E+01    0.0000000E+00
  1.0978900E+01    0.0000000E+00
  1.0985000E+01    0.0000000E+00
  1.0991000E+01    0.0000000E+00
  1.0997000E+01    0.0000000E+00
  1.1003000E+01    0.0000000E+00
  1.1009000E+01    0.0000000E+00
  1.1015000E+01    0.0000000E+00
  1.1021000E+01    0.0000000E+00
  1.1027000E+01    2.4464314E-06
  1.1033000E+01    1.6946289E-05
  1.1039000E+01    5.0492813E-06
  1.1045000E+01    0.0000000E+00
  1.1051000E+01    0.0000000E+00
