# wave[microns]    norm_trans
  8.2539997E+00    5.0789531E-04
  8.2600098E+00    2.3779710E-04
  8.2660103E+00    0.0000000E+00
  8.2720203E+00    0.0000000E+00
  8.2780199E+00    0.0000000E+00
  8.2840300E+00    0.0000000E+00
  8.2900400E+00    0.0000000E+00
  8.2960396E+00    0.0000000E+00
  8.3020496E+00    0.0000000E+00
  8.3080502E+00    0.0000000E+00
  8.3140602E+00    0.0000000E+00
  8.3200703E+00    0.0000000E+00
  8.3260698E+00    0.0000000E+00
  8.3320799E+00    0.0000000E+00
  8.3380804E+00    0.0000000E+00
  8.3440905E+00    0.0000000E+00
  8.3500996E+00    0.0000000E+00
  8.3561001E+00    0.0000000E+00
  8.3621101E+00    0.0000000E+00
  8.3681097E+00    0.0000000E+00
  8.3741198E+00    0.0000000E+00
  8.3801298E+00    0.0000000E+00
  8.3861303E+00    2.3535462E-04
  8.3921404E+00    6.4695784E-04
  8.3981400E+00    1.0272476E-03
  8.4041500E+00    1.3121438E-03
  8.4101601E+00    1.4172449E-03
  8.4161596E+00    1.6690232E-03
  8.4221697E+00    2.2274782E-03
  8.4281702E+00    2.3250759E-03
  8.4341803E+00    1.5560611E-03
  8.4401903E+00    6.4621132E-04
  8.4461899E+00    0.0000000E+00
  8.4521999E+00    0.0000000E+00
  8.4582005E+00    0.0000000E+00
  8.4642096E+00    0.0000000E+00
  8.4702196E+00    1.5350179E-04
  8.4762201E+00    4.0899738E-04
  8.4822302E+00    1.7095272E-05
  8.4882298E+00    0.0000000E+00
  8.4942398E+00    0.0000000E+00
  8.5002499E+00    1.3479261E-03
  8.5062504E+00    2.2715300E-03
  8.5122604E+00    2.0271277E-03
  8.5182600E+00    1.0207139E-03
  8.5242701E+00    8.4064974E-05
  8.5302801E+00    0.0000000E+00
  8.5362797E+00    0.0000000E+00
  8.5422897E+00    0.0000000E+00
  8.5482903E+00    3.1683099E-04
  8.5543003E+00    6.1723194E-04
  8.5603104E+00    9.2452904E-04
  8.5663099E+00    1.4069594E-03
  8.5723200E+00    1.5737609E-03
  8.5783195E+00    1.0048212E-03
  8.5843296E+00    1.8134416E-04
  8.5903397E+00    0.0000000E+00
  8.5963402E+00    0.0000000E+00
  8.6023502E+00    2.7055125E-04
  8.6083498E+00    6.2056258E-04
  8.6143599E+00    7.6961587E-04
  8.6203699E+00    7.4966246E-04
  8.6263704E+00    6.8355055E-04
  8.6323795E+00    6.5865478E-04
  8.6383801E+00    8.0073654E-04
  8.6443901E+00    1.1043457E-03
  8.6504002E+00    1.2028646E-03
  8.6563997E+00    7.6040864E-04
  8.6624098E+00    1.3721979E-05
  8.6684103E+00    0.0000000E+00
  8.6744204E+00    0.0000000E+00
  8.6804304E+00    0.0000000E+00
  8.6864300E+00    1.3884557E-05
  8.6924400E+00    4.4498907E-04
  8.6984396E+00    9.6307544E-04
  8.7044497E+00    8.8217080E-04
  8.7104597E+00    3.0059621E-04
  8.7164602E+00    0.0000000E+00
  8.7224703E+00    0.0000000E+00
  8.7284698E+00    2.2144875E-04
  8.7344799E+00    6.9243874E-04
  8.7404900E+00    1.1675773E-03
  8.7464895E+00    9.5167843E-04
  8.7524996E+00    0.0000000E+00
  8.7585001E+00    0.0000000E+00
  8.7645102E+00    0.0000000E+00
  8.7705202E+00    0.0000000E+00
  8.7765198E+00    0.0000000E+00
