# wave[microns]    norm_trans
  2.9967600E-01    2.4463746E-04
  3.0268502E-01    0.0000000E+00
  3.0569503E-01    0.0000000E+00
  3.0870402E-01    1.6400276E-05
  3.1171203E-01    0.0000000E+00
  3.1472102E-01    0.0000000E+00
  3.1772903E-01    0.0000000E+00
  3.2073700E-01    0.0000000E+00
  3.2374400E-01    0.0000000E+00
  3.2675204E-01    1.3666897E-06
  3.2970202E-01    0.0000000E+00
  3.3270904E-01    0.0000000E+00
  3.3571503E-01    0.0000000E+00
  3.3872104E-01    0.0000000E+00
  3.4172702E-01    0.0000000E+00
  3.4473303E-01    0.0000000E+00
  3.4773803E-01    0.0000000E+00
  3.5074303E-01    0.0000000E+00
  3.5374799E-01    1.3666897E-06
  3.5675204E-01    0.0000000E+00
  3.5975602E-01    0.0000000E+00
  3.6276004E-01    0.0000000E+00
  3.6576301E-01    0.0000000E+00
  3.6876702E-01    1.3666897E-06
  3.7176904E-01    1.3666897E-06
  3.7477201E-01    1.3666897E-06
  3.7777400E-01    0.0000000E+00
  3.8083202E-01    0.0000000E+00
  3.8383403E-01    0.0000000E+00
  3.8683501E-01    1.3666897E-06
  3.8983601E-01    0.0000000E+00
  3.9283702E-01    2.7333795E-06
  3.9583704E-01    4.1000690E-06
  3.9883703E-01    5.0567520E-05
  4.0183601E-01    6.2867730E-05
  4.0483603E-01    6.5601103E-05
  4.0783402E-01    6.0134345E-05
  4.1083303E-01    8.7468143E-05
  4.1383103E-01    9.8401659E-05
  4.1688502E-01    1.0796848E-04
  4.1988301E-01    1.0933517E-04
  4.2288002E-01    9.1568210E-05
  4.2587602E-01    9.9768353E-05
  4.2887300E-01    1.0933517E-04
  4.3186900E-01    1.1753531E-04
  4.3486404E-01    1.1753531E-04
  4.3791601E-01    1.2026869E-04
  4.4091102E-01    1.2026869E-04
  4.4390503E-01    1.2436876E-04
  4.4689900E-01    1.3393558E-04
  4.4989303E-01    1.2983552E-04
  4.5288602E-01    1.1070186E-04
  4.5593601E-01    9.5668278E-05
  4.5892802E-01    1.0386841E-04
  4.6192002E-01    1.2163538E-04
  4.6491200E-01    1.2026869E-04
  4.6796000E-01    1.1480193E-04
  4.7095102E-01    1.2026869E-04
  4.7394103E-01    1.2846883E-04
  4.7693202E-01    1.2163538E-04
  4.7997802E-01    1.1206855E-04
  4.8296702E-01    1.2026869E-04
  4.8595601E-01    1.2846883E-04
  4.8894402E-01    1.2710215E-04
  4.9198905E-01    1.1616862E-04
  4.9497604E-01    1.1616862E-04
  4.9796304E-01    1.2300207E-04
  5.0100702E-01    1.4486910E-04
  5.0399303E-01    1.7083623E-04
  5.0697905E-01    1.8860318E-04
  5.1002103E-01    1.8723648E-04
  5.1300502E-01    1.9817000E-04
  5.1599002E-01    2.1730366E-04
  5.1903003E-01    2.6103773E-04
  5.2201402E-01    3.3073890E-04
  5.2499706E-01    4.6604118E-04
  5.2803606E-01    7.7354634E-04
  5.3101903E-01    1.4486911E-03
  5.3405702E-01    2.8905487E-03
  5.3703803E-01    5.7264296E-03
  5.4001904E-01    1.0475677E-02
