# wave[microns]    norm_trans
  2.9964501E-01    2.5448314E-04
  3.0265400E-01    3.6051781E-05
  3.0566201E-01    0.0000000E+00
  3.0867100E-01    0.0000000E+00
  3.1167901E-01    0.0000000E+00
  3.1468701E-01    3.8172475E-05
  3.1769401E-01    1.3932952E-03
  3.2070202E-01    9.7869979E-03
  3.2370904E-01    1.2980124E-01
  3.2671601E-01    4.7697350E-01
  3.2966504E-01    6.0459256E-01
  3.3267200E-01    6.6054070E-01
  3.3567801E-01    6.9680029E-01
  3.3868304E-01    7.3448080E-01
  3.4168902E-01    7.3652726E-01
  3.4469402E-01    7.7255565E-01
  3.4769902E-01    8.2144403E-01
  3.5070303E-01    8.3726019E-01
  3.5370702E-01    8.3499950E-01
  3.5671103E-01    8.7226647E-01
  3.5971501E-01    9.4921368E-01
  3.6271802E-01    9.6439356E-01
  3.6572102E-01    9.7572017E-01
  3.6872402E-01    1.0000000E+00
  3.7172604E-01    9.9157238E-01
  3.7472802E-01    9.3872470E-01
  3.7773004E-01    9.6589291E-01
  3.8078800E-01    7.7580673E-01
  3.8378903E-01    4.2079636E-01
  3.8678902E-01    2.0781305E-01
  3.8979003E-01    9.5518127E-02
  3.9279002E-01    4.6455897E-02
  3.9579004E-01    2.2765636E-02
  3.9878902E-01    1.1863156E-02
  4.0178803E-01    6.5995962E-03
  4.0478700E-01    3.8999543E-03
  4.0778503E-01    2.4409175E-03
  4.1078302E-01    1.6626231E-03
  4.1378102E-01    1.0730706E-03
  4.1683403E-01    6.5953552E-04
  4.1983101E-01    4.6655245E-04
  4.2282802E-01    1.5905197E-04
  4.2582402E-01    3.1810392E-05
  4.2882001E-01    2.1206929E-06
  4.3181503E-01    4.2413858E-06
  4.3481001E-01    4.2413858E-06
  4.3786201E-01    4.2413858E-06
  4.4085601E-01    4.2413858E-06
  4.4385004E-01    4.2413858E-06
  4.4684401E-01    2.1206929E-06
  4.4983703E-01    1.0603464E-05
  4.5283002E-01    2.3327622E-05
  4.5587802E-01    4.6655245E-05
  4.5887002E-01    8.6948407E-05
  4.6186203E-01    2.0146582E-04
  4.6485302E-01    6.1924238E-04
  4.6790102E-01    2.8014353E-03
  4.7089100E-01    3.3761431E-03
  4.7388104E-01    6.8074244E-04
  4.7687101E-01    2.4812107E-04
  4.7991601E-01    8.9069101E-05
  4.8290503E-01    3.1810392E-05
  4.8589402E-01    1.9086237E-05
  4.8888201E-01    4.2413858E-06
  4.9192500E-01    2.1206929E-06
  4.9491301E-01    2.1206929E-06
  4.9789900E-01    2.1206929E-06
  5.0094199E-01    4.2413858E-06
  5.0392801E-01    2.1206929E-06
  5.0691301E-01    2.1206929E-06
  5.0995404E-01    2.1206929E-06
  5.1293904E-01    4.2413858E-06
  5.1592302E-01    4.2413858E-06
  5.1896304E-01    2.3327622E-05
  5.2194601E-01    3.1810392E-05
  5.2492905E-01    3.1810392E-05
  5.2796698E-01    5.3017320E-05
  5.3094900E-01    1.1239672E-04
  5.3398705E-01    6.5741478E-05
  5.3696805E-01    2.1206928E-05
  5.3994805E-01    0.0000000E+00
  5.4298401E-01    0.0000000E+00
  5.4596400E-01    0.0000000E+00
  5.4899907E-01    0.0000000E+00
  5.5197704E-01    0.0000000E+00
  5.5501205E-01    0.0000000E+00
  5.5798906E-01    0.0000000E+00
  5.6102306E-01    0.0000000E+00
  5.6399906E-01    0.0000000E+00
  5.6703198E-01    0.0000000E+00
  5.7000703E-01    0.0000000E+00
  5.7303804E-01    0.0000000E+00
  5.7601303E-01    0.0000000E+00
  5.7904303E-01    0.0000000E+00
  5.8201706E-01    0.0000000E+00
  5.8504605E-01    0.0000000E+00
  5.8801901E-01    0.0000000E+00
  5.9104705E-01    2.1206929E-06
  5.9401900E-01    0.0000000E+00
  5.9704608E-01    0.0000000E+00
  6.0007304E-01    2.1206929E-06
  6.0304308E-01    2.1206929E-06
  6.0606802E-01    2.1206929E-06
  6.0903805E-01    2.1206929E-06
  6.1206204E-01    2.1206929E-06
  6.1508602E-01    2.1206929E-06
  6.1805302E-01    2.1206929E-06
  6.2107605E-01    2.1206929E-06
  6.2409902E-01    6.3620787E-06
  6.2706405E-01    4.4534550E-05
  6.3008600E-01    2.1206928E-05
  6.3310605E-01    4.2413858E-06
  6.3607103E-01    8.4827716E-06
  6.3909006E-01    1.4844851E-05
  6.4210904E-01    1.4844851E-05
  6.4512801E-01    1.2724157E-05
  6.4809006E-01    1.4844851E-05
  6.5110701E-01    2.7569007E-05
  6.5412301E-01    3.1810392E-05
  6.5713900E-01    2.1206928E-05
  6.6009903E-01    2.3327622E-05
  6.6311407E-01    3.1810392E-05
  6.6612905E-01    3.1810392E-05
  6.6914207E-01    2.3327622E-05
  6.7215508E-01    1.9086237E-05
  6.7516804E-01    1.9086237E-05
  6.7812407E-01    1.9086237E-05
  6.8113601E-01    2.1206929E-06
  6.8414605E-01    2.1206929E-06
  6.8715703E-01    2.1206929E-06
  6.9016606E-01    2.1206929E-06
  6.9317502E-01    2.1206929E-06
  6.9618303E-01    2.1206929E-06
  6.9919103E-01    2.1206929E-06
  7.0219803E-01    2.1206929E-06
  7.0520502E-01    2.1206929E-06
  7.0821100E-01    2.1206929E-06
  7.1121603E-01    2.1206929E-06
  7.1421999E-01    2.1206929E-06
  7.1722406E-01    2.1206929E-06
  7.2022808E-01    0.0000000E+00
  7.2323000E-01    2.1206929E-06
  7.2623205E-01    2.1206929E-06
  7.2923404E-01    2.1206928E-05
  7.3223406E-01    3.3931086E-05
  7.3523504E-01    2.9689701E-05
  7.3823404E-01    2.3327622E-05
  7.4123299E-01    1.9086237E-05
  7.4423105E-01    1.9086237E-05
  7.4722809E-01    2.5448315E-05
  7.5022501E-01    3.1810392E-05
  7.5322104E-01    6.7862173E-05
  7.5627202E-01    1.3148296E-04
  7.5926709E-01    2.0146582E-04
  7.6226103E-01    1.2724157E-04
  7.6525408E-01    5.0896630E-05
  7.6824707E-01    2.9689701E-05
  7.7129406E-01    1.6965543E-05
  7.7428603E-01    1.6965543E-05
  7.7727699E-01    2.1206928E-05
  7.8026605E-01    3.1810392E-05
  7.8331101E-01    1.2087950E-04
  7.8630000E-01    4.0505233E-04
  7.8928804E-01    7.8465637E-05
  7.9227507E-01    0.0000000E+00
  7.9531604E-01    2.1206929E-06
  7.9830205E-01    0.0000000E+00
  8.0128706E-01    0.0000000E+00
  8.0432707E-01    0.0000000E+00
  8.0731004E-01    0.0000000E+00
  8.1034803E-01    0.0000000E+00
  8.1333101E-01    0.0000000E+00
  8.1631207E-01    0.0000000E+00
  8.1934804E-01    0.0000000E+00
  8.2232803E-01    0.0000000E+00
  8.2536203E-01    0.0000000E+00
  8.2834107E-01    0.0000000E+00
  8.3137405E-01    0.0000000E+00
  8.3435106E-01    0.0000000E+00
  8.3738208E-01    0.0000000E+00
  8.4035701E-01    0.0000000E+00
  8.4338707E-01    0.0000000E+00
  8.4636104E-01    0.0000000E+00
  8.4938902E-01    2.1206929E-06
  8.5236204E-01    2.1206929E-06
  8.5538900E-01    4.6655245E-05
  8.5835904E-01    2.5448314E-04
  8.6138505E-01    2.5024178E-04
  8.6440903E-01    6.7862173E-05
  8.6737806E-01    3.3931086E-05
  8.7040007E-01    2.7569007E-05
  8.7342203E-01    2.5448315E-05
  8.7638903E-01    2.5448315E-05
  8.7940902E-01    3.3931086E-05
  8.8242805E-01    4.8775939E-05
  8.8544708E-01    8.6948407E-05
  8.8841003E-01    1.5693127E-04
  8.9142704E-01    2.5448314E-04
  8.9444399E-01    2.4600039E-04
  8.9745903E-01    1.3572435E-04
  9.0041906E-01    6.7862173E-05
  9.0343302E-01    4.0293162E-05
  9.0644604E-01    2.9689701E-05
  9.0945804E-01    2.1206928E-05
  9.1246903E-01    1.4844851E-05
  9.1548002E-01    1.0603464E-05
  9.1848904E-01    8.4827716E-06
  9.2144305E-01    8.4827716E-06
  9.2445105E-01    4.2413858E-06
  9.2745805E-01    6.3620787E-06
  9.3046504E-01    1.0603464E-05
  9.3347001E-01    1.6965543E-05
  9.3647504E-01    3.3931086E-05
  9.3947810E-01    6.3620784E-05
  9.4248104E-01    8.6948407E-05
  9.4548303E-01    7.4224256E-05
  9.4848406E-01    4.6655245E-05
  9.5148402E-01    2.9689701E-05
  9.5453805E-01    2.1206928E-05
  9.5753706E-01    1.6965543E-05
  9.6053404E-01    1.6965543E-05
  9.6353108E-01    1.9086237E-05
  9.6652603E-01    2.5448315E-05
  9.6952105E-01    3.8172475E-05
  9.7251505E-01    5.9379403E-05
  9.7556305E-01    8.0586324E-05
  9.7855502E-01    7.8465637E-05
  9.8154604E-01    5.5138014E-05
  9.8453701E-01    3.3931086E-05
  9.8758006E-01    2.1206928E-05
  9.9056900E-01    1.4844851E-05
  9.9355608E-01    1.2724157E-05
  9.9654305E-01    1.0603464E-05
  9.9958307E-01    1.0603464E-05
  1.0025680E+00    1.2724157E-05
  1.0055521E+00    1.9086237E-05
  1.0085890E+00    2.5448315E-05
  1.0115710E+00    1.9086237E-05
  1.0146061E+00    8.4827716E-06
  1.0175871E+00    4.2413858E-06
  1.0206200E+00    2.1206929E-06
  1.0235981E+00    0.0000000E+00
  1.0266291E+00    0.0000000E+00
  1.0296060E+00    0.0000000E+00
  1.0326351E+00    0.0000000E+00
  1.0356101E+00    0.0000000E+00
  1.0386370E+00    0.0000000E+00
  1.0416100E+00    0.0000000E+00
  1.0446351E+00    0.0000000E+00
  1.0476601E+00    0.0000000E+00
  1.0506290E+00    0.0000000E+00
  1.0536520E+00    0.0000000E+00
  1.0566200E+00    0.0000000E+00
  1.0596400E+00    0.0000000E+00
  1.0626601E+00    0.0000000E+00
  1.0656780E+00    0.0000000E+00
  1.0686420E+00    0.0000000E+00
  1.0716580E+00    0.0000000E+00
  1.0746740E+00    0.0000000E+00
  1.0776881E+00    0.0000000E+00
  1.0807021E+00    0.0000000E+00
  1.0836601E+00    0.0000000E+00
  1.0866721E+00    0.0000000E+00
  1.0896821E+00    0.0000000E+00
  1.0926911E+00    0.0000000E+00
  1.0956991E+00    0.0000000E+00
  1.0987071E+00    0.0000000E+00
  1.1017131E+00    0.0000000E+00
  1.1047181E+00    0.0000000E+00
  1.1077220E+00    0.0000000E+00
  1.1107250E+00    0.0000000E+00
  1.1137271E+00    0.0000000E+00
  1.1167281E+00    0.0000000E+00
  1.1197281E+00    0.0000000E+00
  1.1227260E+00    0.0000000E+00
  1.1257241E+00    0.0000000E+00
  1.1287200E+00    0.0000000E+00
  1.1317700E+00    0.0000000E+00
  1.1347641E+00    0.0000000E+00
