# wave[microns]    norm_trans
  4.8426151E+02    4.3883301E-06
  4.8543689E+02    3.8656658E-06
  4.8661801E+02    4.4320759E-06
  4.8780487E+02    5.0884760E-06
  4.8899756E+02    4.8318329E-06
  4.9019608E+02    4.0403029E-06
  4.9140048E+02    3.7483999E-06
  4.9261087E+02    4.0720079E-06
  4.9382718E+02    4.1082421E-06
  4.9504947E+02    2.8996235E-06
  4.9627792E+02    2.1114693E-06
  4.9751245E+02    3.4723837E-06
  4.9875314E+02    4.4440676E-06
  5.0000000E+02    2.7569008E-06
  5.0125311E+02    1.7004193E-06
  5.0251257E+02    3.2496089E-06
  5.0377835E+02    4.3075102E-06
  5.0505054E+02    3.8822168E-06
  5.0632913E+02    3.0790452E-06
  5.0761420E+02    4.8114616E-06
  5.0890588E+02    8.7511935E-06
  5.1020407E+02    9.8666760E-06
  5.1150894E+02    8.3300656E-06
  5.1282050E+02    1.0360322E-05
  5.1413879E+02    1.7561500E-05
  5.1546393E+02    2.2626087E-05
  5.1679584E+02    2.2457540E-05
  5.1813470E+02    2.3032708E-05
  5.1948053E+02    3.1231848E-05
  5.2083331E+02    4.2102321E-05
  5.2219324E+02    4.1380357E-05
  5.2356018E+02    4.1767835E-05
  5.2493445E+02    6.3280102E-05
  5.2631580E+02    8.0790604E-05
  5.2770447E+02    8.0327249E-05
  5.2910052E+02    7.8052908E-05
  5.3050397E+02    1.0001905E-04
  5.3191492E+02    1.4000149E-04
  5.3333337E+02    1.4899575E-04
  5.3475934E+02    1.4918346E-04
  5.3619305E+02    1.8791271E-04
  5.3763440E+02    2.1781471E-04
  5.3908362E+02    1.9445003E-04
  5.4054053E+02    1.3864355E-04
  5.4200543E+02    1.1741882E-04
  5.4347827E+02    1.6840654E-04
  5.4495911E+02    2.1744524E-04
  5.4644812E+02    1.7466229E-04
  5.4794519E+02    1.1319459E-04
  5.4945050E+02    1.7418675E-04
  5.5096423E+02    2.5005135E-04
  5.5248621E+02    2.0214058E-04
  5.5401666E+02    1.7939194E-04
  5.5555554E+02    2.8133602E-04
  5.5710303E+02    3.9192400E-04
  5.5865924E+02    3.8601182E-04
  5.6022412E+02    3.1449270E-04
  5.6179779E+02    3.4673981E-04
  5.6338025E+02    4.1750594E-04
  5.6497174E+02    3.6655992E-04
  5.6657227E+02    2.7221476E-04
  5.6818182E+02    2.6351408E-04
  5.6980060E+02    3.2432302E-04
  5.7142859E+02    2.9918400E-04
  5.7306586E+02    1.1770726E-04
  5.7471265E+02    1.3617330E-04
  5.7636890E+02    3.5775249E-04
  5.7803473E+02    3.4794252E-04
  5.7971014E+02    1.3448832E-04
  5.8139532E+02    6.4685533E-05
  5.8309039E+02    1.6371204E-04
  5.8479535E+02    1.7698348E-04
  5.8651031E+02    8.6415734E-05
  5.8823529E+02    5.2235071E-05
  5.8997046E+02    2.8676752E-04
  5.9171600E+02    5.6368340E-04
  5.9347180E+02    4.7729933E-04
  5.9523816E+02    2.4174488E-04
  5.9701489E+02    3.2823888E-04
  5.9880237E+02    4.1540404E-04
  6.0060059E+02    2.7051129E-04
  6.0240961E+02    1.5684537E-04
  6.0422961E+02    2.6643503E-04
  6.0606061E+02    4.9138896E-04
  6.0790271E+02    5.8914965E-04
  6.0975610E+02    4.0162771E-04
  6.1162079E+02    3.5262652E-04
  6.1349695E+02    6.6901307E-04
  6.1538464E+02    7.9614925E-04
  6.1728394E+02    5.3210033E-04
  6.1919507E+02    3.6521061E-04
  6.2111798E+02    6.3470157E-04
  6.2305298E+02    9.1111305E-04
  6.2500000E+02    6.4735085E-04
  6.2695929E+02    3.9875129E-04
  6.2893085E+02    4.4137501E-04
  6.3091479E+02    7.0561620E-04
  6.3291138E+02    8.9589407E-04
  6.3492065E+02    6.5779529E-04
  6.3694269E+02    5.5870292E-04
  6.3897766E+02    7.4098859E-04
  6.4102557E+02    3.4071246E-04
  6.4308679E+02    3.2114575E-04
  6.4516125E+02    6.4181740E-04
  6.4724921E+02    7.5639982E-04
  6.4935065E+02    1.0774011E-03
  6.5146582E+02    1.7586903E-03
  6.5359473E+02    2.2983449E-03
  6.5573767E+02    2.4506755E-03
  6.5789478E+02    2.5901201E-03
  6.6006598E+02    3.1421203E-03
  6.6225165E+02    3.9839903E-03
  6.6445178E+02    4.6332236E-03
  6.6666669E+02    5.2312086E-03
  6.6889636E+02    6.2174015E-03
  6.7114093E+02    7.4678371E-03
  6.7340070E+02    8.6291209E-03
  6.7567566E+02    9.8387273E-03
  6.7796613E+02    1.1548145E-02
  6.8027216E+02    1.3870629E-02
  6.8259387E+02    1.6397228E-02
  6.8322388E+02    1.7113363E-02
  6.8401190E+02    1.7399343E-02
  6.8480176E+02    1.8267749E-02
  6.8559338E+02    2.0616451E-02
  6.8638696E+02    2.2579592E-02
  6.8718231E+02    2.4838202E-02
  6.8797943E+02    2.6535293E-02
  6.8877856E+02    2.7189141E-02
  6.8957941E+02    2.8326549E-02
  6.9038220E+02    3.2753367E-02
  6.9118689E+02    3.6512617E-02
  6.9199341E+02    3.8635004E-02
  6.9280176E+02    4.1658398E-02
  6.9361200E+02    4.3873742E-02
  6.9442432E+02    4.6446737E-02
  6.9523834E+02    5.2661207E-02
  6.9605438E+02    5.8970388E-02
  6.9687231E+02    6.3947238E-02
  6.9769214E+02    6.9394007E-02
  6.9851392E+02    7.5114436E-02
  6.9933765E+02    7.6763354E-02
  7.0016333E+02    8.0122687E-02
  7.0099091E+02    8.7805934E-02
  7.0182056E+02    1.0017741E-01
  7.0265204E+02    1.1011066E-01
  7.0348553E+02    1.1257847E-01
  7.0432104E+02    1.0738791E-01
  7.0515851E+02    1.0096307E-01
  7.0599805E+02    1.0441775E-01
  7.0683948E+02    1.1913375E-01
  7.0768298E+02    1.3103291E-01
  7.0852844E+02    1.3661413E-01
  7.0937598E+02    1.3683224E-01
  7.1022552E+02    1.3938455E-01
  7.1107709E+02    1.4794591E-01
  7.1193079E+02    1.6360301E-01
  7.1278644E+02    1.8082663E-01
  7.1364417E+02    1.9712336E-01
  7.1450397E+02    2.0105082E-01
  7.1536584E+02    1.9818583E-01
  7.1622992E+02    1.9922985E-01
  7.1709589E+02    2.1514802E-01
  7.1796411E+02    2.4754092E-01
  7.1883435E+02    2.7726710E-01
  7.1970673E+02    2.8411886E-01
  7.2058118E+02    2.7114439E-01
  7.2145782E+02    2.4678329E-01
  7.2233661E+02    2.4626186E-01
  7.2321741E+02    2.7470201E-01
  7.2410052E+02    2.9479942E-01
  7.2498578E+02    2.9081813E-01
  7.2587311E+02    2.7737725E-01
  7.2676263E+02    2.6027107E-01
  7.2765442E+02    2.4757549E-01
  7.2854834E+02    2.6863304E-01
  7.2944440E+02    3.1209937E-01
  7.3034277E+02    3.4080899E-01
  7.3124335E+02    3.3918276E-01
  7.3214606E+02    3.3578265E-01
  7.3305109E+02    3.5564452E-01
  7.3395831E+02    3.9610234E-01
  7.3486780E+02    4.4337267E-01
  7.3577954E+02    4.9343228E-01
  7.3669354E+02    5.1316732E-01
  7.3760986E+02    5.0923866E-01
  7.3852838E+02    5.2084905E-01
  7.3944928E+02    5.4758704E-01
  7.4037244E+02    5.7572693E-01
  7.4129791E+02    6.1436611E-01
  7.4222571E+02    6.3906592E-01
  7.4315576E+02    6.5874904E-01
  7.4408820E+02    6.3940299E-01
  7.4502307E+02    6.0098720E-01
  7.4596021E+02    6.0616678E-01
  7.4689960E+02    6.5798914E-01
  7.4784149E+02    7.0173991E-01
  7.4878571E+02    7.1428394E-01
  7.4973242E+02    6.9827646E-01
  7.5068146E+02    6.9120497E-01
  7.5163281E+02    6.9400352E-01
  7.5258673E+02    6.9784039E-01
  7.5354303E+02    6.9890368E-01
  7.5450165E+02    7.0514613E-01
  7.5546289E+02    7.2638196E-01
  7.5642645E+02    7.5342709E-01
  7.5739252E+02    7.4355614E-01
  7.5836102E+02    7.2126591E-01
  7.5933203E+02    7.2452629E-01
  7.6030554E+02    7.4511558E-01
  7.6128156E+02    7.9365456E-01
  7.6226001E+02    8.1775224E-01
  7.6324103E+02    7.9983026E-01
  7.6422467E+02    7.6790768E-01
  7.6521075E+02    7.7011353E-01
  7.6619940E+02    7.7790016E-01
  7.6719061E+02    7.6323259E-01
  7.6818439E+02    7.5448048E-01
  7.6918073E+02    7.5314945E-01
  7.7017963E+02    7.2962171E-01
  7.7118121E+02    6.9361830E-01
  7.7218530E+02    6.4868438E-01
  7.7319208E+02    6.4818949E-01
  7.7420148E+02    6.8298137E-01
  7.7521344E+02    7.1276248E-01
  7.7622815E+02    7.1564335E-01
  7.7724554E+02    6.9384211E-01
  7.7826550E+02    6.4217108E-01
  7.7928821E+02    6.1495823E-01
  7.8031354E+02    6.4646876E-01
  7.8134161E+02    6.9650328E-01
  7.8237244E+02    7.2006989E-01
  7.8340594E+02    7.0711899E-01
  7.8444220E+02    6.5645164E-01
  7.8548120E+02    6.2100112E-01
  7.8652301E+02    6.4315253E-01
  7.8756750E+02    7.0122999E-01
  7.8861481E+02    7.3128396E-01
  7.8966486E+02    7.1739042E-01
  7.9071783E+02    6.5249997E-01
  7.9177350E+02    5.5927241E-01
  7.9283191E+02    5.3278887E-01
  7.9389331E+02    5.7837915E-01
  7.9495752E+02    6.3148284E-01
  7.9602466E+02    6.1845011E-01
  7.9709448E+02    5.6965244E-01
  7.9816736E+02    5.5433798E-01
  7.9924298E+02    5.7959276E-01
  8.0032159E+02    6.2933314E-01
  8.0140314E+02    6.6732377E-01
  8.0248761E+02    6.9371718E-01
  8.0357501E+02    6.9273221E-01
  8.0466528E+02    6.9469339E-01
  8.0575854E+02    6.8643272E-01
  8.0685486E+02    6.6500336E-01
  8.0795410E+02    6.8444192E-01
  8.0905640E+02    7.3016715E-01
  8.1016162E+02    7.3406494E-01
  8.1126996E+02    7.1678251E-01
  8.1238129E+02    6.9961423E-01
  8.1349561E+02    6.8168652E-01
  8.1461310E+02    7.0412940E-01
  8.1573358E+02    7.8702885E-01
  8.1685724E+02    8.3184022E-01
  8.1798389E+02    7.7527547E-01
  8.1911371E+02    7.0644337E-01
  8.2024664E+02    6.9805723E-01
  8.2138269E+02    7.8610313E-01
  8.2252197E+02    8.7982851E-01
  8.2366431E+02    9.1409701E-01
  8.2481000E+02    8.8514757E-01
  8.2595868E+02    8.3479279E-01
  8.2711066E+02    8.6234939E-01
  8.2826587E+02    9.3015492E-01
  8.2942419E+02    9.5324588E-01
  8.3058588E+02    9.4299257E-01
  8.3175079E+02    9.0774471E-01
  8.3291901E+02    8.7297422E-01
  8.3409052E+02    8.7387186E-01
  8.3526520E+02    8.7072819E-01
  8.3644336E+02    8.7265134E-01
  8.3762476E+02    9.1443980E-01
  8.3880951E+02    9.5821732E-01
  8.3999762E+02    9.5009702E-01
  8.4118909E+02    9.3063515E-01
  8.4238397E+02    9.3974274E-01
  8.4358221E+02    9.4226563E-01
  8.4478394E+02    9.2828578E-01
  8.4598907E+02    9.3426514E-01
  8.4719763E+02    9.2250353E-01
  8.4840961E+02    9.2068779E-01
  8.4962512E+02    9.0965331E-01
  8.5084406E+02    9.0027100E-01
  8.5206653E+02    9.2947346E-01
  8.5329254E+02    9.7758996E-01
  8.5452209E+02    1.0000000E+00
  8.5575513E+02    9.9233472E-01
  8.5699176E+02    9.2200571E-01
  8.5823199E+02    8.7427258E-01
  8.5947589E+02    8.7519610E-01
  8.6072327E+02    9.1303486E-01
  8.6197437E+02    9.5698339E-01
  8.6322894E+02    9.7764599E-01
  8.6448737E+02    9.4476950E-01
  8.6574939E+02    9.1528016E-01
  8.6583405E+02    9.1486311E-01
  8.6595935E+02    9.1467708E-01
  8.6608478E+02    9.1469508E-01
  8.6621014E+02    9.1482812E-01
  8.6633557E+02    9.1499519E-01
  8.6646100E+02    9.1513026E-01
  8.6658655E+02    9.1518486E-01
  8.6671210E+02    9.1513252E-01
  8.6683771E+02    9.1496938E-01
  8.6696344E+02    9.1471392E-01
  8.6701508E+02    9.1458189E-01
  8.6708905E+02    9.1440463E-01
  8.6721478E+02    9.1409773E-01
  8.6734052E+02    9.1386139E-01
  8.6746625E+02    9.1377145E-01
  8.6759204E+02    9.1390508E-01
  8.6771796E+02    9.1433561E-01
  8.6784375E+02    9.1512710E-01
  8.6796967E+02    9.1632932E-01
  8.6809570E+02    9.1797495E-01
  8.6822168E+02    9.2007661E-01
  8.6828455E+02    9.2129129E-01
  8.6834766E+02    9.2262524E-01
  8.6847369E+02    9.2559052E-01
  8.6859985E+02    9.2892212E-01
  8.6872601E+02    9.3255156E-01
  8.6885223E+02    9.3639475E-01
  8.6897845E+02    9.4035619E-01
  8.6910461E+02    9.4433260E-01
  8.6923102E+02    9.4821680E-01
  8.6935724E+02    9.5190126E-01
  8.6948358E+02    9.5528263E-01
  8.6955762E+02    9.5709085E-01
  8.6960999E+02    9.5826346E-01
  8.6973645E+02    9.6075648E-01
  8.6986298E+02    9.6268529E-01
  8.6998944E+02    9.6398717E-01
  8.7011597E+02    9.6461278E-01
  8.7024249E+02    9.6452761E-01
  8.7036914E+02    9.6371239E-01
  8.7049579E+02    9.6216196E-01
  8.7062250E+02    9.5988536E-01
  8.7074921E+02    9.5690554E-01
  8.7083459E+02    9.5451903E-01
  8.7087604E+02    9.5325732E-01
  8.7100281E+02    9.4898802E-01
  8.7112970E+02    9.4415462E-01
  8.7125659E+02    9.3882358E-01
  8.7138342E+02    9.3306893E-01
  8.7151038E+02    9.2697030E-01
  8.7163739E+02    9.2061210E-01
  8.7176440E+02    9.1408056E-01
  8.7189148E+02    9.0746224E-01
  8.7201855E+02    9.0084267E-01
  8.7211517E+02    8.9586198E-01
  8.7214575E+02    8.9430320E-01
  8.7227283E+02    8.8792050E-01
  8.7240002E+02    8.8176441E-01
  8.7252728E+02    8.7589717E-01
  8.7265460E+02    8.7037253E-01
  8.7278192E+02    8.6523545E-01
  8.7290930E+02    8.6052221E-01
  8.7303668E+02    8.5626119E-01
  8.7316418E+02    8.5247380E-01
  8.7329156E+02    8.4917533E-01
  8.7339954E+02    8.4676838E-01
  8.7341907E+02    8.4637672E-01
  8.7354663E+02    8.4408581E-01
  8.7367426E+02    8.4230882E-01
  8.7380188E+02    8.4105116E-01
  8.7392950E+02    8.4031796E-01
  8.7405719E+02    8.4011436E-01
  8.7418494E+02    8.4044570E-01
  8.7431268E+02    8.4131551E-01
  8.7444043E+02    8.4272528E-01
  8.7456830E+02    8.4467155E-01
  8.7468781E+02    8.4696651E-01
  8.7469623E+02    8.4714460E-01
  8.7482416E+02    8.5012639E-01
  8.7495209E+02    8.5358769E-01
  8.7508008E+02    8.5748702E-01
  8.7520813E+02    8.6176872E-01
  8.7533618E+02    8.6636305E-01
  8.7546423E+02    8.7118566E-01
  8.7559241E+02    8.7613863E-01
  8.7572058E+02    8.8111258E-01
  8.7584882E+02    8.8598949E-01
  8.7597705E+02    8.9064544E-01
  8.7597980E+02    8.9074123E-01
  8.7610535E+02    8.9495593E-01
  8.7623370E+02    8.9879894E-01
  8.7636200E+02    9.0206039E-01
  8.7649042E+02    9.0463847E-01
  8.7661884E+02    9.0644759E-01
  8.7674738E+02    9.0742260E-01
  8.7687592E+02    9.0752053E-01
  8.7700452E+02    9.0672332E-01
  8.7713306E+02    9.0503806E-01
  8.7726160E+02    9.0249723E-01
  8.7727563E+02    9.0217257E-01
  8.7739026E+02    8.9915657E-01
  8.7751904E+02    8.9509356E-01
  8.7764777E+02    8.9040333E-01
  8.7777661E+02    8.8519537E-01
