# wave[microns]    norm_trans
  5.3799999E-01    0.0000000E+00
  5.4049999E-01    2.8203062E-03
  5.4299998E-01    1.9943593E-02
  5.4549998E-01    5.2377116E-02
  5.4799998E-01    1.0032232E-01
  5.5049998E-01    1.6297340E-01
  5.5299997E-01    2.3972604E-01
  5.5549997E-01    3.2836422E-01
  5.5799997E-01    4.2304593E-01
  5.6049997E-01    5.1651889E-01
  5.6299996E-01    6.0153103E-01
  5.6549996E-01    6.7264307E-01
  5.6799996E-01    7.2985500E-01
  5.7049996E-01    7.7538276E-01
  5.7300001E-01    8.1124097E-01
  5.7550001E-01    8.3904111E-01
  5.7800001E-01    8.6039484E-01
  5.8050001E-01    8.7691379E-01
  5.8300000E-01    8.8960516E-01
  5.8550000E-01    8.9987916E-01
  5.8800000E-01    9.0874296E-01
  5.9050000E-01    9.1659957E-01
  5.9299999E-01    9.2405319E-01
  5.9549999E-01    9.3150681E-01
  5.9799999E-01    9.3875903E-01
  6.0049999E-01    9.4520545E-01
  6.0299999E-01    9.5004028E-01
  6.0549998E-01    9.5306206E-01
  6.0799998E-01    9.5487511E-01
  6.1049998E-01    9.5628524E-01
  6.1299998E-01    9.5850122E-01
  6.1549997E-01    9.6212733E-01
  6.1799997E-01    9.6696210E-01
  6.2049997E-01    9.7240126E-01
  6.2299997E-01    9.7784042E-01
  6.2549996E-01    9.8327959E-01
  6.2799996E-01    9.8811442E-01
  6.3049996E-01    9.9234486E-01
  6.3299996E-01    9.9556810E-01
  6.3549995E-01    9.9738115E-01
  6.3800001E-01    9.9818695E-01
  6.4050001E-01    9.9838835E-01
  6.4300001E-01    9.9879128E-01
  6.4550000E-01    9.9939567E-01
  6.4800000E-01    1.0000000E+00
  6.5050000E-01    9.9959707E-01
  6.5300000E-01    9.9778402E-01
  6.5549999E-01    9.9335212E-01
  6.5799999E-01    9.8831588E-01
  6.6049999E-01    9.8166806E-01
  6.6299999E-01    9.5729250E-01
  6.6549999E-01    9.0128928E-01
  6.6799998E-01    8.1768733E-01
  6.7049998E-01    7.1394038E-01
  6.7299998E-01    5.9689766E-01
  6.7549998E-01    4.7340855E-01
  6.7799997E-01    3.5032231E-01
  6.8049997E-01    2.3529412E-01
  6.8299997E-01    1.4041096E-01
  6.8549997E-01    7.7759877E-02
  6.8799996E-01    4.3311846E-02
  6.9049996E-01    2.7397260E-02
  6.9299996E-01    2.0346494E-02
  6.9549996E-01    1.5511684E-02
  6.9799995E-01    1.1281225E-02
  7.0050001E-01    7.8565674E-03
  7.0300001E-01    5.6406124E-03
  7.0550001E-01    4.0290090E-03
  7.0800000E-01    3.2232071E-03
  7.1050000E-01    2.6188558E-03
  7.1300000E-01    2.0145045E-03
  7.1550000E-01    1.4101531E-03
  7.1799999E-01    8.0580177E-04
  7.2049999E-01    4.0290089E-04
  7.2299999E-01    0.0000000E+00
