# wave[microns]    norm_trans
  2.1680400E+00    1.0467916E-03
  2.1685402E+00    9.4211247E-04
  2.1690402E+00    1.0467916E-03
  2.1695402E+00    1.0467916E-03
  2.1700401E+00    1.0467916E-03
  2.1705401E+00    1.0467916E-03
  2.1710401E+00    1.0467916E-03
  2.1715403E+00    1.1514707E-03
  2.1720402E+00    1.1514707E-03
  2.1725402E+00    1.1514707E-03
  2.1730402E+00    1.1514707E-03
  2.1735401E+00    1.1514707E-03
  2.1740401E+00    1.2561498E-03
  2.1745400E+00    1.2561498E-03
  2.1750402E+00    1.2561498E-03
  2.1755402E+00    1.2561498E-03
  2.1760402E+00    1.2561498E-03
  2.1765401E+00    1.3608290E-03
  2.1770401E+00    1.3608290E-03
  2.1775401E+00    1.3608290E-03
  2.1780400E+00    1.3608290E-03
  2.1785402E+00    1.3608290E-03
  2.1790402E+00    1.4655082E-03
  2.1795402E+00    1.4655082E-03
  2.1800401E+00    1.5701875E-03
  2.1805401E+00    1.5701875E-03
  2.1810400E+00    1.5701875E-03
  2.1815403E+00    1.6748665E-03
  2.1820402E+00    1.5701875E-03
  2.1825402E+00    1.6748665E-03
  2.1830401E+00    1.7795457E-03
  2.1835401E+00    1.7795457E-03
  2.1840401E+00    1.7795457E-03
  2.1845400E+00    1.8842249E-03
  2.1850402E+00    1.8842249E-03
  2.1855402E+00    1.9889041E-03
  2.1860402E+00    1.9889041E-03
  2.1865401E+00    1.9889041E-03
  2.1870401E+00    2.0935831E-03
  2.1875401E+00    2.0935831E-03
  2.1880403E+00    2.0935831E-03
  2.1885402E+00    2.3029414E-03
  2.1890402E+00    2.3029414E-03
  2.1895401E+00    2.3029414E-03
  2.1900401E+00    2.4076207E-03
  2.1905401E+00    2.4076207E-03
  2.1910400E+00    2.5122997E-03
  2.1915402E+00    2.5122997E-03
  2.1920402E+00    2.6169789E-03
  2.1925402E+00    2.7216580E-03
  2.1930401E+00    2.7216580E-03
  2.1935401E+00    2.8263375E-03
