# wave[microns]    norm_trans
  2.9800003E+00    5.3134966E-03
  3.0050001E+00    6.3761957E-03
  3.0300002E+00    7.4388948E-03
  3.0550001E+00    8.5015940E-03
  3.0800002E+00    9.5642935E-03
  3.1050003E+00    1.1689692E-02
  3.1300001E+00    1.5940489E-02
  3.1550002E+00    2.1253986E-02
  3.1800001E+00    2.7630180E-02
  3.2050002E+00    4.9946863E-02
  3.2300003E+00    1.5409139E-01
  3.2550001E+00    4.7821468E-01
  3.2800002E+00    9.0329438E-01
  3.3050001E+00    9.7236985E-01
  3.3300002E+00    9.7768331E-01
  3.3550003E+00    9.8299682E-01
  3.3800001E+00    9.7768331E-01
  3.4050002E+00    9.8299682E-01
  3.4300001E+00    9.9149847E-01
  3.4550002E+00    9.9043572E-01
  3.4800003E+00    9.9149847E-01
  3.5050001E+00    9.9574918E-01
  3.5300002E+00    1.0000000E+00
  3.5550001E+00    9.9893731E-01
  3.5800002E+00    9.8831034E-01
  3.6050003E+00    9.8299682E-01
  3.6300001E+00    9.7768331E-01
  3.6550002E+00    9.8831034E-01
  3.6800001E+00    9.9893731E-01
  3.7050002E+00    9.8831034E-01
  3.7300003E+00    9.8193413E-01
  3.7550001E+00    9.8937303E-01
  3.7800002E+00    9.0329438E-01
  3.8050001E+00    5.2072263E-01
  3.8300002E+00    1.3815090E-01
  3.8550003E+00    5.1009566E-02
  3.8800001E+00    2.6567481E-02
  3.9050002E+00    2.1253986E-02
  3.9300003E+00    1.5940489E-02
  3.9550002E+00    1.0626993E-02
  3.9800003E+00    5.3134966E-03
