# wave[microns]    norm_trans
  1.8408701E+00    0.0000000E+00
  1.8410801E+00    3.5616761E-04
  1.8412901E+00    7.1233523E-04
  1.8415000E+00    9.4978028E-04
  1.8417201E+00    7.1233523E-04
  1.8419302E+00    5.9361273E-04
  1.8421401E+00    7.1233523E-04
  1.8423500E+00    9.4978028E-04
  1.8425701E+00    3.5616761E-04
  1.8427801E+00    8.3105778E-04
  1.8429900E+00    4.7489014E-04
  1.8432001E+00    4.7489014E-04
  1.8434201E+00    7.1233523E-04
  1.8436301E+00    1.0685029E-03
  1.8438400E+00    8.3105778E-04
  1.8440502E+00    1.0685029E-03
  1.8442601E+00    1.0685029E-03
  1.8444800E+00    9.4978028E-04
  1.8446901E+00    7.1233523E-04
  1.8449001E+00    1.3059479E-03
  1.8451101E+00    1.6621156E-03
  1.8453300E+00    8.3105778E-04
  1.8455402E+00    1.5433930E-03
  1.8457501E+00    1.5433930E-03
  1.8459600E+00    1.6621156E-03
  1.8461802E+00    1.6621156E-03
  1.8463901E+00    1.4246705E-03
  1.8466001E+00    1.8995606E-03
  1.8468101E+00    1.7808381E-03
  1.8470201E+00    2.1370058E-03
  1.8472401E+00    2.3744509E-03
  1.8474500E+00    2.3744509E-03
  1.8476601E+00    2.2557282E-03
  1.8478701E+00    2.3744509E-03
  1.8480901E+00    2.3744509E-03
  1.8483001E+00    2.9680636E-03
  1.8485101E+00    2.8493409E-03
  1.8487201E+00    3.2055087E-03
  1.8489400E+00    3.3242311E-03
  1.8491501E+00    3.3242311E-03
  1.8493601E+00    4.0365662E-03
  1.8495700E+00    4.0365662E-03
  1.8497901E+00    4.2740116E-03
  1.8500001E+00    4.5114565E-03
  1.8502101E+00    4.8676240E-03
  1.8504201E+00    4.8676240E-03
  1.8506300E+00    5.4612369E-03
  1.8508501E+00    5.6986818E-03
  1.8510602E+00    5.8174045E-03
  1.8512701E+00    6.4110174E-03
  1.8514801E+00    7.0046298E-03
  1.8517001E+00    7.5982423E-03
  1.8519101E+00    7.8356881E-03
  1.8521200E+00    8.4293000E-03
  1.8523301E+00    9.0229129E-03
  1.8525501E+00    9.4978036E-03
  1.8527601E+00    1.0447583E-02
  1.8529700E+00    1.0566306E-02
  1.8531802E+00    1.1397364E-02
  1.8534001E+00    1.2703313E-02
  1.8536100E+00    1.3890537E-02
  1.8538201E+00    1.4365428E-02
  1.8540301E+00    1.5671376E-02
  1.8542401E+00    1.7333491E-02
  1.8544600E+00    1.8639440E-02
  1.8546702E+00    1.9707941E-02
  1.8548801E+00    2.1370057E-02
  1.8550900E+00    2.3032174E-02
  1.8553102E+00    2.4456842E-02
  1.8555201E+00    2.6118960E-02
  1.8557301E+00    2.8730856E-02
  1.8559400E+00    3.1105304E-02
  1.8561602E+00    3.3361033E-02
  1.8563701E+00    3.5854205E-02
  1.8565800E+00    3.8703550E-02
  1.8567902E+00    4.1552890E-02
  1.8570001E+00    4.5352008E-02
  1.8572201E+00    4.9507301E-02
  1.8574301E+00    5.3306419E-02
  1.8576401E+00    5.8530211E-02
  1.8578501E+00    6.4347617E-02
  1.8580700E+00    6.9333963E-02
  1.8582801E+00    7.5626254E-02
  1.8584901E+00    8.2393445E-02
  1.8587000E+00    9.0347856E-02
  1.8589201E+00    9.7352482E-02
  1.8591301E+00    1.0613795E-01
  1.8593401E+00    1.1338003E-01
  1.8595501E+00    1.2560844E-01
  1.8597701E+00    1.3581859E-01
  1.8599801E+00    1.4780957E-01
