# wave[microns]    norm_trans
  1.8119101E+01    1.6764459E-03
  1.8120100E+01    1.6764459E-03
  1.8121099E+01    1.6764459E-03
  1.8122101E+01    1.6764459E-03
  1.8123100E+01    1.6764459E-03
  1.8124100E+01    1.6764459E-03
  1.8125099E+01    1.6764459E-03
  1.8126101E+01    1.6764459E-03
  1.8127100E+01    1.6764459E-03
  1.8128099E+01    1.6764459E-03
  1.8129101E+01    1.6764459E-03
  1.8130100E+01    1.6764459E-03
  1.8131100E+01    1.6764459E-03
  1.8132099E+01    1.6764459E-03
  1.8133101E+01    1.6764459E-03
  1.8134100E+01    1.6764459E-03
  1.8135099E+01    1.6764459E-03
  1.8136101E+01    1.6764459E-03
  1.8137100E+01    1.6764459E-03
  1.8138100E+01    1.6764459E-03
  1.8139099E+01    1.6764459E-03
  1.8140100E+01    1.6764459E-03
  1.8141100E+01    1.6764459E-03
  1.8142099E+01    1.6764459E-03
  1.8143101E+01    1.6764459E-03
  1.8144100E+01    1.6764459E-03
  1.8145100E+01    1.6764459E-03
  1.8146099E+01    1.6764459E-03
  1.8147100E+01    1.6764459E-03
  1.8148100E+01    1.6764459E-03
  1.8149099E+01    1.6764459E-03
  1.8150101E+01    1.6764459E-03
  1.8151100E+01    1.6764459E-03
  1.8152100E+01    1.6764459E-03
  1.8153099E+01    1.6764459E-03
  1.8154100E+01    1.6764459E-03
  1.8155100E+01    1.6764459E-03
  1.8156099E+01    1.6764459E-03
  1.8157101E+01    1.6764459E-03
  1.8158100E+01    1.6764459E-03
  1.8159100E+01    1.6764459E-03
  1.8160101E+01    1.6764459E-03
  1.8161100E+01    1.6764459E-03
  1.8162100E+01    1.6764459E-03
  1.8163099E+01    1.6764459E-03
  1.8164101E+01    1.6764459E-03
  1.8165100E+01    1.6764459E-03
  1.8166100E+01    1.6764459E-03
  1.8167101E+01    1.6764459E-03
  1.8168100E+01    1.6764459E-03
  1.8169100E+01    1.6764459E-03
  1.8170099E+01    1.6764459E-03
  1.8171101E+01    1.6764459E-03
  1.8172100E+01    1.6764459E-03
  1.8173100E+01    1.6764459E-03
  1.8174101E+01    1.6764459E-03
  1.8175100E+01    1.6764459E-03
  1.8176100E+01    1.6764459E-03
  1.8177099E+01    1.6764459E-03
  1.8178101E+01    1.6764459E-03
  1.8179100E+01    1.6764459E-03
  1.8180099E+01    1.6764459E-03
  1.8181101E+01    1.6764459E-03
  1.8182100E+01    1.6764459E-03
  1.8183100E+01    1.6764459E-03
  1.8184099E+01    2.0955575E-03
  1.8185101E+01    2.0955575E-03
  1.8186100E+01    2.0955575E-03
  1.8187099E+01    2.0955575E-03
  1.8188101E+01    2.0955575E-03
  1.8189100E+01    2.0955575E-03
  1.8190100E+01    2.0955575E-03
  1.8191099E+01    2.0955575E-03
  1.8192101E+01    2.0955575E-03
  1.8193100E+01    2.0955575E-03
  1.8194099E+01    2.0955575E-03
  1.8195101E+01    2.0955575E-03
  1.8196100E+01    2.0955575E-03
  1.8197100E+01    2.0955575E-03
  1.8198099E+01    2.0955575E-03
  1.8199100E+01    2.0955575E-03
  1.8200100E+01    2.0955575E-03
  1.8201099E+01    2.0955575E-03
  1.8202101E+01    2.0955575E-03
  1.8203100E+01    2.0955575E-03
  1.8204100E+01    2.0955575E-03
  1.8205099E+01    2.0955575E-03
  1.8206100E+01    2.0955575E-03
  1.8207100E+01    2.0955575E-03
  1.8208099E+01    2.0955575E-03
  1.8209101E+01    2.0955575E-03
  1.8210100E+01    2.0955575E-03
  1.8211100E+01    2.0955575E-03
  1.8212099E+01    2.0955575E-03
  1.8213100E+01    2.0955575E-03
  1.8214100E+01    2.0955575E-03
  1.8215099E+01    2.0955575E-03
  1.8216101E+01    2.0955575E-03
  1.8217100E+01    2.0955575E-03
  1.8218100E+01    2.0955575E-03
  1.8219101E+01    2.0955575E-03
  1.8220100E+01    2.0955575E-03
  1.8221100E+01    2.0955575E-03
  1.8222099E+01    2.0955575E-03
  1.8223101E+01    2.0955575E-03
  1.8224100E+01    2.0955575E-03
  1.8225100E+01    2.0955575E-03
  1.8226101E+01    2.0955575E-03
  1.8227100E+01    2.0955575E-03
  1.8228100E+01    2.0955575E-03
  1.8229099E+01    2.0955575E-03
  1.8230101E+01    2.0955575E-03
  1.8231100E+01    2.0955575E-03
  1.8232100E+01    2.0955575E-03
  1.8233101E+01    2.0955575E-03
  1.8234100E+01    2.0955575E-03
  1.8235100E+01    2.0955575E-03
  1.8236099E+01    2.0955575E-03
  1.8237101E+01    2.0955575E-03
  1.8238100E+01    2.0955575E-03
  1.8239100E+01    2.0955575E-03
  1.8240101E+01    2.0955575E-03
  1.8241100E+01    2.0955575E-03
  1.8242100E+01    2.0955575E-03
  1.8243099E+01    2.0955575E-03
  1.8244101E+01    2.0955575E-03
  1.8245100E+01    2.0955575E-03
  1.8246099E+01    2.0955575E-03
  1.8247101E+01    2.0955575E-03
  1.8248100E+01    2.0955575E-03
  1.8249100E+01    2.0955575E-03
  1.8250099E+01    2.0955575E-03
  1.8251101E+01    2.0955575E-03
  1.8252100E+01    2.0955575E-03
  1.8253099E+01    2.0955575E-03
  1.8254101E+01    2.0955575E-03
  1.8255100E+01    2.0955575E-03
  1.8256100E+01    2.0955575E-03
  1.8257099E+01    2.0955575E-03
  1.8258101E+01    2.0955575E-03
  1.8259100E+01    2.0955575E-03
  1.8260099E+01    2.0955575E-03
  1.8261101E+01    2.0955575E-03
  1.8262100E+01    2.0955575E-03
  1.8263100E+01    2.0955575E-03
  1.8264099E+01    2.0955575E-03
  1.8265100E+01    2.0955575E-03
  1.8266100E+01    2.0955575E-03
  1.8267099E+01    2.0955575E-03
  1.8268101E+01    2.0955575E-03
  1.8269100E+01    2.0955575E-03
  1.8270100E+01    2.0955575E-03
  1.8271099E+01    2.0955575E-03
  1.8272100E+01    2.0955575E-03
  1.8273100E+01    2.0955575E-03
  1.8274099E+01    2.0955575E-03
  1.8275101E+01    2.0955575E-03
  1.8276100E+01    2.0955575E-03
  1.8277100E+01    2.0955575E-03
  1.8278099E+01    2.0955575E-03
  1.8279100E+01    2.0955575E-03
  1.8280100E+01    2.0955575E-03
  1.8281099E+01    2.0955575E-03
  1.8282101E+01    2.0955575E-03
  1.8283100E+01    2.0955575E-03
  1.8284100E+01    2.0955575E-03
  1.8285101E+01    2.0955575E-03
  1.8286100E+01    2.0955575E-03
  1.8287100E+01    2.0955575E-03
  1.8288099E+01    2.0955575E-03
  1.8289101E+01    2.0955575E-03
  1.8290100E+01    2.0955575E-03
  1.8291100E+01    2.0955575E-03
  1.8292101E+01    2.0955575E-03
  1.8293100E+01    2.0955575E-03
  1.8294100E+01    2.0955575E-03
  1.8295099E+01    2.0955575E-03
  1.8296101E+01    2.0955575E-03
  1.8297100E+01    2.0955575E-03
  1.8298100E+01    2.0955575E-03
  1.8299101E+01    2.0955575E-03
  1.8300100E+01    2.0955575E-03
  1.8301100E+01    2.0955575E-03
  1.8302099E+01    2.0955575E-03
  1.8303101E+01    2.0955575E-03
  1.8304100E+01    2.0955575E-03
  1.8305099E+01    2.0955575E-03
  1.8306101E+01    2.0955575E-03
  1.8307100E+01    2.0955575E-03
  1.8308100E+01    2.0955575E-03
  1.8309099E+01    2.0955575E-03
  1.8310101E+01    2.0955575E-03
  1.8311100E+01    2.0955575E-03
  1.8312099E+01    2.0955575E-03
  1.8313101E+01    2.0955575E-03
  1.8314100E+01    2.0955575E-03
  1.8315100E+01    2.0955575E-03
  1.8316099E+01    2.0955575E-03
  1.8317101E+01    2.0955575E-03
  1.8318100E+01    2.0955575E-03
  1.8319099E+01    2.0955575E-03
  1.8320101E+01    2.0955575E-03
  1.8321100E+01    2.0955575E-03
  1.8322100E+01    2.0955575E-03
  1.8323099E+01    2.0955575E-03
  1.8324100E+01    2.0955575E-03
  1.8325100E+01    2.0955575E-03
  1.8326099E+01    2.0955575E-03
  1.8327101E+01    2.0955575E-03
  1.8328100E+01    2.0955575E-03
  1.8329100E+01    2.0955575E-03
  1.8330099E+01    2.0955575E-03
  1.8331100E+01    2.0955575E-03
  1.8332100E+01    2.0955575E-03
  1.8333099E+01    2.0955575E-03
  1.8334101E+01    2.0955575E-03
  1.8335100E+01    2.0955575E-03
