# wave[microns]    norm_trans
  1.1880000E+02    1.8147528E-03
  1.1902000E+02    5.7700006E-03
  1.1924000E+02    5.8501437E-03
  1.1946000E+02    3.2713432E-03
  1.1968000E+02    5.5664186E-03
  1.1990000E+02    5.3592511E-03
  1.2012000E+02    6.3793221E-03
  1.2034000E+02    6.5580909E-03
  1.2056000E+02    6.2735528E-03
  1.2078000E+02    6.5166545E-03
  1.2100000E+02    5.5031609E-03
  1.2122000E+02    3.3044894E-03
  1.2144000E+02    1.4145995E-03
  1.2166000E+02    0.0000000E+00
  1.2188000E+02    4.5573972E-05
  1.2210000E+02    3.4421994E-03
  1.2232000E+02    4.0623667E-03
  1.2254000E+02    2.6430457E-03
  1.2276000E+02    8.5079987E-03
  1.2298000E+02    9.2497161E-03
  1.2320000E+02    9.8623773E-03
  1.2342000E+02    2.6561271E-05
  1.2364000E+02    1.0677676E-02
  1.2386000E+02    1.1376955E-02
  1.2408000E+02    1.1812183E-02
  1.2430000E+02    1.0519785E-02
  1.2452000E+02    1.0979389E-02
  1.2474000E+02    8.5880114E-03
  1.2496000E+02    3.3673844E-03
  1.2518000E+02    5.6645654E-06
  1.2540000E+02    0.0000000E+00
  1.2562000E+02    5.6340761E-04
  1.2584000E+02    6.3522295E-03
  1.2606000E+02    1.2047474E-02
  1.2628000E+02    1.3182735E-02
  1.2650000E+02    6.2742205E-03
  1.2672000E+02    0.0000000E+00
  1.2694000E+02    8.3582373E-03
  1.2716000E+02    1.9231495E-02
  1.2738000E+02    2.2610726E-02
  1.2760000E+02    2.0808520E-02
  1.2782000E+02    1.8123572E-04
  1.2803999E+02    1.2952265E-02
  1.2825999E+02    2.8634109E-02
  1.2848000E+02    3.3985998E-02
  1.2870000E+02    3.6982227E-02
  1.2892000E+02    3.9121848E-02
  1.2914000E+02    3.9475091E-02
  1.2936000E+02    1.4179650E-02
  1.2958000E+02    4.4941824E-02
  1.2980000E+02    4.6204079E-02
  1.3002000E+02    4.7365289E-02
  1.3024001E+02    4.5626529E-02
  1.3046001E+02    4.8886560E-02
  1.3067999E+02    5.0709095E-02
  1.3089999E+02    5.2352324E-02
  1.3112000E+02    5.1655427E-02
  1.3134000E+02    5.3682525E-02
  1.3156000E+02    4.8841842E-02
  1.3178000E+02    3.8987406E-02
  1.3200000E+02    1.6781753E-02
  1.3222000E+02    2.2372620E-05
  1.3244000E+02    0.0000000E+00
  1.3266000E+02    1.6297697E-03
  1.3288000E+02    3.0725965E-02
  1.3310001E+02    5.3987712E-02
  1.3332001E+02    7.7361688E-02
  1.3353999E+02    3.8798664E-02
  1.3375999E+02    8.5722439E-02
  1.3398000E+02    1.0248923E-01
  1.3420000E+02    9.7701252E-02
  1.3442000E+02    7.4756742E-02
  1.3464000E+02    2.0561265E-02
  1.3486000E+02    0.0000000E+00
  1.3508000E+02    7.9110323E-05
  1.3530000E+02    3.9419193E-02
  1.3552000E+02    9.5048681E-02
  1.3574001E+02    1.1548015E-01
  1.3596001E+02    9.7435415E-02
  1.3617999E+02    2.2437954E-02
  1.3639999E+02    0.0000000E+00
  1.3662000E+02    0.0000000E+00
  1.3684000E+02    4.8307117E-02
  1.3706000E+02    1.3682891E-01
  1.3728000E+02    1.8230866E-01
  1.3750000E+02    1.9465245E-01
  1.3772000E+02    1.1877677E-01
  1.3794000E+02    1.1186746E-01
  1.3816000E+02    1.9910099E-02
  1.3838000E+02    0.0000000E+00
  1.3860001E+02    0.0000000E+00
  1.3882001E+02    3.5000714E-03
  1.3903999E+02    6.3479319E-02
  1.3925999E+02    2.0988114E-01
  1.3948000E+02    2.9582617E-01
  1.3970000E+02    3.7713823E-01
  1.3992000E+02    4.2576432E-01
  1.4014000E+02    4.9284083E-01
  1.4036000E+02    4.6640223E-01
  1.4058000E+02    5.6903362E-01
  1.4080000E+02    5.9601951E-01
  1.4102000E+02    6.1945421E-01
  1.4124001E+02    5.7207817E-01
  1.4146001E+02    6.6594750E-01
  1.4167999E+02    6.3546979E-01
  1.4189999E+02    6.9489783E-01
  1.4212000E+02    7.1610820E-01
  1.4234000E+02    7.3556620E-01
  1.4256000E+02    7.3572880E-01
  1.4278000E+02    6.7940199E-01
  1.4300000E+02    4.5198950E-01
  1.4322000E+02    2.6963729E-01
  1.4344000E+02    7.4370539E-01
  1.4366000E+02    7.4905992E-01
  1.4388000E+02    7.1240014E-01
  1.4410001E+02    5.9126759E-01
  1.4432001E+02    3.6950577E-02
  1.4453999E+02    0.0000000E+00
  1.4475999E+02    2.8669390E-01
  1.4498000E+02    6.3296384E-01
  1.4520000E+02    6.6998082E-01
  1.4542000E+02    7.9728240E-01
  1.4564000E+02    8.1921583E-01
  1.4586000E+02    8.2086802E-01
  1.4608000E+02    4.8098192E-01
  1.4630000E+02    7.2644264E-01
  1.4652000E+02    5.5356681E-01
  1.4674001E+02    8.5315190E-02
  1.4696001E+02    0.0000000E+00
  1.4717999E+02    2.9457611E-01
  1.4739999E+02    6.2337422E-01
  1.4762000E+02    7.5345469E-01
  1.4784000E+02    8.2121789E-01
  1.4806000E+02    8.8350612E-01
  1.4828000E+02    8.8368905E-01
  1.4850000E+02    8.5003179E-01
  1.4872000E+02    9.6628457E-02
  1.4894000E+02    8.6978304E-01
  1.4916000E+02    3.0242929E-01
  1.4938000E+02    9.4611669E-01
  1.4960001E+02    9.5401484E-01
  1.4982001E+02    9.6267092E-01
  1.5003999E+02    9.6658808E-01
  1.5025999E+02    9.6618730E-01
  1.5048000E+02    9.6429992E-01
  1.5070000E+02    9.5421815E-01
  1.5092000E+02    8.6626220E-01
  1.5114000E+02    3.2012323E-01
  1.5136000E+02    9.3676084E-01
  1.5158000E+02    9.1475624E-01
  1.5180000E+02    9.3448859E-01
  1.5202000E+02    9.3058163E-01
  1.5224001E+02    9.3405306E-01
  1.5246001E+02    5.5354649E-01
  1.5267999E+02    9.8078883E-01
  1.5289999E+02    9.7254795E-01
  1.5312000E+02    9.8624057E-01
  1.5334000E+02    9.8838943E-01
  1.5356000E+02    1.4415579E-01
  1.5378000E+02    9.4479400E-01
  1.5400000E+02    9.5782167E-01
  1.5422000E+02    3.9150739E-01
  1.5444000E+02    9.0184909E-01
  1.5466000E+02    9.1310257E-01
  1.5488000E+02    8.7335318E-01
  1.5510001E+02    8.2371366E-01
  1.5532001E+02    7.2556424E-01
  1.5553999E+02    5.9271943E-02
  1.5575999E+02    2.8752145E-01
  1.5598000E+02    1.4238348E-02
  1.5620000E+02    0.0000000E+00
  1.5642000E+02    7.8560784E-03
  1.5664000E+02    3.2502910E-01
  1.5686000E+02    6.1933076E-01
  1.5708000E+02    7.4441397E-01
  1.5730000E+02    8.2125425E-01
  1.5752000E+02    8.7231219E-01
  1.5774001E+02    9.0728348E-01
  1.5796001E+02    9.0963697E-01
  1.5817999E+02    8.8460809E-01
  1.5839999E+02    8.6602122E-01
  1.5862000E+02    9.4450217E-01
  1.5884000E+02    9.4072729E-01
  1.5906000E+02    6.5517896E-01
  1.5928000E+02    8.7360007E-01
  1.5950000E+02    8.0880588E-01
  1.5972000E+02    2.4462735E-02
  1.5994000E+02    5.4405850E-01
  1.6016000E+02    1.7987387E-01
  1.6038000E+02    0.0000000E+00
  1.6060001E+02    0.0000000E+00
  1.6082001E+02    1.3097569E-01
  1.6103999E+02    5.1303923E-01
  1.6125999E+02    4.8619705E-01
  1.6148000E+02    8.3148414E-01
  1.6170000E+02    8.8416970E-01
  1.6192000E+02    8.3396685E-01
  1.6214000E+02    9.4111502E-01
  1.6236000E+02    9.5502251E-01
  1.6258000E+02    8.9895260E-01
