# wave[microns]    norm_trans
  1.5388730E+03    2.5259301E-03
  1.5479310E+03    2.9981500E-03
  1.5570883E+03    3.6111700E-03
  1.5663547E+03    4.4271899E-03
  1.5757320E+03    5.9875799E-03
  1.5852305E+03    8.1711300E-03
  1.5948358E+03    9.8503400E-03
  1.6045582E+03    1.1464900E-02
  1.6143999E+03    1.4815100E-02
  1.6243718E+03    1.8478900E-02
  1.6344590E+03    2.3699300E-02
  1.6446720E+03    3.7512299E-02
  1.6550135E+03    5.7842702E-02
  1.6654951E+03    7.6069400E-02
  1.6761009E+03    1.1648800E-01
  1.6868428E+03    1.9988100E-01
  1.6977231E+03    2.9345000E-01
  1.7087546E+03    3.8594499E-01
  1.7199205E+03    4.9947000E-01
  1.7312331E+03    5.9592301E-01
  1.7427059E+03    6.5098900E-01
  1.7543213E+03    7.2024697E-01
  1.7660927E+03    7.8499800E-01
  1.7780229E+03    7.9395097E-01
  1.7901262E+03    7.8945398E-01
  1.8023848E+03    8.1596297E-01
  1.8148121E+03    8.4397101E-01
  1.8274123E+03    8.2590401E-01
  1.8401997E+03    7.9140502E-01
  1.8531560E+03    8.1360000E-01
  1.8662960E+03    8.7723702E-01
  1.8796236E+03    8.8282800E-01
  1.8931549E+03    8.3533603E-01
  1.9068705E+03    8.5983402E-01
  1.9207860E+03    9.5869201E-01
  1.9349063E+03    1.0000000E+00
  1.9492485E+03    9.6983898E-01
  1.9637918E+03    9.5143002E-01
  1.9785538E+03    9.1788697E-01
  1.9935393E+03    8.6320800E-01
  2.0087672E+03    8.4171498E-01
  2.0242160E+03    7.7233303E-01
  2.0399039E+03    6.3381702E-01
  2.0558372E+03    5.7147402E-01
  2.0720355E+03    5.9320700E-01
  2.0884765E+03    5.6411999E-01
  2.1051807E+03    5.0022900E-01
  2.1221539E+03    5.0725400E-01
  2.1394186E+03    5.4554898E-01
  2.1569510E+03    5.2298802E-01
  2.1747728E+03    4.5551899E-01
  2.1928920E+03    4.2385900E-01
  2.2113317E+03    4.3335199E-01
  2.2300676E+03    4.2119399E-01
  2.2491237E+03    4.2664400E-01
  2.2685081E+03    5.1547998E-01
  2.2882473E+03    5.8309102E-01
  2.3083153E+03    5.5477601E-01
  2.3287385E+03    4.9294901E-01
  2.3495257E+03    4.7058699E-01
  2.3707067E+03    4.5210800E-01
  2.3922536E+03    2.9372701E-01
  2.4141960E+03    9.5255800E-02
  2.4365445E+03    2.0614799E-02
  2.4593309E+03    7.3087201E-03
  2.4825271E+03    2.6305600E-03
  2.5061647E+03    2.2129200E-03
  2.5302569E+03    0.0000000E+00
  2.5548389E+03    0.0000000E+00
  2.5798806E+03    0.0000000E+00
  2.6054182E+03    0.0000000E+00
