# wave[microns]    norm_trans
  3.7224901E+00    2.2639954E-03
  3.7251599E+00    2.0651433E-03
  3.7278399E+00    2.1144000E-03
  3.7305200E+00    2.2512248E-03
  3.7332101E+00    2.2639954E-03
  3.7358999E+00    2.3333197E-03
  3.7385900E+00    2.2931846E-03
  3.7412901E+00    2.2494006E-03
  3.7439899E+00    2.3588606E-03
  3.7466900E+00    2.3041305E-03
  3.7493999E+00    2.1855491E-03
  3.7521200E+00    2.0706162E-03
  3.7548299E+00    1.9082507E-03
  3.7575500E+00    1.7367635E-03
  3.7602799E+00    1.5415601E-03
  3.7630100E+00    1.2916266E-03
  3.7657399E+00    1.0836528E-03
  3.7684801E+00    1.0435176E-03
  3.7712200E+00    1.0690582E-03
  3.7739601E+00    8.6655747E-04
  3.7767100E+00    6.7500264E-04
  3.7794600E+00    5.7831308E-04
  3.7822199E+00    5.4000213E-04
  3.7849801E+00    5.1811017E-04
  3.7877500E+00    3.8310961E-04
  3.7905099E+00    4.7979917E-04
  3.7932899E+00    8.1365183E-04
  3.7960601E+00    8.3736813E-04
  3.7988400E+00    9.0486836E-04
  3.8016300E+00    1.0672339E-03
  3.8044200E+00    7.8263821E-04
  3.8072100E+00    8.3919248E-04
  3.8100100E+00    1.4175054E-03
  3.8128099E+00    1.5178437E-03
  3.8156199E+00    1.3354106E-03
  3.8184299E+00    1.6911553E-03
  3.8212399E+00    1.8516965E-03
  3.8240600E+00    1.7166958E-03
  3.8268800E+00    2.0943326E-03
  3.8297100E+00    2.2019681E-03
  3.8325400E+00    1.9721023E-03
  3.8353701E+00    1.9447373E-03
  3.8382101E+00    1.7805474E-03
  3.8410499E+00    1.8480478E-03
  3.8439000E+00    1.9301428E-03
  3.8467500E+00    1.8772371E-03
  3.8496101E+00    1.9319671E-03
  3.8524699E+00    1.6072360E-03
  3.8553300E+00    1.6455470E-03
  3.8582001E+00    1.7513582E-03
  3.8610699E+00    1.3299377E-03
  3.8639500E+00    1.1803424E-03
  3.8668301E+00    1.0909502E-03
  3.8697200E+00    8.7932777E-04
  3.8726101E+00    7.5709750E-04
  3.8755000E+00    6.4763764E-04
  3.8784001E+00    7.3885423E-04
  3.8813000E+00    7.5527321E-04
  3.8842101E+00    6.1115099E-04
  3.8871200E+00    7.0966489E-04
  3.8900399E+00    1.0781799E-03
  3.8929601E+00    1.4850058E-03
  3.8958900E+00    1.9447373E-03
  3.8988099E+00    2.9919036E-03
  3.9017501E+00    3.8639342E-03
  3.9046900E+00    4.5042741E-03
  3.9076300E+00    5.9509692E-03
  3.9105799E+00    7.5928676E-03
  3.9135301E+00    9.0486845E-03
  3.9164801E+00    1.0944164E-02
  3.9194400E+00    1.3095051E-02
  3.9224100E+00    1.5311614E-02
  3.9253800E+00    1.8305341E-02
  3.9283500E+00    2.1939410E-02
  3.9313300E+00    2.5478613E-02
  3.9343100E+00    2.9499441E-02
  3.9373000E+00    3.4273714E-02
  3.9402900E+00    3.9779548E-02
  3.9432900E+00    4.6086259E-02
  3.9462900E+00    5.3192031E-02
  3.9492900E+00    6.1715309E-02
  3.9523001E+00    7.1542986E-02
  3.9553199E+00    8.2613021E-02
  3.9583399E+00    9.5821187E-02
  3.9613600E+00    1.1120395E-01
  3.9643900E+00    1.2848219E-01
  3.9674201E+00    1.4828348E-01
  3.9704599E+00    1.7093803E-01
  3.9735000E+00    1.9707888E-01
  3.9765501E+00    2.2699063E-01
  3.9796000E+00    2.5976110E-01
  3.9826601E+00    2.9570225E-01
  3.9857199E+00    3.3464622E-01
  3.9887900E+00    3.7578127E-01
  3.9918599E+00    4.1932440E-01
  3.9949300E+00    4.6288398E-01
  3.9980099E+00    5.0578129E-01
  4.0011001E+00    5.4726839E-01
  4.0041900E+00    5.8417648E-01
  4.0072799E+00    6.1716223E-01
  4.0103798E+00    6.4561266E-01
  4.0134902E+00    6.6773635E-01
  4.0165901E+00    6.8383056E-01
  4.0197101E+00    6.9322407E-01
  4.0228300E+00    6.9969314E-01
  4.0259500E+00    7.0329070E-01
  4.0290799E+00    7.0190418E-01
  4.0322099E+00    6.9810593E-01
  4.0353498E+00    6.9378412E-01
  4.0384898E+00    6.9057333E-01
  4.0416398E+00    6.8383056E-01
  4.0447898E+00    6.7588383E-01
  4.0479498E+00    6.6863024E-01
  4.0511098E+00    6.6011244E-01
  4.0542798E+00    6.5289360E-01
  4.0574498E+00    6.4664161E-01
  4.0606298E+00    6.3898665E-01
  4.0638099E+00    6.3112384E-01
  4.0669999E+00    6.2379181E-01
  4.0701900E+00    6.1758178E-01
  4.0733900E+00    6.1242986E-01
  4.0765901E+00    6.0736555E-01
  4.0798001E+00    6.0266060E-01
  4.0830102E+00    5.9955013E-01
  4.0862298E+00    5.9770751E-01
  4.0894499E+00    5.9581202E-01
  4.0926800E+00    5.9502214E-01
  4.0959101E+00    5.9544539E-01
  4.0991502E+00    5.9743023E-01
  4.1023898E+00    6.0206223E-01
  4.1056399E+00    6.0621434E-01
  4.1088901E+00    6.1084270E-01
  4.1121502E+00    6.1632669E-01
  4.1154199E+00    6.2316793E-01
  4.1186800E+00    6.3498414E-01
  4.1219602E+00    6.4620554E-01
  4.1252398E+00    6.5457010E-01
  4.1285200E+00    6.6636622E-01
  4.1318102E+00    6.7922229E-01
  4.1351099E+00    6.9238120E-01
  4.1384101E+00    7.0608741E-01
  4.1417098E+00    7.1953273E-01
  4.1450200E+00    7.3393768E-01
  4.1483402E+00    7.4996442E-01
  4.1516600E+00    7.6656222E-01
  4.1549902E+00    7.8265822E-01
  4.1583200E+00    7.9649216E-01
  4.1616602E+00    8.0752206E-01
  4.1650000E+00    8.1898981E-01
  4.1683502E+00    8.3154851E-01
  4.1717000E+00    8.4238869E-01
  4.1750598E+00    8.5203755E-01
  4.1784201E+00    8.6090934E-01
  4.1817899E+00    8.6907321E-01
  4.1851702E+00    8.7660587E-01
  4.1885500E+00    8.8438845E-01
  4.1919298E+00    8.9242095E-01
  4.1953301E+00    8.9623016E-01
  4.1987200E+00    8.9858723E-01
  4.2021298E+00    9.0308785E-01
  4.2055302E+00    9.0606701E-01
  4.2089500E+00    9.0690798E-01
  4.2123699E+00    9.0762860E-01
  4.2157898E+00    9.0682411E-01
  4.2192202E+00    9.0698647E-01
  4.2226601E+00    9.0560174E-01
  4.2261000E+00    9.0163022E-01
  4.2295499E+00    8.9842671E-01
  4.2329998E+00    8.9517391E-01
  4.2364602E+00    8.9133734E-01
  4.2399201E+00    8.8969541E-01
  4.2433901E+00    8.8525134E-01
  4.2468700E+00    8.7796682E-01
  4.2503500E+00    8.7229133E-01
  4.2538300E+00    8.6815733E-01
  4.2573299E+00    8.6451966E-01
  4.2608199E+00    8.6040217E-01
  4.2643299E+00    8.5624450E-01
  4.2678399E+00    8.5476315E-01
  4.2713499E+00    8.5236597E-01
  4.2748699E+00    8.4892344E-01
  4.2783999E+00    8.4983927E-01
  4.2819300E+00    8.5153955E-01
  4.2854700E+00    8.5140640E-01
  4.2890201E+00    8.5244441E-01
  4.2925701E+00    8.5544366E-01
  4.2961302E+00    8.6230129E-01
  4.2996898E+00    8.6781436E-01
  4.3032598E+00    8.7334943E-01
  4.3068299E+00    8.7943542E-01
  4.3104100E+00    8.8368243E-01
  4.3140001E+00    8.8931048E-01
  4.3175902E+00    8.9602584E-01
  4.3211899E+00    9.0084940E-01
  4.3247900E+00    9.0545398E-01
  4.3284001E+00    9.1043991E-01
  4.3320198E+00    9.1591114E-01
  4.3356400E+00    9.2157567E-01
  4.3392701E+00    9.2580265E-01
  4.3428998E+00    9.2952234E-01
  4.3465400E+00    9.3283540E-01
  4.3501902E+00    9.3649870E-01
  4.3538399E+00    9.4019842E-01
  4.3575001E+00    9.4180018E-01
  4.3611598E+00    9.4308263E-01
  4.3648300E+00    9.4901723E-01
  4.3685098E+00    9.5538223E-01
  4.3721900E+00    9.5717382E-01
  4.3758798E+00    9.5980811E-01
  4.3795800E+00    9.6478301E-01
  4.3832798E+00    9.6834779E-01
  4.3869901E+00    9.7085446E-01
  4.3907099E+00    9.7488630E-01
