# wave[microns]    norm_trans
  2.1059999E+00    8.4162003E-04
  2.1061001E+00    1.3090486E-03
  2.1062000E+00    1.8237173E-03
  2.1063001E+00    1.6969149E-03
  2.1064000E+00    2.2451489E-03
  2.1064999E+00    2.7722493E-03
  2.1066000E+00    1.6235685E-03
  2.1066999E+00    8.5032225E-04
  2.1068001E+00    7.5832824E-04
  2.1069000E+00    6.1785104E-04
  2.1070001E+00    6.0044683E-04
  2.1071000E+00    5.8925833E-04
  2.1071999E+00    3.9159576E-04
  2.1073000E+00    4.4878118E-04
  2.1073999E+00    9.3858660E-04
  2.1075001E+00    7.2600611E-04
  2.1076000E+00    3.7916412E-04
  2.1077001E+00    3.7667781E-04
  2.1078000E+00    5.3207297E-04
  2.1078999E+00    4.5002429E-04
  2.1080000E+00    6.6882069E-04
  2.1080999E+00    8.5529481E-04
  2.1082001E+00    1.2667811E-03
  2.1083000E+00    1.5440061E-03
  2.1084001E+00    1.4681732E-03
  2.1085000E+00    7.4838294E-04
  2.1085999E+00    2.1345075E-03
  2.1087000E+00    2.3371428E-03
  2.1087999E+00    6.6882069E-04
  2.1089001E+00    5.6066568E-04
  2.1090000E+00    1.0131763E-03
  2.1091001E+00    9.8085415E-04
  2.1092000E+00    9.5599086E-04
  2.1092999E+00    1.0579301E-03
  2.1094000E+00    8.5529481E-04
  2.1094999E+00    4.4007902E-04
  2.1096001E+00    3.4311248E-04
  2.1097000E+00    3.4435565E-04
  2.1098001E+00    7.5584190E-04
  2.1099000E+00    8.4783585E-04
  2.1099999E+00    4.6121277E-04
  2.1101000E+00    3.5181458E-04
  2.1101999E+00    7.2103343E-04
  2.1103001E+00    1.3525593E-03
  2.1104000E+00    1.6459452E-03
  2.1105001E+00    8.5032225E-04
  2.1106000E+00    7.3595141E-04
  2.1106999E+00    7.9313683E-04
  2.1108000E+00    4.2516112E-04
  2.1108999E+00    4.0278418E-04
  2.1110001E+00    3.9905470E-04
  2.1111000E+00    3.5430089E-04
  2.1112001E+00    6.4395741E-04
  2.1113000E+00    6.4768695E-04
  2.1113999E+00    4.4629484E-04
  2.1115000E+00    3.3192401E-04
  2.1115999E+00    5.2337081E-04
  2.1117001E+00    6.1536470E-04
  2.1118000E+00    3.9781153E-04
  2.1119001E+00    4.1272948E-04
  2.1120000E+00    2.3744376E-04
  2.1120999E+00    9.0750764E-05
  2.1122000E+00    0.0000000E+00
  2.1122999E+00    2.4863222E-04
  2.1124001E+00    1.3202372E-03
  2.1125000E+00    1.1412218E-03
  2.1126001E+00    4.0900000E-04
  2.1127000E+00    1.0964681E-03
  2.1127999E+00    1.7951247E-03
  2.1129000E+00    1.5067112E-03
  2.1129999E+00    7.3968084E-04
  2.1131001E+00    7.8070519E-04
  2.1131999E+00    4.8980548E-04
  2.1133001E+00    2.4490274E-04
  2.1134000E+00    3.4186931E-04
  2.1135001E+00    3.6797571E-04
  2.1136000E+00    1.5042249E-04
  2.1136999E+00    4.2143158E-04
  2.1138000E+00    1.4457963E-03
  2.1138999E+00    1.2754833E-03
  2.1140001E+00    1.4296353E-03
  2.1141000E+00    1.6956717E-03
  2.1142001E+00    1.2158116E-03
  2.1143000E+00    1.1698146E-03
  2.1143999E+00    1.1412218E-03
  2.1145000E+00    6.5141637E-04
  2.1145999E+00    9.6220669E-04
  2.1147001E+00    7.3843769E-04
  2.1148000E+00    5.2088447E-04
  2.1149001E+00    8.4534957E-05
  2.1150000E+00    5.2585715E-04
  2.1150999E+00    2.2513648E-03
  2.1152000E+00    2.7635470E-03
  2.1152999E+00    1.4035288E-03
  2.1154001E+00    3.1949242E-04
  2.1155000E+00    5.1218236E-04
  2.1156001E+00    6.3401216E-04
  2.1157000E+00    1.4632005E-03
  2.1157999E+00    1.5725987E-03
  2.1159000E+00    1.0019878E-03
  2.1159999E+00    1.0554438E-03
  2.1161001E+00    1.0057173E-03
  2.1162000E+00    7.9437991E-04
  2.1163001E+00    8.0681156E-04
  2.1164000E+00    1.1225744E-03
  2.1164999E+00    2.1059148E-03
