# wave[microns]    norm_trans
  4.8500001E-01    0.0000000E+00
  4.8600003E-01    0.0000000E+00
  4.8700002E-01    1.9641220E-05
  4.8800004E-01    1.9641220E-05
  4.8900002E-01    1.9641220E-05
  4.9000001E-01    9.9515513E-05
  4.9100003E-01    1.7938981E-04
  4.9200001E-01    2.3962288E-04
  4.9300003E-01    4.1901271E-04
  4.9400002E-01    6.5994496E-04
  4.9500003E-01    1.2792981E-03
  4.9600002E-01    5.6147696E-03
  4.9700001E-01    3.7200470E-02
  4.9800003E-01    1.7506874E-01
  4.9900001E-01    4.6981800E-01
  5.0000000E-01    7.8892231E-01
  5.0100005E-01    9.6150315E-01
  5.0200003E-01    1.0000000E+00
  5.0300002E-01    9.6530050E-01
  5.0400001E-01    8.1183708E-01
  5.0500000E-01    5.1708788E-01
  5.0600004E-01    2.1487494E-01
  5.0700003E-01    5.0189864E-02
  5.0800002E-01    6.7736022E-03
  5.0900000E-01    1.6184365E-03
  5.1000005E-01    7.3981925E-04
  5.1100004E-01    3.3913841E-04
  5.1200002E-01    9.9515513E-05
  5.1300001E-01    1.9641220E-05
  5.1400000E-01    0.0000000E+00
  5.1500005E-01    0.0000000E+00
