# wave[microns]    norm_trans
  8.5014004E-01    1.1453097E-03
  8.5058999E-01    5.7254219E-04
  8.5104001E-01    1.1448610E-04
  8.5147995E-01    3.4339193E-04
  8.5192996E-01    1.1444192E-03
  8.5237998E-01    1.7153505E-03
  8.5281998E-01    1.5996781E-03
  8.5326999E-01    1.1416643E-03
  8.5372001E-01    7.9849083E-04
  8.5417002E-01    5.7007262E-04
  8.5460997E-01    6.8415416E-04
  8.5505992E-01    1.0263305E-03
  8.5550994E-01    1.5966715E-03
  8.5595995E-01    1.4827701E-03
  8.5639995E-01    6.8375893E-04
  8.5684997E-01    2.2769453E-04
  8.5729998E-01    6.8240491E-04
  8.5775000E-01    1.2498361E-03
  8.5819000E-01    1.7048783E-03
  8.5864002E-01    2.1639860E-03
  8.5909003E-01    2.0543286E-03
  8.5954005E-01    1.8298273E-03
  8.5997999E-01    1.6043206E-03
  8.6042994E-01    1.4895770E-03
  8.6087996E-01    1.3747168E-03
  8.6132997E-01    1.2599047E-03
  8.6177999E-01    1.1451378E-03
  8.6221999E-01    1.1453863E-03
  8.6267000E-01    1.0315132E-03
  8.6312002E-01    9.1749331E-04
  8.6356997E-01    1.0328456E-03
  8.6400992E-01    1.7224710E-03
  8.6445993E-01    1.8373146E-03
  8.6490995E-01    1.3779834E-03
  8.6535996E-01    1.1483246E-03
  8.6580992E-01    1.4928253E-03
  8.6624998E-01    1.7238550E-03
  8.6669999E-01    1.4961488E-03
  8.6714995E-01    1.1525267E-03
  8.6759996E-01    1.0387520E-03
  8.6804998E-01    1.3868148E-03
  8.6849004E-01    1.6185497E-03
  8.6894000E-01    1.3878536E-03
  8.6939001E-01    9.2558592E-04
  8.6984003E-01    9.2593773E-04
  8.7029004E-01    1.1575227E-03
  8.7074000E-01    1.6204123E-03
  8.7117994E-01    1.6202973E-03
  8.7162995E-01    9.2581601E-04
  8.7207997E-01    2.3146486E-04
  8.7252998E-01    2.3160159E-04
  8.7297994E-01    6.9521327E-04
  8.7342995E-01    1.0434345E-03
  8.7387002E-01    1.3920475E-03
  8.7431997E-01    1.5088454E-03
  8.7476999E-01    9.2898606E-04
  8.7522000E-01    4.6472563E-04
  8.7567002E-01    6.9743616E-04
  8.7611997E-01    1.2794884E-03
  8.7656999E-01    1.2809342E-03
  8.7700993E-01    8.1603840E-04
  8.7745994E-01    8.1695890E-04
  8.7790996E-01    1.2852364E-03
  8.7835991E-01    1.5178819E-03
  8.7880993E-01    1.3995364E-03
  8.7925994E-01    9.3196763E-04
  8.7970996E-01    4.6545433E-04
  8.8015991E-01    3.4877812E-04
  8.8059998E-01    3.4861968E-04
  8.8104999E-01    4.6460892E-04
  8.8150001E-01    6.9658738E-04
  8.8194996E-01    8.1230479E-04
  8.8239998E-01    1.0435545E-03
  8.8284999E-01    1.1585265E-03
  8.8330001E-01    8.1028207E-04
  8.8374996E-01    2.3131310E-04
  8.8419998E-01    0.0000000E+00
  8.8464004E-01    3.4659862E-04
  8.8508999E-01    8.0838939E-04
  8.8554001E-01    1.0389171E-03
  8.8599002E-01    1.0384752E-03
  8.8644004E-01    9.2300458E-04
  8.8688999E-01    9.2292449E-04
  8.8734001E-01    9.2284277E-04
  8.8779002E-01    5.7672447E-04
  8.8824004E-01    0.0000000E+00
  8.8868999E-01    0.0000000E+00
  8.8914001E-01    0.0000000E+00
  8.8957995E-01    6.8897835E-04
  8.9002997E-01    1.4910945E-03
  8.9047998E-01    1.6069153E-03
  8.9092994E-01    1.1485947E-03
  8.9137995E-01    4.5975469E-04
  8.9182997E-01    1.1501755E-04
  8.9227998E-01    2.3011914E-04
  8.9272994E-01    5.7539542E-04
  8.9317995E-01    8.0568960E-04
  8.9362997E-01    1.0360572E-03
  8.9407998E-01    1.2661114E-03
  8.9452994E-01    1.2641402E-03
  8.9497995E-01    1.1474257E-03
  8.9542997E-01    8.0194435E-04
  8.9587998E-01    6.8630697E-04
  8.9632994E-01    1.0278062E-03
  8.9677995E-01    1.4821981E-03
  8.9722997E-01    1.2521291E-03
  8.9767998E-01    1.1364466E-03
  8.9812994E-01    1.2485671E-03
  8.9857000E-01    1.4752696E-03
  8.9902002E-01    1.2480352E-03
  8.9946997E-01    1.0208960E-03
  8.9991999E-01    1.2474882E-03
  9.0037000E-01    1.3610995E-03
  9.0082002E-01    9.0760650E-04
  9.0126997E-01    5.6738121E-04
  9.0171999E-01    5.6750793E-04
  9.0217000E-01    5.6765135E-04
  9.0262002E-01    3.4069386E-04
  9.0306997E-01    3.4079555E-04
  9.0351999E-01    6.8179629E-04
  9.0397000E-01    6.8199635E-04
  9.0442002E-01    4.5390832E-04
  9.0486997E-01    9.0617576E-04
  9.0531999E-01    1.2437413E-03
  9.0577000E-01    7.9003978E-04
  9.0622002E-01    1.1274969E-04
  9.0666997E-01    0.0000000E+00
  9.0711999E-01    1.1271400E-04
  9.0757000E-01    4.5078329E-04
  9.0802002E-01    1.0140741E-03
  9.0846997E-01    1.3511594E-03
  9.0891999E-01    1.2376998E-03
  9.0937001E-01    1.1243969E-03
  9.0982997E-01    1.3483128E-03
  9.1027993E-01    1.7970101E-03
  9.1072994E-01    2.1334202E-03
  9.1117996E-01    1.9083852E-03
  9.1162997E-01    1.5712149E-03
  9.1207993E-01    1.4585773E-03
  9.1252995E-01    1.6822666E-03
  9.1297996E-01    2.3541858E-03
  9.1342998E-01    2.8014206E-03
  9.1387993E-01    2.8002532E-03
  9.1432995E-01    2.4634765E-03
  9.1477996E-01    2.3509008E-03
  9.1522998E-01    3.0217862E-03
  9.1567993E-01    4.0280144E-03
  9.1612995E-01    4.6963822E-03
  9.1657996E-01    4.8007867E-03
  9.1702998E-01    4.6819248E-03
  9.1747993E-01    5.4538129E-03
  9.1792995E-01    6.6678175E-03
  9.1837996E-01    8.2223164E-03
  9.1883999E-01    9.6677085E-03
  9.1929001E-01    1.1113334E-02
  9.1974002E-01    1.2448035E-02
  9.2019004E-01    1.4221699E-02
  9.2063999E-01    1.6651174E-02
  9.2109001E-01    1.9963481E-02
  9.2154002E-01    2.3934733E-02
  9.2199004E-01    2.9116452E-02
  9.2243999E-01    3.5829477E-02
  9.2289001E-01    4.4846710E-02
  9.2334002E-01    5.5829477E-02
  9.2379004E-01    6.9321893E-02
  9.2424995E-01    8.6295970E-02
  9.2469996E-01    1.0816896E-01
  9.2514998E-01    1.3624187E-01
  9.2559999E-01    1.7103812E-01
  9.2604995E-01    2.1156107E-01
  9.2649996E-01    2.5671309E-01
  9.2694998E-01    3.0639252E-01
  9.2739999E-01    3.6157316E-01
  9.2784995E-01    4.2213160E-01
  9.2829996E-01    4.8567495E-01
  9.2875993E-01    5.5038393E-01
  9.2920995E-01    6.1593664E-01
  9.2965996E-01    6.8186963E-01
  9.3010992E-01    7.4776423E-01
  9.3055993E-01    8.1086069E-01
  9.3100995E-01    8.6619145E-01
  9.3145996E-01    9.1183031E-01
  9.3190992E-01    9.4790429E-01
  9.3237001E-01    9.7350603E-01
  9.3282002E-01    9.8872912E-01
  9.3326998E-01    9.9606460E-01
  9.3371999E-01    9.9929959E-01
  9.3417001E-01    1.0000000E+00
  9.3462002E-01    9.9838746E-01
  9.3506998E-01    9.9517417E-01
  9.3552995E-01    9.9245936E-01
  9.3597996E-01    9.9180734E-01
  9.3642998E-01    9.9185741E-01
  9.3687993E-01    9.9206585E-01
  9.3732995E-01    9.9120706E-01
  9.3777996E-01    9.8918599E-01
  9.3822998E-01    9.8858565E-01
  9.3869001E-01    9.9081022E-01
  9.3914002E-01    9.9419194E-01
  9.3959004E-01    9.9693668E-01
  9.4003999E-01    9.9779218E-01
  9.4049001E-01    9.9634141E-01
  9.4094002E-01    9.9352819E-01
