# wave[microns]    norm_trans
  9.4003999E-01    0.0000000E+00
  9.4049001E-01    0.0000000E+00
  9.4094002E-01    4.2686463E-04
  9.4139999E-01    5.6823593E-04
  9.4184995E-01    0.0000000E+00
  9.4229996E-01    0.0000000E+00
  9.4274998E-01    0.0000000E+00
  9.4319999E-01    1.5489791E-03
  9.4364995E-01    3.3710836E-03
  9.4410992E-01    3.3630203E-03
  9.4455993E-01    1.6784915E-03
  9.4500995E-01    0.0000000E+00
  9.4545996E-01    0.0000000E+00
  9.4590992E-01    0.0000000E+00
  9.4637001E-01    0.0000000E+00
  9.4682002E-01    8.3049753E-04
  9.4726998E-01    2.4850827E-03
  9.4771999E-01    3.9933766E-03
  9.4817001E-01    5.0819633E-03
  9.4862002E-01    4.5211343E-03
  9.4907993E-01    3.2796150E-03
  9.4952995E-01    3.2713017E-03
  9.4997996E-01    5.0304253E-03
  9.5042998E-01    6.7786914E-03
  9.5089000E-01    7.0293392E-03
  9.5134002E-01    6.2005320E-03
  9.5179003E-01    5.7795751E-03
  9.5223999E-01    6.1694589E-03
  9.5269001E-01    6.4277616E-03
  9.5314997E-01    6.6849510E-03
  9.5359999E-01    8.1428885E-03
  9.5405000E-01    1.0528620E-02
  9.5449996E-01    1.2236455E-02
  9.5494998E-01    1.3273527E-02
  9.5540994E-01    1.4305602E-02
  9.5585996E-01    1.6126983E-02
  9.5630991E-01    1.9894563E-02
  9.5675993E-01    2.4542144E-02
  9.5722002E-01    2.9019963E-02
  9.5766997E-01    3.3724919E-02
  9.5811999E-01    3.9855402E-02
  9.5857000E-01    4.8529387E-02
  9.5902997E-01    6.0435336E-02
  9.5947993E-01    7.5698614E-02
  9.5992994E-01    9.4312891E-02
  9.6037996E-01    1.1688983E-01
  9.6082997E-01    1.4476207E-01
  9.6129000E-01    1.7777967E-01
  9.6174002E-01    2.1515222E-01
  9.6219003E-01    2.5732127E-01
  9.6263999E-01    3.0447757E-01
  9.6309996E-01    3.5605404E-01
  9.6354997E-01    4.1067189E-01
  9.6399999E-01    4.6759745E-01
  9.6445996E-01    5.2881372E-01
  9.6490991E-01    5.9211284E-01
  9.6535993E-01    6.5572762E-01
  9.6580994E-01    7.1766621E-01
  9.6626997E-01    7.7429193E-01
  9.6671999E-01    8.2476676E-01
  9.6717000E-01    8.6949724E-01
  9.6762002E-01    9.0818810E-01
  9.6807998E-01    9.4072354E-01
  9.6852994E-01    9.6742600E-01
  9.6897995E-01    9.8703033E-01
  9.6942997E-01    9.9828506E-01
  9.6989000E-01    1.0000000E+00
  9.7034001E-01    9.9239993E-01
  9.7079003E-01    9.7612995E-01
  9.7125000E-01    9.5121729E-01
  9.7169995E-01    9.1780293E-01
  9.7214997E-01    8.7682706E-01
  9.7259998E-01    8.3151048E-01
  9.7305995E-01    7.8256434E-01
  9.7350991E-01    7.2898227E-01
  9.7395992E-01    6.7110491E-01
  9.7442001E-01    6.1111301E-01
  9.7486997E-01    5.4874516E-01
  9.7531998E-01    4.8335865E-01
  9.7577995E-01    4.1599602E-01
  9.7622997E-01    3.4879693E-01
  9.7667998E-01    2.8512761E-01
  9.7712994E-01    2.2838147E-01
  9.7759002E-01    1.8014488E-01
  9.7804004E-01    1.4127570E-01
  9.7849000E-01    1.1128654E-01
  9.7894996E-01    8.8012964E-02
  9.7939998E-01    7.0307933E-02
  9.7984999E-01    5.7018481E-02
  9.8030996E-01    4.6610288E-02
  9.8075992E-01    3.8239766E-02
  9.8120993E-01    3.1953692E-02
  9.8167002E-01    2.7702784E-02
  9.8211998E-01    2.4285022E-02
  9.8256999E-01    2.0413823E-02
  9.8302001E-01    1.6263904E-02
  9.8347998E-01    1.3424847E-02
  9.8392993E-01    1.2194685E-02
  9.8437995E-01    1.1509269E-02
  9.8484004E-01    1.0205265E-02
  9.8528999E-01    8.6028902E-03
  9.8574001E-01    7.3244381E-03
  9.8619998E-01    6.3601425E-03
  9.8664999E-01    5.4017063E-03
  9.8709995E-01    4.2527239E-03
  9.8755991E-01    3.6207549E-03
  9.8800993E-01    3.6965739E-03
  9.8845994E-01    4.2572212E-03
  9.8891997E-01    4.7081374E-03
  9.8936999E-01    4.5679477E-03
  9.8982996E-01    4.3325177E-03
  9.9027997E-01    3.7286233E-03
  9.9072993E-01    2.1864697E-03
  9.9119002E-01    4.7254231E-04
  9.9164003E-01    0.0000000E+00
  9.9208999E-01    1.1209016E-03
  9.9254996E-01    2.5058659E-03
  9.9299997E-01    2.9511040E-03
  9.9344999E-01    2.5657397E-03
  9.9390996E-01    1.9116475E-03
  9.9435991E-01    1.3544005E-03
  9.9480993E-01    1.0742472E-03
  9.9527001E-01    9.7605045E-04
  9.9571997E-01    1.0555423E-03
  9.9616998E-01    1.1345571E-03
  9.9662995E-01    1.3005662E-03
  9.9707997E-01    1.2060378E-03
  9.9754000E-01    7.7015342E-04
  9.9799001E-01    1.7002014E-04
  9.9844003E-01    0.0000000E+00
  9.9890000E-01    0.0000000E+00
  9.9934995E-01    0.0000000E+00
  9.9979997E-01    0.0000000E+00
