# wave[microns]    norm_trans
  3.4999999E-01    0.0000000E+00
  3.5099998E-01    0.0000000E+00
  3.5200000E-01    0.0000000E+00
  3.5299999E-01    0.0000000E+00
  3.5400000E-01    0.0000000E+00
  3.5499999E-01    0.0000000E+00
  3.5599998E-01    0.0000000E+00
  3.5699999E-01    0.0000000E+00
  3.5799998E-01    0.0000000E+00
  3.5900000E-01    0.0000000E+00
  3.5999998E-01    0.0000000E+00
  3.6100000E-01    0.0000000E+00
  3.6199999E-01    0.0000000E+00
  3.6300001E-01    0.0000000E+00
  3.6399999E-01    0.0000000E+00
  3.6499998E-01    0.0000000E+00
  3.6600000E-01    0.0000000E+00
  3.6699998E-01    0.0000000E+00
  3.6800000E-01    0.0000000E+00
  3.6899999E-01    0.0000000E+00
  3.7000000E-01    0.0000000E+00
  3.7099999E-01    2.3995051E-05
  3.7199998E-01    0.0000000E+00
  3.7300000E-01    0.0000000E+00
  3.7399998E-01    3.7464477E-05
  3.7500000E-01    6.3264131E-05
  3.7599999E-01    7.6908145E-05
  3.7700000E-01    4.5443299E-05
  3.7799999E-01    7.8900550E-05
  3.7899998E-01    1.1985259E-04
  3.8000000E-01    1.3484294E-04
  3.8099998E-01    3.4450946E-05
  3.8200000E-01    0.0000000E+00
  3.8299999E-01    3.6188765E-05
  3.8400000E-01    7.4397365E-05
  3.8499999E-01    1.1437236E-04
  3.8599998E-01    1.5622824E-04
  3.8699999E-01    1.9913986E-04
  3.8799998E-01    2.0299443E-04
  3.8900000E-01    1.2475738E-04
  3.8999999E-01    2.5549054E-04
  3.9100000E-01    6.0586323E-04
  3.9199999E-01    8.3536789E-04
  3.9299998E-01    1.4847810E-03
  3.9399999E-01    4.3268111E-03
  3.9499998E-01    1.0665120E-02
  3.9600000E-01    2.3443850E-02
  3.9699998E-01    4.7016401E-02
  3.9800000E-01    9.2639931E-02
  3.9899999E-01    1.7673934E-01
  3.9999998E-01    2.9570383E-01
  4.0099999E-01    4.1083303E-01
  4.0199998E-01    4.8479006E-01
  4.0300000E-01    5.1775187E-01
  4.0399998E-01    5.3086019E-01
  4.0500000E-01    5.3870261E-01
  4.0599999E-01    5.4501450E-01
  4.0699998E-01    5.5285949E-01
  4.0799999E-01    5.6367970E-01
  4.0899998E-01    5.7176054E-01
  4.1000000E-01    5.8124506E-01
  4.1099998E-01    5.8508807E-01
  4.1200000E-01    5.8952844E-01
  4.1299999E-01    5.9591341E-01
  4.1399997E-01    6.0352510E-01
  4.1499999E-01    6.1094582E-01
  4.1599998E-01    6.1857671E-01
  4.1700000E-01    6.2489891E-01
  4.1799998E-01    6.3083005E-01
  4.1900000E-01    6.3945317E-01
  4.1999999E-01    6.4726353E-01
