# wave[microns]    norm_trans
  1.2977000E+00    3.3822027E-05
  1.2982000E+00    3.3822027E-05
  1.2987000E+00    6.7644054E-05
  1.2992001E+00    6.7644054E-05
  1.2997000E+00    1.5214368E-04
  1.3002000E+00    1.1832164E-04
  1.3006999E+00    3.3822027E-05
  1.3012000E+00    3.3822027E-05
  1.3017000E+00    0.0000000E+00
  1.3022000E+00    0.0000000E+00
  1.3027000E+00    3.3822027E-05
  1.3032000E+00    6.7644054E-05
  1.3036000E+00    6.7644054E-05
  1.3041000E+00    1.0146609E-04
  1.3046000E+00    1.0146609E-04
  1.3051000E+00    1.0146609E-04
  1.3056000E+00    1.0146609E-04
  1.3061000E+00    1.0146609E-04
  1.3066000E+00    6.7644054E-05
  1.3071001E+00    3.3822027E-05
  1.3076000E+00    6.7644054E-05
  1.3081000E+00    3.3822027E-05
  1.3085999E+00    3.3822027E-05
  1.3091000E+00    6.7644054E-05
  1.3096000E+00    3.3822027E-05
  1.3101000E+00    6.7644054E-05
  1.3106000E+00    6.7644054E-05
  1.3111000E+00    6.7644054E-05
  1.3116000E+00    1.0146609E-04
  1.3121001E+00    1.0146609E-04
  1.3126000E+00    6.7644054E-05
  1.3131000E+00    3.3822027E-05
  1.3135999E+00    3.3822027E-05
  1.3141000E+00    0.0000000E+00
  1.3146000E+00    3.3822027E-05
  1.3151000E+00    3.3822027E-05
  1.3156000E+00    0.0000000E+00
  1.3161000E+00    3.3822027E-05
  1.3166000E+00    3.3822027E-05
  1.3171000E+00    6.7644054E-05
  1.3176000E+00    1.0146609E-04
  1.3181000E+00    6.7644054E-05
  1.3186001E+00    1.0146609E-04
  1.3191000E+00    1.0146609E-04
  1.3196000E+00    6.7644054E-05
  1.3200999E+00    6.7644054E-05
  1.3206000E+00    6.7644054E-05
  1.3211000E+00    6.7644054E-05
  1.3216000E+00    6.7644054E-05
  1.3221000E+00    1.0146609E-04
  1.3226000E+00    1.0146609E-04
  1.3231000E+00    6.7644054E-05
  1.3236001E+00    1.0146609E-04
  1.3241000E+00    1.0146609E-04
  1.3246000E+00    3.3822027E-05
  1.3250999E+00    0.0000000E+00
  1.3256000E+00    0.0000000E+00
  1.3261000E+00    0.0000000E+00
  1.3266000E+00    3.3822027E-05
  1.3271000E+00    1.1832164E-04
  1.3276000E+00    3.3822027E-05
  1.3281000E+00    3.3822027E-05
  1.3286000E+00    0.0000000E+00
  1.3291000E+00    3.3822027E-05
  1.3296000E+00    3.3822027E-05
  1.3301001E+00    3.3822027E-05
  1.3306000E+00    6.7644054E-05
  1.3311000E+00    3.3822027E-05
  1.3316000E+00    6.7644054E-05
  1.3321000E+00    1.1832164E-04
  1.3326000E+00    6.7644054E-05
  1.3331000E+00    6.7644054E-05
  1.3336000E+00    3.3822027E-05
  1.3341000E+00    0.0000000E+00
  1.3346000E+00    0.0000000E+00
  1.3351001E+00    1.1089189E-07
  1.3356000E+00    3.3932920E-05
  1.3361000E+00    1.1843254E-04
  1.3365999E+00    1.8607661E-04
  1.3371000E+00    1.8607661E-04
  1.3376000E+00    1.5225456E-04
  1.3381000E+00    1.5225456E-04
  1.3386000E+00    1.1843254E-04
  1.3391000E+00    1.1843254E-04
  1.3396000E+00    1.1843254E-04
  1.3401000E+00    1.1843254E-04
  1.3406000E+00    1.1843254E-04
  1.3411000E+00    1.1843254E-04
  1.3415999E+00    1.6911014E-04
