# wave[microns]    norm_trans
  2.8189974E+00    8.5320882E-02
  2.8205948E+00    4.5266397E-02
  2.8221924E+00    2.0399880E-02
  2.8237901E+00    3.5977967E-02
  2.8253875E+00    3.9975513E-02
  2.8269849E+00    4.1224752E-02
  2.8285823E+00    4.5840643E-02
  2.8301799E+00    5.8749437E-02
  2.8317776E+00    1.1323537E-02
  2.8333750E+00    3.5792027E-02
  2.8349724E+00    5.5175323E-02
  2.8365698E+00    3.2045152E-02
  2.8381674E+00    2.2511814E-02
  2.8397651E+00    2.5615383E-02
  2.8413625E+00    2.5782248E-02
  2.8429599E+00    3.6087316E-02
  2.8445573E+00    0.0000000E+00
  2.8461549E+00    5.1444806E-02
  2.8477526E+00    3.5750458E-03
  2.8493500E+00    3.8287897E-02
  2.8509474E+00    2.8817302E-02
  2.8525448E+00    2.4047775E-02
  2.8541424E+00    2.4890408E-02
  2.8557401E+00    4.8633806E-02
  2.8573375E+00    1.0553536E-02
  2.8589349E+00    7.7905040E-03
  2.8605323E+00    9.2900833E-03
  2.8621299E+00    6.5849843E-03
  2.8637276E+00    1.9572587E-03
  2.8653250E+00    1.4476733E-02
  2.8669224E+00    0.0000000E+00
  2.8685198E+00    1.2495730E-02
  2.8701174E+00    3.0894422E-03
  2.8717151E+00    1.6286323E-02
  2.8733125E+00    5.5254120E-03
  2.8749099E+00    6.3361768E-03
  2.8765073E+00    0.0000000E+00
  2.8781049E+00    1.2318431E-02
  2.8797026E+00    0.0000000E+00
  2.8813000E+00    6.9535719E-03
  2.8828974E+00    8.9436746E-04
  2.8844948E+00    6.2436406E-03
  2.8860924E+00    0.0000000E+00
  2.8876901E+00    3.2058132E-03
  2.8892875E+00    0.0000000E+00
  2.8908849E+00    1.0237632E-02
  2.8924823E+00    1.8046402E-03
  2.8940799E+00    3.0228966E-03
  2.8956776E+00    0.0000000E+00
  2.8972750E+00    5.4670209E-03
  2.8988724E+00    0.0000000E+00
  2.9004698E+00    7.7569112E-03
  2.9020674E+00    3.5959289E-03
  2.9036651E+00    6.7517702E-03
  2.9052625E+00    1.3646816E-03
  2.9068599E+00    4.3617659E-03
  2.9084573E+00    8.7479583E-04
  2.9100549E+00    7.6771607E-03
  2.9116526E+00    3.6848937E-03
  2.9132500E+00    6.0531902E-03
  2.9148474E+00    1.5406620E-03
  2.9164448E+00    6.4865001E-03
  2.9180424E+00    1.8883363E-03
  2.9196401E+00    4.8484858E-03
  2.9212375E+00    2.3259334E-03
  2.9228349E+00    7.2416752E-03
  2.9244323E+00    3.8028019E-04
  2.9260299E+00    7.6068742E-03
  2.9276276E+00    1.8905011E-03
  2.9292250E+00    7.8768926E-03
  2.9308224E+00    4.6513416E-03
  2.9324198E+00    8.4268944E-03
  2.9340174E+00    2.5467027E-03
  2.9356151E+00    8.0415187E-03
  2.9372125E+00    6.9048619E-03
  2.9388099E+00    1.1491220E-02
  2.9404073E+00    5.5537140E-03
  2.9420049E+00    1.0457921E-02
  2.9436026E+00    8.9473138E-03
  2.9452000E+00    8.4440568E-03
  2.9467974E+00    6.5396461E-03
  2.9483948E+00    1.1140526E-02
  2.9499924E+00    7.1327975E-03
  2.9515901E+00    1.3171962E-02
  2.9531875E+00    8.5839182E-03
  2.9547849E+00    1.1735143E-02
  2.9563823E+00    9.1557577E-03
  2.9579799E+00    1.3807337E-02
  2.9595776E+00    1.3572705E-02
  2.9611750E+00    1.4726589E-02
  2.9627724E+00    1.6552456E-02
  2.9643698E+00    1.6922805E-02
  2.9659674E+00    1.0973671E-02
  2.9675651E+00    1.9394061E-02
  2.9691625E+00    1.3587915E-02
  2.9707599E+00    1.9975891E-02
  2.9723573E+00    1.8322112E-02
  2.9739549E+00    2.2224654E-02
  2.9755526E+00    2.1713531E-02
  2.9771500E+00    2.3702715E-02
  2.9787474E+00    2.3295335E-02
  2.9803448E+00    2.9671080E-02
