# wave[microns]    norm_trans
  3.9992001E+00    0.0000000E+00
  4.0002999E+00    0.0000000E+00
  4.0014000E+00    0.0000000E+00
  4.0025001E+00    0.0000000E+00
  4.0036001E+00    0.0000000E+00
  4.0047998E+00    0.0000000E+00
  4.0058999E+00    0.0000000E+00
  4.0070000E+00    4.2756749E-04
  4.0081000E+00    1.5998953E-03
  4.0093002E+00    1.6491888E-03
  4.0103998E+00    1.6513320E-03
  4.0114999E+00    2.8247314E-03
  4.0125999E+00    8.0584147E-04
  4.0138001E+00    1.0833852E-03
  4.0149002E+00    5.4297852E-03
  4.0159998E+00    0.0000000E+00
  4.0172000E+00    0.0000000E+00
  4.0183001E+00    0.0000000E+00
  4.0194001E+00    1.0298054E-03
  4.0205998E+00    9.0335682E-04
  4.0216999E+00    1.6824083E-04
  4.0228000E+00    7.8976754E-04
  4.0240002E+00    1.5998953E-03
  4.0251002E+00    1.4391557E-03
  4.0261998E+00    0.0000000E+00
  4.0274000E+00    0.0000000E+00
  4.0285001E+00    0.0000000E+00
  4.0296001E+00    9.3443319E-04
  4.0307999E+00    4.7664666E-03
  4.0318999E+00    5.7576941E-03
  4.0330000E+00    5.1565282E-03
  4.0342002E+00    3.5223416E-03
  4.0352998E+00    1.7681363E-03
  4.0365000E+00    1.7542054E-03
  4.0376000E+00    4.2263814E-03
  4.0387001E+00    2.0467516E-03
  4.0398998E+00    0.0000000E+00
  4.0409999E+00    0.0000000E+00
  4.0422001E+00    0.0000000E+00
  4.0433002E+00    0.0000000E+00
  4.0444999E+00    0.0000000E+00
  4.0455999E+00    0.0000000E+00
  4.0468001E+00    0.0000000E+00
  4.0479002E+00    7.1904209E-04
  4.0489998E+00    7.2011363E-04
  4.0502000E+00    2.4818203E-03
  4.0513000E+00    1.9974581E-03
  4.0524998E+00    0.0000000E+00
  4.0535998E+00    0.0000000E+00
  4.0548000E+00    0.0000000E+00
  4.0559001E+00    0.0000000E+00
  4.0570998E+00    2.2128492E-03
  4.0583000E+00    5.0257932E-04
  4.0594001E+00    0.0000000E+00
  4.0605998E+00    7.0189650E-04
  4.0616999E+00    1.4573729E-04
  4.0629001E+00    0.0000000E+00
  4.0640001E+00    0.0000000E+00
  4.0651999E+00    0.0000000E+00
  4.0662999E+00    0.0000000E+00
  4.0675001E+00    0.0000000E+00
  4.0686998E+00    0.0000000E+00
  4.0697999E+00    4.3506868E-04
  4.0710001E+00    3.0561965E-03
  4.0721002E+00    5.8777132E-03
  4.0732999E+00    2.4753907E-03
  4.0745001E+00    9.1943081E-04
  4.0756001E+00    4.4578465E-04
  4.0767999E+00    0.0000000E+00
  4.0780001E+00    0.0000000E+00
  4.0791001E+00    1.4455853E-03
  4.0802999E+00    2.4989657E-03
  4.0813999E+00    6.2795624E-04
  4.0826001E+00    0.0000000E+00
  4.0837998E+00    0.0000000E+00
  4.0848999E+00    0.0000000E+00
  4.0861001E+00    1.6427593E-03
  4.0872998E+00    6.4735217E-03
  4.0885000E+00    4.8061158E-03
  4.0896001E+00    3.7098711E-03
  4.0907998E+00    3.8556086E-03
  4.0920000E+00    6.6910563E-03
  4.0931001E+00    5.9548686E-03
  4.0942998E+00    3.4366136E-03
  4.0955000E+00    0.0000000E+00
  4.0967002E+00    0.0000000E+00
  4.0977998E+00    0.0000000E+00
  4.0990000E+00    0.0000000E+00
  4.1002002E+00    0.0000000E+00
  4.1013999E+00    0.0000000E+00
  4.1025000E+00    0.0000000E+00
  4.1037002E+00    8.7013736E-04
  4.1048999E+00    0.0000000E+00
  4.1061001E+00    0.0000000E+00
  4.1072998E+00    0.0000000E+00
  4.1083999E+00    0.0000000E+00
  4.1096001E+00    0.0000000E+00
  4.1107998E+00    0.0000000E+00
  4.1120000E+00    2.9833280E-03
  4.1132002E+00    5.8316346E-03
  4.1143999E+00    6.2892069E-03
  4.1156001E+00    1.1155332E-03
