# wave[microns]    norm_trans
  2.0604954E+00    3.4329935E-03
  2.0612986E+00    3.4752022E-03
  2.0621018E+00    3.6440382E-03
  2.0629053E+00    3.8691526E-03
  2.0637085E+00    4.0801968E-03
  2.0645118E+00    4.1646152E-03
  2.0653152E+00    4.2068241E-03
  2.0661185E+00    4.2208936E-03
  2.0669217E+00    4.6148440E-03
  2.0677252E+00    4.6992614E-03
  2.0685282E+00    4.7133313E-03
  2.0693319E+00    4.7836793E-03
  2.0701351E+00    4.9665845E-03
  2.0709383E+00    5.4168133E-03
  2.0717418E+00    5.5856495E-03
  2.0725448E+00    5.7263458E-03
  2.0733483E+00    5.9233205E-03
  2.0741515E+00    6.2047136E-03
  2.0749547E+00    6.5283151E-03
  2.0757582E+00    6.8659871E-03
  2.0765615E+00    7.3021459E-03
  2.0773647E+00    7.5976090E-03
  2.0781682E+00    7.9212105E-03
  2.0789714E+00    8.1885336E-03
  2.0797749E+00    8.6106230E-03
  2.0805781E+00    8.9342250E-03
  2.0813813E+00    9.4407322E-03
  2.0821848E+00    9.9894479E-03
  2.0829880E+00    1.0510025E-02
  2.0837913E+00    1.0889906E-02
  2.0845947E+00    1.1241647E-02
  2.0853980E+00    1.1734084E-02
  2.0862014E+00    1.2339079E-02
  2.0870047E+00    1.2958144E-02
  2.0878077E+00    1.3436511E-02
  2.0886111E+00    1.3985228E-02
  2.0894146E+00    1.4562082E-02
  2.0902178E+00    1.5321843E-02
  2.0910213E+00    1.5912769E-02
  2.0918243E+00    1.6588112E-02
  2.0926278E+00    1.7347874E-02
  2.0934310E+00    1.8445306E-02
  2.0942342E+00    1.9331692E-02
  2.0950377E+00    2.0344706E-02
  2.0958409E+00    2.1751672E-02
  2.0966444E+00    2.3074219E-02
  2.0974476E+00    2.4551531E-02
  2.0982509E+00    2.6239889E-02
  2.0990543E+00    2.8209640E-02
  2.0998576E+00    3.0812524E-02
  2.1006608E+00    3.4161098E-02
  2.1014643E+00    3.8114671E-02
  2.1022675E+00    4.3010905E-02
  2.1030707E+00    4.9525153E-02
  2.1038742E+00    5.8121707E-02
  2.1046774E+00    6.9954276E-02
  2.1054809E+00    8.6148441E-02
  2.1062841E+00    1.0833627E-01
  2.1070871E+00    1.3917693E-01
  2.1078906E+00    1.8182203E-01
  2.1086938E+00    2.3869154E-01
  2.1094973E+00    3.1122056E-01
  2.1103008E+00    3.9811468E-01
  2.1111038E+00    4.9746042E-01
  2.1119072E+00    6.0080200E-01
  2.1127105E+00    6.9926137E-01
  2.1135137E+00    7.8732330E-01
  2.1143172E+00    8.6092156E-01
  2.1151204E+00    9.1524452E-01
  2.1159239E+00    9.5069999E-01
  2.1167271E+00    9.7167778E-01
  2.1175303E+00    9.8628211E-01
  2.1183338E+00    9.9559623E-01
  2.1191370E+00    1.0000000E+00
  2.1199403E+00    9.9971867E-01
  2.1207438E+00    9.9793184E-01
  2.1215470E+00    9.9486458E-01
  2.1223505E+00    9.8903978E-01
  2.1231534E+00    9.8120296E-01
  2.1239569E+00    9.7451991E-01
  2.1247604E+00    9.7086179E-01
  2.1255636E+00    9.6759772E-01
  2.1263669E+00    9.6049243E-01
  2.1271701E+00    9.4605696E-01
  2.1279733E+00    9.1895890E-01
  2.1287768E+00    8.7117833E-01
  2.1295800E+00    7.9787552E-01
  2.1303835E+00    7.0359480E-01
  2.1311867E+00    5.9618717E-01
  2.1319900E+00    4.8472741E-01
  2.1327932E+00    3.7775591E-01
  2.1335967E+00    2.8638762E-01
  2.1343999E+00    2.1411186E-01
  2.1352034E+00    1.5992965E-01
  2.1360066E+00    1.2143511E-01
  2.1368098E+00    9.4491743E-02
  2.1376133E+00    7.5722829E-02
  2.1384165E+00    6.2328525E-02
  2.1392198E+00    5.2915934E-02
  2.1400232E+00    4.5754489E-02
  2.1408265E+00    4.0351745E-02
  2.1416299E+00    3.6243405E-02
  2.1424329E+00    3.3288781E-02
  2.1432362E+00    3.0699965E-02
  2.1440399E+00    2.8308127E-02
  2.1448431E+00    2.6422795E-02
  2.1456463E+00    2.4945481E-02
  2.1464496E+00    2.3791770E-02
  2.1472528E+00    2.2708407E-02
  2.1480563E+00    2.1428069E-02
  2.1488595E+00    2.0358777E-02
  2.1496627E+00    1.9416111E-02
  2.1504662E+00    1.8543793E-02
  2.1512694E+00    1.7615195E-02
  2.1520729E+00    1.6799157E-02
  2.1528761E+00    1.6208231E-02
  2.1536794E+00    1.5800212E-02
  2.1544828E+00    1.5124870E-02
  2.1552861E+00    1.4477666E-02
  2.1560893E+00    1.3900809E-02
  2.1568928E+00    1.3450581E-02
  2.1576960E+00    1.2901865E-02
  2.1584992E+00    1.2381288E-02
  2.1593027E+00    1.1804433E-02
  2.1601059E+00    1.1269785E-02
  2.1609094E+00    1.0861767E-02
  2.1617126E+00    1.0144214E-02
  2.1625159E+00    9.8909605E-03
  2.1633191E+00    9.6939858E-03
  2.1641226E+00    9.2015481E-03
  2.1649258E+00    8.8498071E-03
  2.1657293E+00    8.5965535E-03
  2.1665323E+00    8.2729515E-03
  2.1673357E+00    7.8930706E-03
  2.1681390E+00    7.4850512E-03
  2.1689422E+00    7.0488923E-03
  2.1697457E+00    6.8800566E-03
  2.1705489E+00    6.5564546E-03
  2.1713524E+00    6.3172709E-03
  2.1721556E+00    6.0499478E-03
  2.1729589E+00    5.7544853E-03
  2.1737623E+00    5.4308833E-03
  2.1745656E+00    5.2339081E-03
  2.1753688E+00    5.2057686E-03
  2.1761723E+00    5.0369333E-03
  2.1769755E+00    4.8258882E-03
  2.1777790E+00    4.7977488E-03
  2.1785822E+00    4.6429830E-03
  2.1793296E+00    1.2944074E-03
  2.1793854E+00    4.4600777E-03
