# wave[microns]    norm_trans
  1.1000000E+00    1.4658107E-03
  1.1002500E+00    1.4342949E-03
  1.1005001E+00    1.4692135E-03
  1.1007501E+00    1.5022632E-03
  1.1010001E+00    1.3995500E-03
  1.1012501E+00    1.4478829E-03
  1.1015000E+00    1.3726127E-03
  1.1017500E+00    1.4653251E-03
  1.1020000E+00    1.4478271E-03
  1.1022501E+00    1.4579376E-03
  1.1025001E+00    1.3880450E-03
  1.1027501E+00    1.3693104E-03
  1.1030000E+00    1.4046557E-03
  1.1032500E+00    1.3357005E-03
  1.1035000E+00    1.3962323E-03
  1.1037501E+00    1.4531168E-03
  1.1040001E+00    1.4726120E-03
  1.1042501E+00    1.5012061E-03
  1.1045001E+00    1.4761415E-03
  1.1047500E+00    1.4802257E-03
  1.1050000E+00    1.4325222E-03
  1.1052500E+00    1.3912609E-03
  1.1055001E+00    1.4508041E-03
  1.1057501E+00    1.4395502E-03
  1.1060001E+00    1.5037269E-03
  1.1062500E+00    1.4583482E-03
  1.1065000E+00    1.3850811E-03
  1.1067500E+00    1.4461003E-03
  1.1070000E+00    1.4337706E-03
  1.1072501E+00    1.3778443E-03
  1.1075001E+00    1.5127637E-03
  1.1077501E+00    1.4967798E-03
  1.1080000E+00    1.4073423E-03
  1.1082500E+00    1.4647802E-03
  1.1085000E+00    1.5699901E-03
  1.1087501E+00    1.5356329E-03
  1.1090001E+00    1.4538246E-03
  1.1092501E+00    1.5173302E-03
  1.1095001E+00    1.4869360E-03
  1.1097500E+00    1.4718813E-03
  1.1100000E+00    1.4822698E-03
  1.1102500E+00    1.4514960E-03
  1.1105001E+00    1.4454410E-03
  1.1107501E+00    1.4290368E-03
  1.1110001E+00    1.4921681E-03
  1.1112500E+00    1.5296425E-03
  1.1115000E+00    1.4132056E-03
  1.1117500E+00    1.4260794E-03
  1.1120001E+00    1.3909655E-03
  1.1122501E+00    1.5001548E-03
  1.1125001E+00    1.5151937E-03
  1.1127501E+00    1.4943576E-03
  1.1130000E+00    1.4260607E-03
  1.1132500E+00    1.4139359E-03
  1.1135000E+00    1.4987929E-03
  1.1137501E+00    1.4587624E-03
  1.1140001E+00    1.4728550E-03
  1.1142501E+00    1.4600299E-03
  1.1145000E+00    1.4383869E-03
  1.1147500E+00    1.4854750E-03
  1.1150000E+00    1.5367871E-03
  1.1152501E+00    1.5788244E-03
  1.1155001E+00    1.5235703E-03
  1.1157501E+00    1.5001382E-03
  1.1160001E+00    1.5549968E-03
  1.1162500E+00    1.5035755E-03
  1.1165000E+00    1.5443449E-03
  1.1167500E+00    1.5446852E-03
  1.1170001E+00    1.5132496E-03
  1.1172501E+00    1.4762272E-03
  1.1175001E+00    1.5247172E-03
  1.1177500E+00    1.5862647E-03
  1.1180000E+00    1.5639602E-03
  1.1182500E+00    1.5545241E-03
  1.1185000E+00    1.4894451E-03
  1.1187501E+00    1.5373023E-03
  1.1190001E+00    1.5618874E-03
  1.1192501E+00    1.6289067E-03
  1.1195000E+00    1.5172001E-03
  1.1197500E+00    1.5668741E-03
  1.1200000E+00    1.6450286E-03
  1.1202501E+00    1.5302838E-03
  1.1205001E+00    1.5630163E-03
  1.1207501E+00    1.5150385E-03
  1.1210001E+00    1.5473620E-03
  1.1212500E+00    1.5349482E-03
  1.1215000E+00    1.5284086E-03
  1.1217500E+00    1.5307857E-03
  1.1220001E+00    1.4970069E-03
  1.1222501E+00    1.6302500E-03
  1.1225001E+00    1.6563772E-03
  1.1227500E+00    1.6264369E-03
  1.1230000E+00    1.5903210E-03
  1.1232500E+00    1.5400073E-03
  1.1235001E+00    1.6273737E-03
  1.1237501E+00    1.6113097E-03
  1.1240001E+00    1.6006365E-03
  1.1242501E+00    1.5718325E-03
  1.1245000E+00    1.6715198E-03
