# wave[microns]    norm_trans
  1.9000001E+00    3.8690484E-04
  1.9002000E+00    4.6552342E-04
  1.9004002E+00    3.5254142E-04
  1.9006001E+00    6.4730184E-04
  1.9008001E+00    5.0950324E-04
  1.9010001E+00    3.4872015E-04
  1.9012001E+00    4.1465054E-04
  1.9014001E+00    4.8212090E-04
  1.9016001E+00    6.0145353E-04
  1.9018002E+00    3.9969030E-04
  1.9020001E+00    3.6745737E-04
  1.9022000E+00    4.1711272E-04
  1.9024001E+00    4.5434767E-04
  1.9026000E+00    4.5309603E-04
  1.9028001E+00    4.7287578E-04
  1.9030001E+00    5.0765421E-04
  1.9032000E+00    4.1189973E-04
  1.9034001E+00    5.0339487E-04
  1.9036001E+00    5.1461707E-04
  1.9038001E+00    5.2441814E-04
  1.9040000E+00    4.6450165E-04
  1.9042001E+00    4.4171143E-04
  1.9044001E+00    5.4838753E-04
  1.9046000E+00    4.6433165E-04
  1.9048002E+00    5.6179462E-04
  1.9050001E+00    4.8990868E-04
  1.9052000E+00    5.1520509E-04
  1.9054002E+00    5.4749119E-04
  1.9056001E+00    5.4251013E-04
  1.9058001E+00    5.6039711E-04
  1.9060001E+00    5.4106768E-04
  1.9062001E+00    5.4726488E-04
  1.9064001E+00    5.5567891E-04
  1.9066001E+00    5.8355165E-04
  1.9068002E+00    5.0623255E-04
  1.9070001E+00    5.4886378E-04
  1.9072001E+00    5.2236358E-04
  1.9074001E+00    5.4489245E-04
  1.9076000E+00    5.2412314E-04
  1.9078002E+00    6.8699446E-04
  1.9080001E+00    4.4589653E-04
  1.9082000E+00    5.9514906E-04
  1.9084001E+00    5.2281580E-04
  1.9086001E+00    5.6464091E-04
  1.9088001E+00    5.4194208E-04
  1.9090000E+00    6.1340019E-04
  1.9092001E+00    6.2210194E-04
  1.9094001E+00    6.2041933E-04
  1.9096000E+00    6.9466757E-04
  1.9098002E+00    6.4589985E-04
  1.9100001E+00    3.4128962E-04
  1.9102000E+00    7.9537684E-04
  1.9104002E+00    6.8693026E-04
  1.9106001E+00    5.9653062E-04
  1.9108001E+00    5.9836108E-04
  1.9110001E+00    6.6432066E-04
  1.9112000E+00    5.8654352E-04
  1.9114001E+00    6.7428173E-04
  1.9116001E+00    7.3010277E-04
  1.9118001E+00    7.5789564E-04
  1.9120001E+00    5.7608640E-04
  1.9122001E+00    6.8917975E-04
  1.9124001E+00    6.6354300E-04
  1.9126000E+00    7.5846864E-04
  1.9128002E+00    6.6167495E-04
  1.9130001E+00    6.1019859E-04
  1.9132000E+00    8.4065064E-04
  1.9134002E+00    7.2619342E-04
  1.9136001E+00    6.9998967E-04
  1.9138001E+00    8.6345739E-04
  1.9140000E+00    7.3560263E-04
  1.9142001E+00    7.1337289E-04
  1.9144001E+00    8.3667989E-04
  1.9146000E+00    8.1292755E-04
  1.9148002E+00    8.1080454E-04
  1.9150001E+00    8.7006472E-04
  1.9152000E+00    8.1289309E-04
  1.9154001E+00    8.5200631E-04
  1.9156001E+00    8.2142081E-04
  1.9158001E+00    8.5328892E-04
  1.9160001E+00    8.4471097E-04
  1.9162000E+00    8.9975679E-04
  1.9164001E+00    9.2360197E-04
  1.9166001E+00    7.7271363E-04
  1.9168001E+00    8.4057933E-04
  1.9170001E+00    8.2281110E-04
  1.9172001E+00    9.0372335E-04
  1.9174001E+00    9.7403507E-04
  1.9176000E+00    9.2268048E-04
  1.9178002E+00    7.9993077E-04
  1.9180001E+00    9.3659270E-04
  1.9182000E+00    9.6164999E-04
  1.9184002E+00    9.0021925E-04
  1.9186001E+00    9.2368887E-04
  1.9188001E+00    1.0320498E-03
  1.9190001E+00    8.6889853E-04
  1.9192001E+00    9.1975072E-04
  1.9194001E+00    9.8648283E-04
  1.9196000E+00    9.0629986E-04
  1.9198002E+00    1.0899525E-03
  1.9200001E+00    9.6937199E-04
  1.9202000E+00    1.1094686E-03
  1.9204001E+00    1.0857431E-03
  1.9206001E+00    1.1690327E-03
  1.9208001E+00    9.3301485E-04
  1.9210001E+00    1.1322546E-03
  1.9212000E+00    1.1262030E-03
  1.9214001E+00    1.1168334E-03
  1.9216001E+00    1.1265792E-03
  1.9218001E+00    1.1403611E-03
  1.9220001E+00    1.1830289E-03
  1.9222001E+00    1.0996795E-03
  1.9224001E+00    1.0879132E-03
  1.9226000E+00    1.0587336E-03
  1.9228002E+00    1.3008823E-03
  1.9230001E+00    1.2351488E-03
  1.9232000E+00    1.2614998E-03
  1.9234002E+00    1.2829828E-03
  1.9236001E+00    1.2331717E-03
  1.9238001E+00    1.2943461E-03
  1.9240001E+00    1.2905026E-03
  1.9242001E+00    1.1879351E-03
  1.9244001E+00    1.3867663E-03
  1.9246001E+00    1.2852304E-03
  1.9248002E+00    1.3640282E-03
  1.9250001E+00    1.4241308E-03
  1.9252000E+00    1.2288559E-03
  1.9254001E+00    1.3498224E-03
  1.9256001E+00    1.3957411E-03
  1.9258001E+00    1.4924504E-03
  1.9260001E+00    1.3014962E-03
  1.9262000E+00    1.3498366E-03
  1.9264001E+00    1.4135179E-03
  1.9266001E+00    1.5245712E-03
  1.9268001E+00    1.5426946E-03
  1.9270000E+00    1.4836018E-03
  1.9272001E+00    1.5696052E-03
  1.9274001E+00    1.4350158E-03
  1.9276000E+00    1.6118210E-03
  1.9278002E+00    1.5549142E-03
  1.9280001E+00    1.5541582E-03
  1.9282000E+00    1.6733486E-03
  1.9284002E+00    1.6219020E-03
  1.9286001E+00    1.6441073E-03
  1.9288001E+00    1.5857917E-03
  1.9290001E+00    1.6021413E-03
  1.9292001E+00    1.7508236E-03
  1.9294001E+00    1.5531230E-03
  1.9296001E+00    1.7296998E-03
  1.9298002E+00    1.8746824E-03
  1.9300001E+00    1.7616465E-03
  1.9302001E+00    1.6715501E-03
  1.9304001E+00    1.7986273E-03
  1.9306000E+00    1.7992397E-03
  1.9308002E+00    1.8554482E-03
  1.9310001E+00    1.8539686E-03
  1.9312000E+00    1.9375578E-03
  1.9314001E+00    1.8916439E-03
  1.9316001E+00    1.9107601E-03
  1.9318001E+00    1.9106849E-03
  1.9320000E+00    2.0701047E-03
  1.9322001E+00    1.9797592E-03
  1.9324001E+00    2.0546389E-03
  1.9326000E+00    2.0690488E-03
  1.9328002E+00    2.0276369E-03
  1.9330001E+00    2.1829582E-03
  1.9332000E+00    2.2364559E-03
  1.9334002E+00    2.0403836E-03
  1.9336001E+00    2.1593659E-03
  1.9338001E+00    2.1947664E-03
  1.9340001E+00    2.2139119E-03
  1.9342000E+00    2.3004459E-03
  1.9344001E+00    2.1994428E-03
  1.9346001E+00    2.2722685E-03
  1.9348001E+00    2.1817395E-03
  1.9350001E+00    2.3733852E-03
  1.9352001E+00    2.4854676E-03
  1.9354001E+00    2.4303673E-03
  1.9356000E+00    2.5869622E-03
  1.9358002E+00    2.6665479E-03
  1.9360001E+00    2.3917714E-03
  1.9362000E+00    2.4437015E-03
  1.9364002E+00    2.6381377E-03
  1.9366001E+00    2.6406201E-03
  1.9368001E+00    2.7347514E-03
  1.9370000E+00    2.7688358E-03
  1.9372001E+00    2.6349435E-03
  1.9374001E+00    2.7485271E-03
  1.9376000E+00    2.7998935E-03
  1.9378002E+00    2.7551255E-03
  1.9380001E+00    2.8235004E-03
  1.9382000E+00    3.0303455E-03
  1.9384001E+00    3.0092807E-03
  1.9386001E+00    3.0001714E-03
  1.9388001E+00    3.0925032E-03
