# wave[microns]    norm_trans
  2.2649200E+00    1.2418923E-04
  2.2651203E+00    2.5431525E-06
  2.2653201E+00    4.9159622E-05
  2.2655201E+00    7.6105331E-05
  2.2657201E+00    1.1985015E-04
  2.2659199E+00    1.4007490E-04
  2.2661202E+00    1.6262851E-05
  2.2663202E+00    2.7426446E-05
  2.2665200E+00    7.9964208E-05
  2.2667201E+00    0.0000000E+00
  2.2669201E+00    1.4698194E-04
  2.2671201E+00    7.1854527E-05
  2.2673202E+00    7.2324103E-05
  2.2675202E+00    1.1805668E-04
  2.2677200E+00    1.4540426E-04
  2.2679200E+00    9.2692710E-05
  2.2681203E+00    9.7811317E-05
  2.2683201E+00    6.6787041E-05
  2.2685201E+00    1.3103346E-04
  2.2687201E+00    8.3863015E-05
  2.2689199E+00    2.3947632E-05
  2.2691202E+00    3.0197945E-05
  2.2693202E+00    1.2832836E-04
  2.2695200E+00    6.7844958E-05
  2.2697201E+00    1.0734781E-04
  2.2699201E+00    1.0104033E-04
  2.2701201E+00    1.2685856E-04
  2.2703202E+00    1.1240021E-04
  2.2705202E+00    6.7797198E-05
  2.2707200E+00    9.7033968E-05
  2.2709200E+00    7.6176126E-05
  2.2711203E+00    5.8241701E-05
  2.2713201E+00    9.3214418E-05
  2.2715201E+00    9.9822297E-05
  2.2717202E+00    1.1828323E-04
  2.2719200E+00    1.2754399E-04
  2.2721202E+00    1.2550101E-04
  2.2723203E+00    1.6878551E-04
  2.2725201E+00    1.9344834E-04
  2.2727201E+00    1.1419111E-04
  2.2729201E+00    2.2952254E-04
  2.2731202E+00    1.6907076E-04
  2.2733202E+00    1.1504637E-04
  2.2735202E+00    1.5179976E-04
  2.2737200E+00    1.9097404E-04
  2.2739201E+00    2.3036210E-04
  2.2741203E+00    9.2883151E-05
  2.2743201E+00    2.3038928E-04
  2.2745202E+00    1.6883230E-04
  2.2747202E+00    2.3207140E-04
  2.2749200E+00    2.2217610E-04
  2.2751203E+00    2.2887469E-04
  2.2753203E+00    2.3046383E-04
  2.2755201E+00    2.4157589E-04
  2.2757201E+00    2.3416312E-04
  2.2759199E+00    2.7521269E-04
  2.2761202E+00    2.8149120E-04
  2.2763202E+00    2.2768138E-04
  2.2765200E+00    3.2411263E-04
  2.2767200E+00    2.9653526E-04
  2.2769201E+00    3.1945607E-04
  2.2771201E+00    3.5024859E-04
  2.2773201E+00    2.6973087E-04
  2.2775202E+00    3.6376747E-04
  2.2777200E+00    3.6230541E-04
  2.2779200E+00    4.7159317E-04
  2.2781203E+00    3.9650878E-04
  2.2783201E+00    4.7048906E-04
  2.2785201E+00    5.0273049E-04
  2.2787201E+00    4.7906031E-04
  2.2789199E+00    4.7328326E-04
  2.2791202E+00    5.6543614E-04
  2.2793202E+00    5.6626549E-04
  2.2795200E+00    5.2974047E-04
  2.2797201E+00    6.2585267E-04
  2.2799201E+00    6.9176854E-04
  2.2801201E+00    6.6542818E-04
  2.2803202E+00    7.3735346E-04
  2.2805202E+00    7.7977736E-04
  2.2807200E+00    8.1328716E-04
  2.2809200E+00    8.6880539E-04
  2.2811203E+00    8.6255645E-04
  2.2813201E+00    9.2882058E-04
  2.2815201E+00    9.6741546E-04
  2.2817202E+00    1.0064931E-03
  2.2819200E+00    1.0062550E-03
  2.2821202E+00    1.1049106E-03
  2.2823203E+00    1.2403466E-03
  2.2825201E+00    1.2913893E-03
  2.2827201E+00    1.3721775E-03
  2.2829201E+00    1.4133244E-03
  2.2831202E+00    1.5610767E-03
  2.2833202E+00    1.5520264E-03
  2.2835202E+00    1.6074947E-03
