# wave[microns]    norm_trans
  8.9999998E-01    4.9808325E-05
  9.0050000E-01    5.1341711E-05
  9.0099996E-01    5.1318530E-05
  9.0149999E-01    5.1294934E-05
  9.0199995E-01    5.4378677E-05
  9.0249997E-01    4.9699243E-05
  9.0300000E-01    4.9680613E-05
  9.0349996E-01    5.2765805E-05
  9.0399998E-01    5.1194336E-05
  9.0449995E-01    5.4149747E-05
  9.0499997E-01    5.2459873E-05
  9.0549999E-01    4.9239930E-05
  9.0599996E-01    5.0640636E-05
  9.0649998E-01    4.9062746E-05
  9.0700001E-01    5.2082945E-05
  9.0749997E-01    5.3567066E-05
  9.0799999E-01    5.0461174E-05
  9.0849996E-01    5.1913212E-05
  9.0899998E-01    5.3360698E-05
  9.0950000E-01    5.3281212E-05
  9.0999997E-01    5.4722073E-05
  9.1049999E-01    5.1625702E-05
  9.1099995E-01    4.8535956E-05
  9.1149998E-01    5.6058612E-05
  9.1200000E-01    5.2970314E-05
  9.1249996E-01    5.2902626E-05
  9.1299999E-01    5.4344317E-05
  9.1349995E-01    5.2766842E-05
  9.1399997E-01    4.9687442E-05
  9.1450000E-01    4.9632799E-05
  9.1499996E-01    5.4084958E-05
  9.1549999E-01    5.2524250E-05
  9.1599995E-01    5.0967057E-05
  9.1649997E-01    5.0838105E-05
  9.1700000E-01    5.5183868E-05
  9.1749996E-01    5.2068659E-05
  9.1799998E-01    5.3420517E-05
  9.1850001E-01    5.3382228E-05
  9.1899997E-01    5.1862295E-05
  9.1949999E-01    5.1824827E-05
  9.1999996E-01    5.3266929E-05
  9.2049998E-01    5.4657492E-05
  9.2100000E-01    5.4568281E-05
  9.2149997E-01    5.7423920E-05
  9.2199999E-01    5.4389857E-05
  9.2249995E-01    5.8688838E-05
  9.2299998E-01    5.8577894E-05
  9.2350000E-01    5.8466947E-05
  9.2399997E-01    5.6897130E-05
  9.2449999E-01    6.1146027E-05
  9.2499995E-01    6.2471176E-05
  9.2549998E-01    6.2340565E-05
  9.2600000E-01    6.2210158E-05
  9.2649996E-01    6.5010950E-05
  9.2699999E-01    6.6360735E-05
  9.2749995E-01    6.7706169E-05
  9.2799997E-01    6.6170505E-05
  9.2850000E-01    6.8849171E-05
  9.2899996E-01    7.0081391E-05
  9.2949998E-01    7.1305534E-05
  9.2999995E-01    7.5365853E-05
  9.3049997E-01    7.9523670E-05
  9.3099999E-01    7.9415215E-05
  9.3149996E-01    8.4971449E-05
  9.3199998E-01    8.4854924E-05
  9.3250000E-01    9.1737973E-05
  9.3299997E-01    9.2958384E-05
  9.3349999E-01    9.8389821E-05
  9.3399996E-01    1.0379827E-04
  9.3449998E-01    1.0913035E-04
  9.3500000E-01    1.1443428E-04
  9.3549997E-01    1.1970984E-04
  9.3599999E-01    1.2773424E-04
  9.3649995E-01    1.3142529E-04
  9.3699998E-01    1.4335809E-04
  9.3750000E-01    1.5382891E-04
  9.3799996E-01    1.6148467E-04
  9.3849999E-01    1.7090107E-04
  9.3899995E-01    1.8712810E-04
  9.3949997E-01    2.0059325E-04
  9.4000000E-01    2.1675836E-04
  9.4049996E-01    2.3503977E-04
  9.4099998E-01    2.5319282E-04
  9.4149995E-01    2.7256508E-04
  9.4199997E-01    2.9717622E-04
  9.4250000E-01    3.2396699E-04
  9.4299996E-01    3.5583731E-04
  9.4349998E-01    3.8741581E-04
  9.4400001E-01    4.2398067E-04
  9.4449997E-01    4.6716095E-04
  9.4499999E-01    5.1263470E-04
  9.4549996E-01    5.6559523E-04
  9.4599998E-01    6.2595581E-04
  9.4650000E-01    6.9306418E-04
  9.4699997E-01    7.6469732E-04
  9.4749999E-01    8.5234124E-04
  9.4799995E-01    9.4682211E-04
  9.4849998E-01    1.0544902E-03
  9.4900000E-01    1.1776185E-03
  9.4949996E-01    1.3210236E-03
  9.4999999E-01    1.4793982E-03
  9.5049995E-01    1.6606784E-03
  9.5099998E-01    1.8628027E-03
  9.5150000E-01    2.1015950E-03
  9.5199996E-01    2.3667084E-03
  9.5249999E-01    2.6888270E-03
  9.5299995E-01    3.0594436E-03
  9.5349997E-01    3.4769019E-03
  9.5400000E-01    3.9566644E-03
  9.5449996E-01    4.5033055E-03
  9.5499998E-01    5.1432787E-03
  9.5549995E-01    5.9082536E-03
  9.5599997E-01    6.8053296E-03
  9.5649999E-01    7.8222118E-03
  9.5699996E-01    8.9923916E-03
  9.5749998E-01    1.0358321E-02
  9.5800000E-01    1.1957964E-02
  9.5849997E-01    1.3919964E-02
  9.5899999E-01    1.6262000E-02
  9.5949996E-01    1.9087669E-02
  9.5999998E-01    2.2362838E-02
  9.6050000E-01    2.6140621E-02
  9.6099997E-01    3.0844478E-02
  9.6149999E-01    3.6272183E-02
  9.6199995E-01    4.3038290E-02
  9.6249998E-01    5.1069520E-02
  9.6300000E-01    6.0364634E-02
  9.6349996E-01    7.1621396E-02
  9.6399999E-01    8.4804408E-02
  9.6449995E-01    1.0173396E-01
  9.6499997E-01    1.2229453E-01
  9.6550000E-01    1.4720397E-01
  9.6599996E-01    1.7747074E-01
  9.6649998E-01    2.1178645E-01
  9.6699995E-01    2.5309348E-01
  9.6749997E-01    3.0030385E-01
  9.6799999E-01    3.5513151E-01
  9.6849996E-01    4.1875830E-01
  9.6899998E-01    4.8960701E-01
  9.6950001E-01    5.6264567E-01
  9.6999997E-01    6.3771486E-01
  9.7049999E-01    7.1210319E-01
  9.7099996E-01    7.7941644E-01
  9.7149998E-01    8.4242022E-01
  9.7200000E-01    8.9489639E-01
  9.7249997E-01    9.3546242E-01
  9.7299999E-01    9.6505374E-01
  9.7349995E-01    9.8396236E-01
  9.7399998E-01    9.9510670E-01
  9.7450000E-01    9.9991310E-01
  9.7499996E-01    1.0000000E+00
  9.7549999E-01    9.9616861E-01
  9.7599995E-01    9.9042255E-01
  9.7649997E-01    9.8124045E-01
  9.7700000E-01    9.7164851E-01
  9.7749996E-01    9.6178955E-01
  9.7799999E-01    9.5231974E-01
  9.7849995E-01    9.4620937E-01
  9.7899997E-01    9.4102424E-01
  9.7950000E-01    9.3618071E-01
  9.7999996E-01    9.3172419E-01
  9.8049998E-01    9.2297679E-01
  9.8099995E-01    9.1505939E-01
  9.8149997E-01    9.0752077E-01
  9.8199999E-01    9.0018916E-01
  9.8249996E-01    8.9512205E-01
  9.8299998E-01    8.9024127E-01
  9.8350000E-01    8.8579094E-01
  9.8399997E-01    8.8142550E-01
  9.8449999E-01    8.7747407E-01
  9.8499995E-01    8.7349361E-01
  9.8549998E-01    8.6921513E-01
  9.8600000E-01    8.6545205E-01
  9.8649997E-01    8.5946381E-01
  9.8699999E-01    8.5314226E-01
  9.8749995E-01    8.4641719E-01
  9.8799998E-01    8.4004605E-01
  9.8850000E-01    8.3141452E-01
  9.8899996E-01    8.2252842E-01
  9.8949999E-01    8.1314349E-01
  9.8999995E-01    8.0379993E-01
  9.9049997E-01    7.9810351E-01
