# wave[microns]    norm_trans
  6.6250998E-01    0.0000000E+00
  6.6378999E-01    2.0897240E-05
  6.6507995E-01    1.2511636E-04
  6.6636002E-01    3.8485663E-04
  6.6764998E-01    9.3433657E-04
  6.6892993E-01    2.0405231E-03
  6.7022002E-01    4.0836660E-03
  6.7149997E-01    7.6454827E-03
  6.7278999E-01    1.3463976E-02
  6.7407000E-01    2.2426028E-02
  6.7535996E-01    3.5512649E-02
  6.7664999E-01    5.3668868E-02
  6.7792994E-01    7.7592984E-02
  6.7922002E-01    1.0798668E-01
  6.8049997E-01    1.4475043E-01
  6.8178999E-01    1.8748872E-01
  6.8307000E-01    2.3598418E-01
  6.8435997E-01    2.8870401E-01
  6.8563998E-01    3.4358415E-01
  6.8692994E-01    4.0007749E-01
  6.8821001E-01    4.5663178E-01
  6.8949997E-01    5.1242208E-01
  6.9077998E-01    5.6592292E-01
  6.9207001E-01    6.1613274E-01
  6.9335997E-01    6.6263849E-01
  6.9463998E-01    7.0499784E-01
  6.9592994E-01    7.4299634E-01
  6.9721001E-01    7.7550691E-01
  6.9849998E-01    8.0404305E-01
  6.9977999E-01    8.2899559E-01
  7.0107001E-01    8.5185122E-01
  7.0234996E-01    8.7107354E-01
  7.0363998E-01    8.8543415E-01
  7.0491999E-01    8.9820594E-01
  7.0621002E-01    9.0882838E-01
  7.0748997E-01    9.1671902E-01
  7.0877999E-01    9.2429411E-01
  7.1007001E-01    9.3147081E-01
  7.1134996E-01    9.4003159E-01
  7.1263999E-01    9.4714367E-01
  7.1392000E-01    9.5296544E-01
  7.1521002E-01    9.6134591E-01
  7.1648997E-01    9.6846163E-01
  7.1777993E-01    9.7306985E-01
  7.1906000E-01    9.7814471E-01
  7.2034997E-01    9.8327434E-01
  7.2162998E-01    9.8895961E-01
  7.2292000E-01    9.9164385E-01
  7.2420001E-01    9.9329603E-01
  7.2548997E-01    9.9735594E-01
  7.2677994E-01    9.9933594E-01
  7.2806001E-01    1.0000000E+00
  7.2934997E-01    9.9896550E-01
  7.3062998E-01    9.9672723E-01
  7.3192000E-01    9.9408686E-01
  7.3319995E-01    9.9439144E-01
  7.3448998E-01    9.9398082E-01
  7.3576999E-01    9.9130392E-01
  7.3706001E-01    9.8985523E-01
  7.3833996E-01    9.8845512E-01
  7.3962998E-01    9.8496556E-01
  7.4090999E-01    9.8556018E-01
  7.4219996E-01    9.8728913E-01
  7.4348998E-01    9.8683339E-01
  7.4476999E-01    9.8754621E-01
  7.4606001E-01    9.8881215E-01
  7.4733996E-01    9.9078119E-01
  7.4862999E-01    9.9203008E-01
  7.4991000E-01    9.9268812E-01
  7.5119996E-01    9.9497753E-01
  7.5247997E-01    9.9729258E-01
  7.5376999E-01    9.9984163E-01
  7.5505000E-01    9.9742782E-01
  7.5633997E-01    9.9450111E-01
  7.5762999E-01    9.9501282E-01
  7.5891000E-01    9.9177176E-01
  7.6019996E-01    9.8628509E-01
  7.6147997E-01    9.8050964E-01
  7.6277000E-01    9.7870272E-01
  7.6405001E-01    9.7831035E-01
  7.6533997E-01    9.7410548E-01
  7.6661998E-01    9.7164547E-01
  7.6791000E-01    9.7172225E-01
  7.6918995E-01    9.6891367E-01
  7.7047998E-01    9.6644026E-01
  7.7175999E-01    9.6687895E-01
  7.7305001E-01    9.6835929E-01
  7.7433997E-01    9.7029907E-01
  7.7561998E-01    9.7370470E-01
  7.7691001E-01    9.7375941E-01
  7.7818996E-01    9.7347438E-01
  7.7947998E-01    9.7864544E-01
  7.8075999E-01    9.8033667E-01
  7.8204995E-01    9.7918892E-01
  7.8332996E-01    9.7803742E-01
  7.8461999E-01    9.7728199E-01
  7.8590000E-01    9.7690308E-01
  7.8718996E-01    9.7513390E-01
  7.8846997E-01    9.7183067E-01
  7.8975999E-01    9.6657300E-01
  7.9104996E-01    9.6248031E-01
  7.9232997E-01    9.5940369E-01
  7.9361999E-01    9.5931596E-01
  7.9490000E-01    9.5620406E-01
  7.9618996E-01    9.5160079E-01
  7.9746997E-01    9.4695604E-01
  7.9876000E-01    9.4385266E-01
  8.0003995E-01    9.4204932E-01
  8.0132997E-01    9.3780428E-01
  8.0260998E-01    9.3424761E-01
  8.0390000E-01    9.3140256E-01
  8.0517995E-01    9.3222868E-01
  8.0646998E-01    9.3236274E-01
  8.0776000E-01    9.2973697E-01
  8.0903995E-01    9.2396390E-01
  8.1032997E-01    9.2122847E-01
  8.1160998E-01    9.2476320E-01
  8.1290001E-01    9.2574650E-01
  8.1417996E-01    9.2621195E-01
  8.1546998E-01    9.2760468E-01
  8.1674999E-01    9.2602801E-01
  8.1803995E-01    9.2195106E-01
  8.1932002E-01    9.1622680E-01
  8.2060993E-01    9.1038430E-01
  8.2189995E-01    9.0508163E-01
  8.2317996E-01    9.0295178E-01
  8.2446998E-01    8.9871651E-01
  8.2574999E-01    8.9100492E-01
  8.2704002E-01    8.8487858E-01
  8.2832003E-01    8.7727547E-01
  8.2960993E-01    8.6461818E-01
  8.3089000E-01    8.5299051E-01
  8.3217996E-01    8.4042591E-01
  8.3345991E-01    8.2296193E-01
  8.3475000E-01    8.0483258E-01
  8.3602995E-01    7.8413117E-01
  8.3731997E-01    7.5827444E-01
  8.3860993E-01    7.2241795E-01
  8.3989000E-01    6.7620105E-01
  8.4117997E-01    6.2948328E-01
  8.4245992E-01    5.7519162E-01
  8.4375000E-01    5.1399875E-01
  8.4502995E-01    4.4968173E-01
  8.4631997E-01    3.8501379E-01
  8.4759998E-01    3.2234535E-01
  8.4889001E-01    2.6348701E-01
  8.5017002E-01    2.1078789E-01
  8.5145992E-01    1.6520451E-01
  8.5273999E-01    1.2709755E-01
  8.5402995E-01    9.6238278E-02
  8.5531998E-01    7.2286025E-02
  8.5659999E-01    5.3786449E-02
  8.5789001E-01    3.9750170E-02
  8.5917002E-01    2.9843451E-02
  8.6045992E-01    2.2623174E-02
  8.6173999E-01    1.7323775E-02
  8.6302996E-01    1.3595445E-02
  8.6430997E-01    1.1015163E-02
  8.6559999E-01    9.2328284E-03
  8.6687994E-01    7.9927156E-03
  8.6817002E-01    7.0410715E-03
  8.6944997E-01    6.3099782E-03
  8.7074000E-01    5.7771504E-03
  8.7202996E-01    5.3237416E-03
  8.7330991E-01    4.9550394E-03
  8.7459999E-01    4.7178073E-03
  8.7587994E-01    4.5649041E-03
  8.7717003E-01    4.4858633E-03
  8.7844998E-01    4.3967701E-03
  8.7974000E-01    4.3181563E-03
  8.8102001E-01    4.2706365E-03
  8.8230991E-01    4.1843830E-03
  8.8359004E-01    4.0476364E-03
  8.8487995E-01    3.8483227E-03
  8.8616997E-01    3.7086764E-03
  8.8744998E-01    3.6578304E-03
  8.8874000E-01    3.6284414E-03
  8.9002001E-01    3.5661419E-03
  8.9130992E-01    3.5003459E-03
  8.9259005E-01    3.4697629E-03
  8.9387995E-01    3.4176377E-03
  8.9515996E-01    3.3320903E-03
  8.9644998E-01    3.2084545E-03
  8.9772993E-01    3.0123696E-03
  8.9902002E-01    2.7908799E-03
  9.0029997E-01    2.6838640E-03
  9.0158999E-01    2.6258046E-03
  9.0287995E-01    2.5499808E-03
  9.0415996E-01    2.4817474E-03
  9.0544999E-01    2.4190950E-03
  9.0672994E-01    2.3455981E-03
  9.0802002E-01    2.1331494E-03
  9.0929997E-01    1.8201912E-03
  9.1058999E-01    1.4744930E-03
  9.1187000E-01    1.1406577E-03
  9.1315997E-01    8.3494413E-04
  9.1444004E-01    5.6669419E-04
  9.1572994E-01    3.0902651E-04
  9.1700995E-01    7.9010890E-05
  9.1829997E-01    0.0000000E+00
