# wave[microns]    norm_trans
  5.3297001E-01    0.0000000E+00
  5.3393996E-01    6.2905390E-05
  5.3490001E-01    2.8805449E-04
  5.3587002E-01    8.1135606E-04
  5.3682995E-01    1.8824115E-03
  5.3780001E-01    3.8991503E-03
  5.3876001E-01    7.4929139E-03
  5.3972995E-01    1.3379673E-02
  5.4069000E-01    2.2290122E-02
  5.4166001E-01    3.5112493E-02
  5.4262996E-01    5.2602053E-02
  5.4358995E-01    7.5220808E-02
  5.4456002E-01    1.0293376E-01
  5.4552001E-01    1.3530359E-01
  5.4648995E-01    1.7184138E-01
  5.4745001E-01    2.1155746E-01
  5.4842001E-01    2.5319669E-01
  5.4937994E-01    2.9568699E-01
  5.5035001E-01    3.3844870E-01
  5.5131000E-01    3.8114285E-01
  5.5227995E-01    4.2255613E-01
  5.5325001E-01    4.6194923E-01
  5.5421001E-01    4.9934053E-01
  5.5517995E-01    5.3474116E-01
  5.5614001E-01    5.6809574E-01
  5.5711001E-01    5.9874862E-01
  5.5807000E-01    6.2667388E-01
  5.5903995E-01    6.5289092E-01
  5.6000000E-01    6.7682618E-01
  5.6097001E-01    6.9768512E-01
  5.6193995E-01    7.1645141E-01
  5.6290001E-01    7.3382503E-01
  5.6387001E-01    7.4935895E-01
  5.6482995E-01    7.6252764E-01
  5.6580001E-01    7.7457631E-01
  5.6676000E-01    7.8710765E-01
  5.6772995E-01    7.9967213E-01
  5.6869000E-01    8.1114727E-01
  5.6966001E-01    8.2204652E-01
  5.7062000E-01    8.3360392E-01
  5.7158995E-01    8.4522277E-01
  5.7256001E-01    8.5697925E-01
  5.7352000E-01    8.6863977E-01
  5.7448995E-01    8.7892127E-01
  5.7545000E-01    8.8754362E-01
  5.7642001E-01    8.9491701E-01
  5.7737994E-01    9.0100461E-01
  5.7835001E-01    9.0689200E-01
  5.7931000E-01    9.1271561E-01
  5.8027995E-01    9.1699541E-01
  5.8124000E-01    9.1916299E-01
  5.8221000E-01    9.2123723E-01
  5.8317995E-01    9.2332983E-01
  5.8414000E-01    9.2590022E-01
  5.8511001E-01    9.2915344E-01
  5.8607000E-01    9.3269151E-01
  5.8703995E-01    9.3572605E-01
  5.8800000E-01    9.3891907E-01
  5.8897001E-01    9.4224840E-01
  5.8992994E-01    9.4518596E-01
  5.9090000E-01    9.4819599E-01
  5.9186000E-01    9.5092964E-01
  5.9282994E-01    9.5493197E-01
  5.9380001E-01    9.5876235E-01
  5.9476000E-01    9.5954347E-01
  5.9572995E-01    9.5923150E-01
  5.9669000E-01    9.5910257E-01
  5.9766001E-01    9.5900553E-01
  5.9862000E-01    9.5886797E-01
  5.9959000E-01    9.5890731E-01
  6.0055000E-01    9.5957291E-01
  6.0152000E-01    9.6051854E-01
  6.0247999E-01    9.6144205E-01
  6.0345000E-01    9.6207207E-01
  6.0442001E-01    9.6139657E-01
  6.0537994E-01    9.5895886E-01
  6.0635000E-01    9.5513833E-01
  6.0731000E-01    9.5030951E-01
  6.0827994E-01    9.4449699E-01
  6.0924000E-01    9.3785554E-01
  6.1021000E-01    9.3065166E-01
  6.1116999E-01    9.2274404E-01
  6.1214000E-01    9.1569734E-01
  6.1311001E-01    9.1072613E-01
  6.1407000E-01    9.0726292E-01
  6.1504000E-01    9.0590954E-01
  6.1600000E-01    9.0594882E-01
  6.1697000E-01    9.0664268E-01
  6.1792994E-01    9.0909272E-01
  6.1890000E-01    9.1373605E-01
  6.1985999E-01    9.2020804E-01
  6.2082994E-01    9.2736900E-01
  6.2178999E-01    9.3541658E-01
  6.2276000E-01    9.4299877E-01
  6.2372994E-01    9.5049006E-01
  6.2469000E-01    9.5775902E-01
  6.2566000E-01    9.6415365E-01
  6.2661999E-01    9.7039348E-01
  6.2759000E-01    9.7611392E-01
  6.2854999E-01    9.7982764E-01
  6.2952000E-01    9.8148310E-01
  6.3047999E-01    9.8416394E-01
  6.3145000E-01    9.8837137E-01
  6.3240999E-01    9.9143791E-01
  6.3337994E-01    9.9348629E-01
  6.3435000E-01    9.9500912E-01
  6.3530999E-01    9.9487889E-01
  6.3627994E-01    9.9462843E-01
  6.3723999E-01    9.9567109E-01
  6.3821000E-01    9.9652582E-01
  6.3916999E-01    9.9657118E-01
  6.4014000E-01    9.9618316E-01
  6.4109999E-01    9.9452531E-01
  6.4207000E-01    9.9266839E-01
  6.4302999E-01    9.9139857E-01
  6.4399999E-01    9.9053770E-01
  6.4497000E-01    9.8938823E-01
