# wave[microns]    norm_trans
  2.0530002E+00    0.0000000E+00
  2.0540001E+00    4.7233334E-05
  2.0550001E+00    3.4909612E-05
  2.0560000E+00    2.4295698E-05
  2.0570002E+00    3.0391522E-05
  2.0580001E+00    1.6500251E-05
  2.0590000E+00    3.8242499E-05
  2.0600002E+00    2.8130622E-05
  2.0610001E+00    3.8240298E-05
  2.0620000E+00    2.9958106E-05
  2.0630002E+00    2.2112688E-05
  2.0640001E+00    4.0856205E-05
  2.0650001E+00    4.2710490E-05
  2.0660000E+00    4.3353739E-05
  2.0670002E+00    6.2085972E-05
  2.0680001E+00    5.2491807E-05
  2.0690000E+00    5.5768727E-05
  2.0700002E+00    5.3086074E-05
  2.0710001E+00    3.8050934E-05
  2.0720000E+00    5.5668635E-05
  2.0730002E+00    2.9546061E-05
  2.0740001E+00    2.9418778E-05
  2.0750000E+00    6.7821224E-05
  2.0760002E+00    4.9672879E-05
  2.0770001E+00    5.3307274E-05
  2.0780001E+00    6.0355338E-05
  2.0790000E+00    6.3913969E-05
  2.0800002E+00    7.2303781E-05
  2.0810001E+00    5.1527466E-05
  2.0820000E+00    5.2460618E-05
  2.0830002E+00    8.9166315E-05
  2.0840001E+00    1.1254024E-04
  2.0850000E+00    7.6322991E-05
  2.0860002E+00    1.1871213E-04
  2.0870001E+00    7.6022734E-05
  2.0880001E+00    1.0765362E-04
  2.0890000E+00    1.1086123E-04
  2.0900002E+00    1.2348514E-04
  2.0910001E+00    1.0989911E-04
  2.0920000E+00    1.4275470E-04
  2.0930002E+00    1.3953545E-04
  2.0940001E+00    1.3552378E-04
  2.0950000E+00    1.6458663E-04
  2.0960002E+00    1.4670874E-04
  2.0970001E+00    1.7536606E-04
  2.0980000E+00    1.9080467E-04
  2.0990002E+00    2.0067328E-04
  2.1000001E+00    2.1182239E-04
  2.1010001E+00    2.2009338E-04
  2.1020000E+00    2.5046981E-04
  2.1030002E+00    2.4708462E-04
  2.1040001E+00    2.5589645E-04
