Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         5 = grain model
 4.000E-08 4.000E-01 3.000E-05 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 1.000E-05 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E-01 1.000E+06 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.612E+00 = <U> 
     mmp83 = radfield
 7.221E-24 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  2.081E-26  7.010E-19 COBE-DIRBE
2.220E+00  2.764E-26  1.628E-18 COBE-DIRBE
3.530E+00  1.878E-25  1.759E-17 COBE-DIRBE
4.880E+00  1.184E-25  1.533E-17 COBE-DIRBE
1.229E+01  1.159E-24  3.780E-16 COBE-DIRBE
2.079E+01  1.707E-24  9.412E-16 COBE-DIRBE
5.599E+01  2.540E-24  3.772E-15 COBE-DIRBE
9.770E+01  1.949E-24  5.051E-15 COBE-DIRBE
1.479E+02  1.514E-24  5.939E-15 COBE-DIRBE
2.479E+02  6.344E-25  4.171E-15 COBE-DIRBE
1.200E+01  1.188E-24  3.782E-16 IRAS
2.500E+01  2.026E-24  1.344E-15 IRAS
6.000E+01  2.481E-24  3.949E-15 IRAS
1.000E+02  1.927E-24  5.111E-15 IRAS
3.550E+00  2.176E-25  2.049E-17 SST-IRAC
4.493E+00  8.362E-26  9.965E-18 SST-IRAC
5.731E+00  5.812E-25  8.835E-17 SST-IRAC
7.872E+00  1.479E-24  3.088E-16 SST-IRAC
2.368E+01  1.901E-24  1.194E-15 SST-MIPS
7.142E+01  2.031E-24  3.848E-15 SST-MIPS
1.559E+02  1.370E-24  5.666E-15 SST-MIPS
1.600E+01  1.231E-24  5.225E-16 SST-IRSPU
2.200E+01  1.882E-24  1.098E-15 SST-IRSPU
7.500E+01  1.748E-24  3.477E-15 Herschel-PACS
1.100E+02  1.394E-24  4.066E-15 Herschel-PACS
1.700E+02  1.052E-24  4.745E-15 Herschel-PACS
2.500E+02  5.574E-25  3.696E-15 Herschel-SPIRE
3.600E+02  2.014E-25  1.923E-15 Herschel-SPIRE
5.200E+02  5.896E-26  8.133E-16 Herschel-SPIRE
2.400E+00  3.161E-26  2.012E-18 Akari IRC NIR N2
3.200E+00  1.435E-25  1.218E-17 Akari IRC NIR N3
4.100E+00  8.712E-26  9.475E-18 Akari IRC NIR N4
7.000E+00  1.612E-24  2.993E-16 Akari IRC MIR-S S7
9.000E+00  1.273E-24  3.039E-16 Akari IRC MIR-S S9W
1.100E+01  1.103E-24  3.220E-16 Akari IRC MIR-S S11
1.500E+01  1.299E-24  5.169E-16 Akari IRC MIR-L L15
1.800E+01  1.554E-24  7.419E-16 Akari IRC MIR-L L18W
2.400E+01  1.883E-24  1.198E-15 Akari IRC MIR-L L24
6.500E+01  2.292E-24  3.952E-15 Akari FIS N60
8.000E+01  2.062E-24  4.376E-15 Akari FIS WIDE-S
1.400E+02  1.519E-24  5.640E-15 Akari FIS WIDE-L
1.600E+02  1.350E-24  5.732E-15 Akari FIS N160
 
 
 
