Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
        10 = grain model
 4.000E-08 4.000E-01 5.000E-06 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 5.000E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.500E-01 1.000E+03 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.321E+00 = <U> 
     mmp83 = radfield
 1.381E-24 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  3.833E-27  1.291E-19 COBE-DIRBE
2.220E+00  5.149E-27  3.032E-19 COBE-DIRBE
3.530E+00  2.711E-26  2.539E-18 COBE-DIRBE
4.880E+00  1.306E-26  1.691E-18 COBE-DIRBE
1.229E+01  1.371E-25  4.470E-17 COBE-DIRBE
2.079E+01  1.638E-25  9.031E-17 COBE-DIRBE
5.599E+01  5.689E-25  8.449E-16 COBE-DIRBE
9.770E+01  6.124E-25  1.587E-15 COBE-DIRBE
1.479E+02  4.888E-25  1.917E-15 COBE-DIRBE
2.479E+02  2.112E-25  1.389E-15 COBE-DIRBE
1.200E+01  1.374E-25  4.374E-17 IRAS
2.500E+01  1.751E-25  1.161E-16 IRAS
6.000E+01  5.788E-25  9.211E-16 IRAS
1.000E+02  6.090E-25  1.615E-15 IRAS
3.550E+00  3.133E-26  2.950E-18 SST-IRAC
4.493E+00  9.563E-27  1.140E-18 SST-IRAC
5.731E+00  7.116E-26  1.082E-17 SST-IRAC
7.872E+00  1.745E-25  3.643E-17 SST-IRAC
2.368E+01  1.581E-25  9.930E-17 SST-MIPS
7.142E+01  5.707E-25  1.081E-15 SST-MIPS
1.559E+02  4.432E-25  1.833E-15 SST-MIPS
1.600E+01  1.332E-25  5.651E-17 SST-IRSPU
2.200E+01  1.612E-25  9.408E-17 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  1.575E-31  4.178E-20
9.908E+03  1.632E-31  4.290E-20
9.817E+03  1.692E-31  4.405E-20
9.727E+03  1.753E-31  4.523E-20
9.638E+03  1.816E-31  4.644E-20
9.550E+03  1.882E-31  4.768E-20
9.462E+03  1.950E-31  4.895E-20
9.376E+03  2.021E-31  5.026E-20
9.290E+03  2.094E-31  5.161E-20
9.204E+03  2.170E-31  5.299E-20
9.120E+03  2.249E-31  5.440E-20
9.036E+03  2.330E-31  5.586E-20
8.954E+03  2.415E-31  5.735E-20
8.872E+03  2.502E-31  5.887E-20
8.790E+03  2.592E-31  6.043E-20
8.710E+03  2.685E-31  6.203E-20
8.630E+03  2.782E-31  6.368E-20
8.551E+03  2.882E-31  6.538E-20
8.472E+03  2.986E-31  6.712E-20
8.395E+03  3.094E-31  6.890E-20
8.318E+03  3.206E-31  7.074E-20
8.241E+03  3.322E-31  7.263E-20
8.166E+03  3.442E-31  7.457E-20
8.091E+03  3.567E-31  7.656E-20
8.017E+03  3.696E-31  7.860E-20
7.943E+03  3.830E-31  8.071E-20
7.870E+03  3.969E-31  8.287E-20
7.798E+03  4.113E-31  8.509E-20
7.727E+03  4.263E-31  8.737E-20
7.656E+03  4.418E-31  8.971E-20
7.586E+03  4.578E-31  9.212E-20
7.516E+03  4.745E-31  9.460E-20
7.447E+03  4.917E-31  9.714E-20
7.379E+03  5.096E-31  9.976E-20
7.311E+03  5.282E-31  1.024E-19
7.244E+03  5.475E-31  1.052E-19
7.178E+03  5.674E-31  1.080E-19
7.112E+03  5.881E-31  1.110E-19
7.047E+03  6.096E-31  1.139E-19
6.982E+03  6.318E-31  1.170E-19
6.918E+03  6.549E-31  1.202E-19
6.855E+03  6.787E-31  1.234E-19
6.792E+03  7.035E-31  1.267E-19
6.730E+03  7.292E-31  1.302E-19
6.668E+03  7.558E-31  1.337E-19
6.607E+03  7.835E-31  1.373E-19
6.546E+03  8.121E-31  1.410E-19
6.486E+03  8.419E-31  1.448E-19
6.427E+03  8.727E-31  1.488E-19
6.368E+03  9.047E-31  1.528E-19
6.310E+03  9.378E-31  1.570E-19
6.252E+03  9.722E-31  1.612E-19
6.194E+03  1.008E-30  1.656E-19
6.138E+03  1.045E-30  1.701E-19
6.081E+03  1.083E-30  1.748E-19
6.026E+03  1.123E-30  1.795E-19
5.970E+03  1.164E-30  1.844E-19
5.916E+03  1.207E-30  1.894E-19
5.861E+03  1.252E-30  1.946E-19
5.808E+03  1.298E-30  1.999E-19
5.754E+03  1.346E-30  2.054E-19
5.702E+03  1.395E-30  2.110E-19
5.649E+03  1.447E-30  2.168E-19
5.598E+03  1.500E-30  2.227E-19
5.546E+03  1.556E-30  2.288E-19
5.495E+03  1.613E-30  2.351E-19
5.445E+03  1.673E-30  2.416E-19
5.395E+03  1.734E-30  2.482E-19
5.346E+03  1.799E-30  2.550E-19
5.297E+03  1.865E-30  2.620E-19
5.248E+03  1.934E-30  2.693E-19
5.200E+03  2.006E-30  2.767E-19
5.152E+03  2.080E-30  2.843E-19
5.105E+03  2.157E-30  2.921E-19
5.058E+03  2.237E-30  3.002E-19
5.012E+03  2.320E-30  3.085E-19
4.966E+03  2.406E-30  3.170E-19
4.920E+03  2.496E-30  3.257E-19
4.875E+03  2.588E-30  3.347E-19
4.831E+03  2.684E-30  3.440E-19
4.786E+03  2.784E-30  3.535E-19
4.742E+03  2.888E-30  3.633E-19
4.699E+03  2.995E-30  3.733E-19
4.656E+03  3.107E-30  3.837E-19
4.613E+03  3.222E-30  3.943E-19
4.571E+03  3.342E-30  4.052E-19
4.529E+03  3.467E-30  4.165E-19
4.487E+03  3.596E-30  4.281E-19
4.446E+03  3.730E-30  4.400E-19
4.406E+03  3.870E-30  4.522E-19
4.365E+03  4.014E-30  4.648E-19
4.325E+03  4.164E-30  4.777E-19
4.285E+03  4.320E-30  4.911E-19
4.246E+03  4.481E-30  5.048E-19
4.207E+03  4.649E-30  5.188E-19
4.169E+03  4.823E-30  5.333E-19
4.130E+03  5.004E-30  5.482E-19
4.093E+03  5.191E-30  5.636E-19
4.055E+03  5.386E-30  5.793E-19
4.018E+03  5.588E-30  5.956E-19
3.981E+03  5.797E-30  6.122E-19
3.945E+03  6.015E-30  6.293E-19
3.908E+03  6.240E-30  6.469E-19
3.873E+03  6.474E-30  6.650E-19
3.837E+03  6.717E-30  6.837E-19
3.802E+03  6.969E-30  7.028E-19
3.767E+03  7.231E-30  7.226E-19
