Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         6 = grain model
 4.000E-08 4.000E-01 3.750E-05 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 1.250E-05 = a_02 (cm) , sigma_2 , b_C2/0.92
 3.000E-01 3.000E-01 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 3.000E-01 = <U> 
     mmp83 = radfield
 1.350E-24 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  4.587E-27  1.545E-19 COBE-DIRBE
2.220E+00  5.869E-27  3.456E-19 COBE-DIRBE
3.530E+00  3.843E-26  3.598E-18 COBE-DIRBE
4.880E+00  1.717E-26  2.222E-18 COBE-DIRBE
1.229E+01  1.480E-25  4.826E-17 COBE-DIRBE
2.079E+01  8.748E-26  4.824E-17 COBE-DIRBE
5.599E+01  1.361E-25  2.021E-16 COBE-DIRBE
9.770E+01  5.300E-25  1.373E-15 COBE-DIRBE
1.479E+02  8.521E-25  3.343E-15 COBE-DIRBE
2.479E+02  5.165E-25  3.396E-15 COBE-DIRBE
1.200E+01  1.633E-25  5.199E-17 IRAS
2.500E+01  7.652E-26  5.075E-17 IRAS
6.000E+01  1.602E-25  2.550E-16 IRAS
1.000E+02  5.575E-25  1.479E-15 IRAS
3.550E+00  4.469E-26  4.208E-18 SST-IRAC
4.493E+00  1.248E-26  1.488E-18 SST-IRAC
5.731E+00  9.956E-26  1.513E-17 SST-IRAC
7.872E+00  2.409E-25  5.030E-17 SST-IRAC
2.368E+01  6.737E-26  4.232E-17 SST-MIPS
7.142E+01  2.223E-25  4.212E-16 SST-MIPS
1.559E+02  8.421E-25  3.482E-15 SST-MIPS
1.600E+01  1.105E-25  4.691E-17 SST-IRSPU
2.200E+01  7.409E-26  4.323E-17 SST-IRSPU
7.500E+01  1.836E-25  3.653E-16 Herschel-PACS
1.100E+02  4.124E-25  1.203E-15 Herschel-PACS
1.700E+02  6.531E-25  2.945E-15 Herschel-PACS
2.500E+02  4.636E-25  3.075E-15 Herschel-SPIRE
3.600E+02  1.850E-25  1.766E-15 Herschel-SPIRE
5.200E+02  5.620E-26  7.752E-16 Herschel-SPIRE
2.400E+00  6.583E-27  4.191E-19 Akari IRC NIR N2
3.200E+00  2.954E-26  2.508E-18 Akari IRC NIR N3
4.100E+00  1.355E-26  1.473E-18 Akari IRC NIR N4
7.000E+00  2.737E-25  5.082E-17 Akari IRC MIR-S S7
