Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
        11 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 3.000E-01 3.000E-01 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 3.000E-01 = <U> 
     mmp83 = radfield
 1.661E-25 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  1.524E-28  5.135E-21 COBE-DIRBE
2.220E+00  2.759E-28  1.624E-20 COBE-DIRBE
3.530E+00  4.812E-28  4.506E-20 COBE-DIRBE
4.880E+00  3.636E-28  4.707E-20 COBE-DIRBE
1.229E+01  4.287E-27  1.398E-18 COBE-DIRBE
2.079E+01  6.735E-27  3.714E-18 COBE-DIRBE
5.599E+01  1.669E-26  2.478E-17 COBE-DIRBE
9.770E+01  6.599E-26  1.710E-16 COBE-DIRBE
1.479E+02  1.208E-25  4.739E-16 COBE-DIRBE
2.479E+02  8.615E-26  5.664E-16 COBE-DIRBE
1.200E+01  4.241E-27  1.350E-18 IRAS
2.500E+01  7.116E-27  4.719E-18 IRAS
6.000E+01  1.932E-26  3.074E-17 IRAS
1.000E+02  6.989E-26  1.854E-16 IRAS
3.550E+00  5.140E-28  4.841E-20 SST-IRAC
4.493E+00  3.418E-28  4.074E-20 SST-IRAC
5.731E+00  7.730E-28  1.175E-19 SST-IRAC
7.872E+00  3.067E-27  6.405E-19 SST-IRAC
2.368E+01  6.826E-27  4.288E-18 SST-MIPS
7.142E+01  2.633E-26  4.989E-17 SST-MIPS
1.559E+02  1.220E-25  5.044E-16 SST-MIPS
1.600E+01  4.183E-27  1.775E-18 SST-IRSPU
2.200E+01  7.082E-27  4.133E-18 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  9.269E-32  2.459E-20
9.908E+03  9.604E-32  2.524E-20
9.817E+03  9.950E-32  2.591E-20
9.727E+03  1.031E-31  2.660E-20
9.638E+03  1.068E-31  2.731E-20
9.550E+03  1.107E-31  2.803E-20
9.462E+03  1.146E-31  2.878E-20
9.376E+03  1.188E-31  2.954E-20
9.290E+03  1.231E-31  3.033E-20
9.204E+03  1.275E-31  3.113E-20
9.120E+03  1.321E-31  3.196E-20
9.036E+03  1.369E-31  3.281E-20
8.954E+03  1.418E-31  3.367E-20
8.872E+03  1.469E-31  3.456E-20
8.790E+03  1.521E-31  3.547E-20
8.710E+03  1.576E-31  3.640E-20
8.630E+03  1.632E-31  3.736E-20
8.551E+03  1.691E-31  3.835E-20
8.472E+03  1.752E-31  3.936E-20
8.395E+03  1.814E-31  4.040E-20
8.318E+03  1.880E-31  4.147E-20
8.241E+03  1.947E-31  4.257E-20
8.166E+03  2.017E-31  4.370E-20
8.091E+03  2.090E-31  4.486E-20
8.017E+03  2.165E-31  4.605E-20
7.943E+03  2.243E-31  4.727E-20
7.870E+03  2.324E-31  4.853E-20
7.798E+03  2.408E-31  4.982E-20
7.727E+03  2.495E-31  5.114E-20
7.656E+03  2.585E-31  5.250E-20
7.586E+03  2.679E-31  5.390E-20
7.516E+03  2.776E-31  5.534E-20
7.447E+03  2.876E-31  5.682E-20
7.379E+03  2.980E-31  5.833E-20
7.311E+03  3.088E-31  5.989E-20
7.244E+03  3.200E-31  6.149E-20
7.178E+03  3.316E-31  6.314E-20
7.112E+03  3.436E-31  6.483E-20
7.047E+03  3.561E-31  6.657E-20
6.982E+03  3.690E-31  6.835E-20
6.918E+03  3.824E-31  7.018E-20
6.855E+03  3.963E-31  7.206E-20
6.792E+03  4.107E-31  7.399E-20
6.730E+03  4.256E-31  7.597E-20
6.668E+03  4.410E-31  7.801E-20
6.607E+03  4.571E-31  8.010E-20
6.546E+03  4.737E-31  8.226E-20
6.486E+03  4.909E-31  8.447E-20
6.427E+03  5.088E-31  8.674E-20
6.368E+03  5.273E-31  8.908E-20
6.310E+03  5.466E-31  9.148E-20
6.252E+03  5.665E-31  9.395E-20
6.194E+03  5.872E-31  9.648E-20
6.138E+03  6.086E-31  9.909E-20
6.081E+03  6.309E-31  1.018E-19
6.026E+03  6.539E-31  1.045E-19
5.970E+03  6.778E-31  1.073E-19
5.916E+03  7.026E-31  1.103E-19
5.861E+03  7.284E-31  1.132E-19
5.808E+03  7.551E-31  1.163E-19
5.754E+03  7.827E-31  1.195E-19
5.702E+03  8.114E-31  1.227E-19
5.649E+03  8.412E-31  1.261E-19
5.598E+03  8.721E-31  1.295E-19
5.546E+03  9.041E-31  1.330E-19
5.495E+03  9.373E-31  1.366E-19
5.445E+03  9.718E-31  1.404E-19
5.395E+03  1.007E-30  1.442E-19
5.346E+03  1.045E-30  1.481E-19
