Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
        11 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 3.000E-01 1.000E+04 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 3.124E+00 = <U> 
     mmp83 = radfield
 1.726E-24 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  1.745E-27  5.877E-20 COBE-DIRBE
2.220E+00  2.938E-27  1.730E-19 COBE-DIRBE
3.530E+00  5.028E-27  4.708E-19 COBE-DIRBE
4.880E+00  3.797E-27  4.915E-19 COBE-DIRBE
1.229E+01  5.298E-26  1.727E-17 COBE-DIRBE
2.079E+01  1.894E-25  1.045E-16 COBE-DIRBE
5.599E+01  8.881E-25  1.319E-15 COBE-DIRBE
9.770E+01  8.186E-25  2.122E-15 COBE-DIRBE
1.479E+02  5.812E-25  2.280E-15 COBE-DIRBE
2.479E+02  2.163E-25  1.422E-15 COBE-DIRBE
1.200E+01  4.940E-26  1.573E-17 IRAS
2.500E+01  2.661E-25  1.764E-16 IRAS
6.000E+01  8.876E-25  1.413E-15 IRAS
1.000E+02  8.084E-25  2.144E-15 IRAS
3.550E+00  5.371E-27  5.057E-19 SST-IRAC
4.493E+00  3.564E-27  4.247E-19 SST-IRAC
5.731E+00  8.319E-27  1.265E-18 SST-IRAC
7.872E+00  3.471E-26  7.248E-18 SST-IRAC
2.368E+01  2.542E-25  1.597E-16 SST-MIPS
7.142E+01  8.258E-25  1.564E-15 SST-MIPS
1.559E+02  5.151E-25  2.130E-15 SST-MIPS
1.600E+01  7.209E-26  3.059E-17 SST-IRSPU
2.200E+01  2.395E-25  1.398E-16 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  1.157E-31  3.068E-20
9.908E+03  1.199E-31  3.150E-20
9.817E+03  1.242E-31  3.234E-20
9.727E+03  1.287E-31  3.320E-20
9.638E+03  1.333E-31  3.409E-20
9.550E+03  1.382E-31  3.500E-20
9.462E+03  1.431E-31  3.593E-20
9.376E+03  1.483E-31  3.689E-20
9.290E+03  1.537E-31  3.787E-20
9.204E+03  1.592E-31  3.888E-20
9.120E+03  1.650E-31  3.992E-20
9.036E+03  1.710E-31  4.098E-20
8.954E+03  1.771E-31  4.207E-20
8.872E+03  1.835E-31  4.318E-20
8.790E+03  1.901E-31  4.432E-20
8.710E+03  1.969E-31  4.549E-20
8.630E+03  2.040E-31  4.670E-20
8.551E+03  2.113E-31  4.793E-20
8.472E+03  2.189E-31  4.920E-20
8.395E+03  2.268E-31  5.051E-20
8.318E+03  2.350E-31  5.185E-20
8.241E+03  2.435E-31  5.323E-20
8.166E+03  2.523E-31  5.465E-20
8.091E+03  2.614E-31  5.610E-20
8.017E+03  2.708E-31  5.760E-20
7.943E+03  2.806E-31  5.913E-20
7.870E+03  2.908E-31  6.071E-20
7.798E+03  3.013E-31  6.233E-20
7.727E+03  3.122E-31  6.400E-20
7.656E+03  3.236E-31  6.571E-20
7.586E+03  3.353E-31  6.747E-20
7.516E+03  3.475E-31  6.927E-20
7.447E+03  3.601E-31  7.113E-20
7.379E+03  3.731E-31  7.304E-20
7.311E+03  3.867E-31  7.500E-20
7.244E+03  4.008E-31  7.701E-20
7.178E+03  4.154E-31  7.908E-20
7.112E+03  4.305E-31  8.121E-20
7.047E+03  4.462E-31  8.340E-20
6.982E+03  4.624E-31  8.564E-20
6.918E+03  4.792E-31  8.794E-20
6.855E+03  4.967E-31  9.031E-20
6.792E+03  5.148E-31  9.274E-20
6.730E+03  5.335E-31  9.524E-20
6.668E+03  5.530E-31  9.781E-20
6.607E+03  5.731E-31  1.004E-19
6.546E+03  5.941E-31  1.032E-19
6.486E+03  6.158E-31  1.059E-19
6.427E+03  6.383E-31  1.088E-19
6.368E+03  6.616E-31  1.118E-19
6.310E+03  6.858E-31  1.148E-19
6.252E+03  7.110E-31  1.179E-19
6.194E+03  7.370E-31  1.211E-19
6.138E+03  7.640E-31  1.244E-19
6.081E+03  7.921E-31  1.278E-19
6.026E+03  8.211E-31  1.312E-19
5.970E+03  8.513E-31  1.348E-19
5.916E+03  8.826E-31  1.385E-19
5.861E+03  9.150E-31  1.423E-19
5.808E+03  9.487E-31  1.461E-19
5.754E+03  9.836E-31  1.501E-19
5.702E+03  1.020E-30  1.542E-19
5.649E+03  1.057E-30  1.585E-19
5.598E+03  1.096E-30  1.628E-19
5.546E+03  1.137E-30  1.673E-19
5.495E+03  1.179E-30  1.718E-19
5.445E+03  1.222E-30  1.765E-19
5.395E+03  1.267E-30  1.814E-19
5.346E+03  1.314E-30  1.864E-19
5.297E+03  1.363E-30  1.915E-19
5.248E+03  1.413E-30  1.968E-19
5.200E+03  1.466E-30  2.022E-19
5.152E+03  1.520E-30  2.077E-19
5.105E+03  1.576E-30  2.135E-19
5.058E+03  1.635E-30  2.193E-19
5.012E+03  1.695E-30  2.254E-19
4.966E+03  1.758E-30  2.316E-19
4.920E+03  1.823E-30  2.380E-19
4.875E+03  1.891E-30  2.446E-19
4.831E+03  1.961E-30  2.513E-19
4.786E+03  2.034E-30  2.583E-19
4.742E+03  2.110E-30  2.654E-19
4.699E+03  2.188E-30  2.728E-19
4.656E+03  2.270E-30  2.803E-19
4.613E+03  2.354E-30  2.881E-19
4.571E+03  2.442E-30  2.961E-19
4.529E+03  2.533E-30  3.043E-19
4.487E+03  2.628E-30  3.128E-19
4.446E+03  2.726E-30  3.215E-19
4.406E+03  2.828E-30  3.304E-19
4.365E+03  2.933E-30  3.397E-19
4.325E+03  3.043E-30  3.491E-19
4.285E+03  3.157E-30  3.589E-19
4.246E+03  3.275E-30  3.689E-19
4.207E+03  3.398E-30  3.792E-19
4.169E+03  3.525E-30  3.898E-19
4.130E+03  3.657E-30  4.007E-19
4.093E+03  3.795E-30  4.119E-19
4.055E+03  3.937E-30  4.235E-19
4.018E+03  4.085E-30  4.354E-19
3.981E+03  4.238E-30  4.476E-19
3.945E+03  4.397E-30  4.601E-19
3.908E+03  4.562E-30  4.730E-19
3.873E+03  4.734E-30  4.863E-19
3.837E+03  4.912E-30  4.999E-19
3.802E+03  5.097E-30  5.140E-19
3.767E+03  5.289E-30  5.284E-19
3.733E+03  5.488E-30  5.433E-19
3.698E+03  5.695E-30  5.586E-19
3.664E+03  5.909E-30  5.744E-19
3.631E+03  6.133E-30  5.906E-19
3.597E+03  6.364E-30  6.073E-19
3.565E+03  6.605E-30  6.245E-19
3.532E+03  6.855E-30  6.422E-19
3.499E+03  7.114E-30  6.604E-19
3.467E+03  7.383E-30  6.791E-19
3.436E+03  7.663E-30  6.984E-19
3.404E+03  7.954E-30  7.182E-19
3.373E+03  8.256E-30  7.386E-19
3.342E+03  8.569E-30  7.596E-19
3.311E+03  8.895E-30  7.813E-19
3.281E+03  9.233E-30  8.035E-19
3.251E+03  9.584E-30  8.264E-19
3.221E+03  9.949E-30  8.500E-19
3.192E+03  1.033E-29  8.743E-19
3.162E+03  1.072E-29  8.993E-19
3.133E+03  1.113E-29  9.250E-19
3.105E+03  1.155E-29  9.515E-19
3.076E+03  1.199E-29  9.787E-19
3.048E+03  1.245E-29  1.007E-18
3.020E+03  1.293E-29  1.036E-18
2.992E+03  1.342E-29  1.065E-18
2.965E+03  1.393E-29  1.096E-18
2.938E+03  1.446E-29  1.127E-18
2.911E+03  1.502E-29  1.159E-18
2.884E+03  1.559E-29  1.193E-18
2.858E+03  1.618E-29  1.227E-18
2.831E+03  1.680E-29  1.262E-18
2.805E+03  1.744E-29  1.298E-18
2.780E+03  1.811E-29  1.335E-18
2.754E+03  1.881E-29  1.374E-18
2.729E+03  1.953E-29  1.413E-18
2.704E+03  2.027E-29  1.454E-18
2.679E+03  2.105E-29  1.496E-18
2.655E+03  2.186E-29  1.539E-18
2.630E+03  2.270E-29  1.584E-18
2.606E+03  2.357E-29  1.629E-18
2.582E+03  2.447E-29  1.676E-18
2.559E+03  2.542E-29  1.725E-18
2.535E+03  2.639E-29  1.775E-18
2.512E+03  2.741E-29  1.826E-18
2.489E+03  2.846E-29  1.879E-18
2.466E+03  2.956E-29  1.934E-18
2.443E+03  3.070E-29  1.990E-18
2.421E+03  3.188E-29  2.048E-18
2.399E+03  3.311E-29  2.107E-18
2.377E+03  3.439E-29  2.168E-18
2.355E+03  3.572E-29  2.231E-18
2.333E+03  3.710E-29  2.296E-18
2.312E+03  3.853E-29  2.363E-18
2.291E+03  4.002E-29  2.432E-18
2.270E+03  4.157E-29  2.503E-18
2.249E+03  4.318E-29  2.576E-18
2.228E+03  4.485E-29  2.651E-18
2.208E+03  4.658E-29  2.728E-18
2.188E+03  4.839E-29  2.808E-18
2.168E+03  5.026E-29  2.890E-18
2.148E+03  5.221E-29  2.974E-18
2.128E+03  5.423E-29  3.061E-18
2.109E+03  5.633E-29  3.151E-18
2.089E+03  5.852E-29  3.243E-18
2.070E+03  6.079E-29  3.338E-18
2.051E+03  6.315E-29  3.436E-18
2.032E+03  6.560E-29  3.536E-18
2.014E+03  6.814E-29  3.640E-18
1.995E+03  7.079E-29  3.746E-18
1.977E+03  7.353E-29  3.856E-18
1.959E+03  7.638E-29  3.969E-18
1.941E+03  7.935E-29  4.085E-18
1.923E+03  8.243E-29  4.205E-18
1.905E+03  8.563E-29  4.328E-18
1.888E+03  8.895E-29  4.455E-18
1.871E+03  9.241E-29  4.585E-18
1.854E+03  9.600E-29  4.720E-18
1.837E+03  9.973E-29  4.858E-18
1.820E+03  1.036E-28  5.001E-18
1.803E+03  1.076E-28  5.148E-18
1.786E+03  1.118E-28  5.299E-18
1.770E+03  1.162E-28  5.454E-18
1.754E+03  1.207E-28  5.614E-18
1.738E+03  1.254E-28  5.779E-18
1.722E+03  1.302E-28  5.949E-18
1.706E+03  1.353E-28  6.123E-18
1.690E+03  1.406E-28  6.303E-18
1.675E+03  1.460E-28  6.488E-18
1.660E+03  1.517E-28  6.679E-18
1.644E+03  1.576E-28  6.875E-18
1.629E+03  1.637E-28  7.077E-18
1.614E+03  1.701E-28  7.284E-18
1.600E+03  1.767E-28  7.498E-18
1.585E+03  1.836E-28  7.718E-18
1.570E+03  1.907E-28  7.944E-18
1.556E+03  1.981E-28  8.177E-18
1.542E+03  2.058E-28  8.417E-18
1.528E+03  2.138E-28  8.664E-18
1.514E+03  2.221E-28  8.918E-18
1.500E+03  2.307E-28  9.179E-18
1.486E+03  2.397E-28  9.448E-18
1.472E+03  2.490E-28  9.725E-18
1.459E+03  2.587E-28  1.001E-17
1.445E+03  2.687E-28  1.030E-17
1.432E+03  2.792E-28  1.061E-17
1.419E+03  2.900E-28  1.092E-17
1.406E+03  3.013E-28  1.124E-17
1.393E+03  3.129E-28  1.156E-17
1.380E+03  3.251E-28  1.190E-17
1.368E+03  3.377E-28  1.225E-17
1.355E+03  3.508E-28  1.261E-17
1.343E+03  3.644E-28  1.298E-17
1.330E+03  3.785E-28  1.336E-17
1.318E+03  3.932E-28  1.375E-17
1.306E+03  4.084E-28  1.415E-17
1.294E+03  4.242E-28  1.456E-17
1.282E+03  4.406E-28  1.499E-17
1.271E+03  4.576E-28  1.542E-17
1.259E+03  4.753E-28  1.587E-17
1.247E+03  4.937E-28  1.633E-17
1.236E+03  5.127E-28  1.681E-17
1.225E+03  5.325E-28  1.730E-17
1.213E+03  5.530E-28  1.780E-17
1.202E+03  5.743E-28  1.832E-17
1.191E+03  5.965E-28  1.885E-17
1.180E+03  6.194E-28  1.939E-17
1.169E+03  6.432E-28  1.995E-17
1.159E+03  6.680E-28  2.053E-17
1.148E+03  6.936E-28  2.112E-17
1.138E+03  7.203E-28  2.173E-17
1.127E+03  7.479E-28  2.236E-17
1.117E+03  7.766E-28  2.301E-17
1.107E+03  8.063E-28  2.367E-17
1.096E+03  8.372E-28  2.435E-17
1.086E+03  8.692E-28  2.505E-17
1.076E+03  9.024E-28  2.577E-17
1.067E+03  9.369E-28  2.651E-17
1.057E+03  9.726E-28  2.726E-17
1.047E+03  1.010E-27  2.804E-17
1.038E+03  1.048E-27  2.885E-17
1.028E+03  1.088E-27  2.967E-17
1.019E+03  1.129E-27  3.051E-17
1.009E+03  1.172E-27  3.138E-17
1.000E+03  1.217E-27  3.227E-17
9.908E+02  1.263E-27  3.319E-17
9.817E+02  1.311E-27  3.413E-17
9.727E+02  1.360E-27  3.510E-17
9.638E+02  1.412E-27  3.610E-17
9.550E+02  1.465E-27  3.712E-17
9.462E+02  1.521E-27  3.817E-17
9.376E+02  1.578E-27  3.925E-17
9.290E+02  1.638E-27  4.035E-17
9.204E+02  1.699E-27  4.149E-17
9.120E+02  1.763E-27  4.265E-17
