Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         8 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 4.000E-01 4.000E-01 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 4.000E-01 = <U> 
     mmp83 = radfield
 2.554E-25 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  5.166E-28  1.740E-20 COBE-DIRBE
2.220E+00  9.422E-28  5.548E-20 COBE-DIRBE
3.530E+00  1.058E-27  9.906E-20 COBE-DIRBE
4.880E+00  1.010E-27  1.307E-19 COBE-DIRBE
1.229E+01  9.553E-27  3.114E-18 COBE-DIRBE
2.079E+01  1.315E-26  7.249E-18 COBE-DIRBE
5.599E+01  2.301E-26  3.418E-17 COBE-DIRBE
9.770E+01  9.647E-26  2.500E-16 COBE-DIRBE
1.479E+02  1.852E-25  7.267E-16 COBE-DIRBE
2.479E+02  1.326E-25  8.716E-16 COBE-DIRBE
1.200E+01  9.758E-27  3.106E-18 IRAS
2.500E+01  1.353E-26  8.972E-18 IRAS
6.000E+01  2.657E-26  4.228E-17 IRAS
1.000E+02  1.026E-25  2.722E-16 IRAS
3.550E+00  1.060E-27  9.981E-20 SST-IRAC
4.493E+00  1.024E-27  1.220E-19 SST-IRAC
5.731E+00  1.043E-27  1.586E-19 SST-IRAC
7.872E+00  5.879E-27  1.228E-18 SST-IRAC
2.368E+01  1.303E-26  8.185E-18 SST-MIPS
7.142E+01  3.615E-26  6.848E-17 SST-MIPS
1.559E+02  1.875E-25  7.754E-16 SST-MIPS
1.600E+01  8.074E-27  3.427E-18 SST-IRSPU
2.200E+01  1.377E-26  8.037E-18 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  1.377E-31  3.654E-20
9.908E+03  1.427E-31  3.751E-20
9.817E+03  1.479E-31  3.851E-20
9.727E+03  1.532E-31  3.953E-20
9.638E+03  1.587E-31  4.059E-20
9.550E+03  1.645E-31  4.167E-20
9.462E+03  1.704E-31  4.278E-20
9.376E+03  1.766E-31  4.391E-20
9.290E+03  1.830E-31  4.508E-20
9.204E+03  1.896E-31  4.628E-20
9.120E+03  1.964E-31  4.751E-20
9.036E+03  2.035E-31  4.878E-20
8.954E+03  2.108E-31  5.007E-20
8.872E+03  2.184E-31  5.139E-20
8.790E+03  2.262E-31  5.275E-20
8.710E+03  2.343E-31  5.414E-20
8.630E+03  2.428E-31  5.557E-20
8.551E+03  2.515E-31  5.704E-20
8.472E+03  2.605E-31  5.855E-20
8.395E+03  2.699E-31  6.010E-20
8.318E+03  2.796E-31  6.169E-20
8.241E+03  2.897E-31  6.333E-20
8.166E+03  3.001E-31  6.501E-20
8.091E+03  3.110E-31  6.674E-20
8.017E+03  3.222E-31  6.852E-20
7.943E+03  3.338E-31  7.034E-20
7.870E+03  3.459E-31  7.221E-20
7.798E+03  3.584E-31  7.414E-20
7.727E+03  3.714E-31  7.612E-20
7.656E+03  3.848E-31  7.815E-20
7.586E+03  3.988E-31  8.024E-20
7.516E+03  4.132E-31  8.238E-20
7.447E+03  4.282E-31  8.459E-20
7.379E+03  4.437E-31  8.685E-20
7.311E+03  4.598E-31  8.918E-20
7.244E+03  4.765E-31  9.157E-20
7.178E+03  4.938E-31  9.402E-20
7.112E+03  5.118E-31  9.655E-20
7.047E+03  5.304E-31  9.914E-20
6.982E+03  5.497E-31  1.018E-19
6.918E+03  5.696E-31  1.045E-19
6.855E+03  5.903E-31  1.073E-19
6.792E+03  6.118E-31  1.102E-19
6.730E+03  6.341E-31  1.132E-19
6.668E+03  6.571E-31  1.162E-19
6.607E+03  6.811E-31  1.194E-19
6.546E+03  7.059E-31  1.226E-19
6.486E+03  7.317E-31  1.259E-19
6.427E+03  7.584E-31  1.293E-19
6.368E+03  7.860E-31  1.328E-19
6.310E+03  8.148E-31  1.364E-19
6.252E+03  8.446E-31  1.401E-19
6.194E+03  8.754E-31  1.438E-19
6.138E+03  9.075E-31  1.477E-19
6.081E+03  9.407E-31  1.518E-19
6.026E+03  9.752E-31  1.559E-19
5.970E+03  1.011E-30  1.601E-19
5.916E+03  1.048E-30  1.645E-19
5.861E+03  1.086E-30  1.689E-19
5.808E+03  1.126E-30  1.735E-19
5.754E+03  1.168E-30  1.782E-19
5.702E+03  1.211E-30  1.831E-19
5.649E+03  1.255E-30  1.881E-19
5.598E+03  1.301E-30  1.932E-19
5.546E+03  1.349E-30  1.985E-19
5.495E+03  1.399E-30  2.039E-19
5.445E+03  1.451E-30  2.095E-19
5.395E+03  1.504E-30  2.152E-19
5.346E+03  1.560E-30  2.211E-19
5.297E+03  1.617E-30  2.272E-19
5.248E+03  1.677E-30  2.334E-19
5.200E+03  1.739E-30  2.398E-19
5.152E+03  1.803E-30  2.464E-19
5.105E+03  1.870E-30  2.532E-19
5.058E+03  1.939E-30  2.601E-19
5.012E+03  2.011E-30  2.673E-19
4.966E+03  2.085E-30  2.746E-19
4.920E+03  2.162E-30  2.822E-19
4.875E+03  2.242E-30  2.899E-19
4.831E+03  2.325E-30  2.979E-19
