Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         8 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 4.000E-01 1.000E+05 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 4.972E+00 = <U> 
     mmp83 = radfield
 3.167E-24 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  6.885E-27  2.319E-19 COBE-DIRBE
2.220E+00  1.189E-26  7.003E-19 COBE-DIRBE
3.530E+00  1.317E-26  1.234E-18 COBE-DIRBE
4.880E+00  1.256E-26  1.626E-18 COBE-DIRBE
1.229E+01  1.738E-25  5.664E-17 COBE-DIRBE
2.079E+01  6.979E-25  3.849E-16 COBE-DIRBE
5.599E+01  1.489E-24  2.211E-15 COBE-DIRBE
9.770E+01  1.270E-24  3.290E-15 COBE-DIRBE
1.479E+02  8.948E-25  3.510E-15 COBE-DIRBE
2.479E+02  3.294E-25  2.166E-15 COBE-DIRBE
1.200E+01  1.520E-25  4.839E-17 IRAS
2.500E+01  8.596E-25  5.700E-16 IRAS
6.000E+01  1.474E-24  2.346E-15 IRAS
1.000E+02  1.252E-24  3.321E-15 IRAS
3.550E+00  1.320E-26  1.243E-18 SST-IRAC
4.493E+00  1.273E-26  1.517E-18 SST-IRAC
5.731E+00  1.300E-26  1.976E-18 SST-IRAC
7.872E+00  7.560E-26  1.579E-17 SST-IRAC
2.368E+01  8.493E-25  5.335E-16 SST-MIPS
7.142E+01  1.316E-24  2.493E-15 SST-MIPS
1.559E+02  7.917E-25  3.274E-15 SST-MIPS
1.600E+01  2.763E-25  1.173E-16 SST-IRSPU
2.200E+01  8.325E-25  4.858E-16 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  1.693E-31  4.492E-20
9.908E+03  1.755E-31  4.612E-20
9.817E+03  1.818E-31  4.735E-20
9.727E+03  1.884E-31  4.861E-20
9.638E+03  1.952E-31  4.991E-20
9.550E+03  2.023E-31  5.124E-20
9.462E+03  2.096E-31  5.261E-20
9.376E+03  2.172E-31  5.402E-20
9.290E+03  2.251E-31  5.546E-20
9.204E+03  2.332E-31  5.694E-20
9.120E+03  2.417E-31  5.846E-20
9.036E+03  2.504E-31  6.002E-20
8.954E+03  2.594E-31  6.162E-20
8.872E+03  2.688E-31  6.325E-20
8.790E+03  2.784E-31  6.492E-20
8.710E+03  2.885E-31  6.664E-20
8.630E+03  2.989E-31  6.841E-20
8.551E+03  3.096E-31  7.023E-20
8.472E+03  3.208E-31  7.210E-20
8.395E+03  3.324E-31  7.401E-20
8.318E+03  3.444E-31  7.598E-20
8.241E+03  3.568E-31  7.801E-20
8.166E+03  3.697E-31  8.009E-20
8.091E+03  3.831E-31  8.222E-20
8.017E+03  3.970E-31  8.442E-20
7.943E+03  4.114E-31  8.668E-20
7.870E+03  4.263E-31  8.899E-20
7.798E+03  4.417E-31  9.138E-20
7.727E+03  4.578E-31  9.382E-20
7.656E+03  4.744E-31  9.634E-20
7.586E+03  4.916E-31  9.893E-20
7.516E+03  5.095E-31  1.016E-19
7.447E+03  5.280E-31  1.043E-19
7.379E+03  5.472E-31  1.071E-19
7.311E+03  5.672E-31  1.100E-19
7.244E+03  5.878E-31  1.130E-19
7.178E+03  6.093E-31  1.160E-19
7.112E+03  6.315E-31  1.191E-19
7.047E+03  6.545E-31  1.223E-19
6.982E+03  6.784E-31  1.257E-19
6.918E+03  7.031E-31  1.290E-19
6.855E+03  7.288E-31  1.325E-19
6.792E+03  7.554E-31  1.361E-19
6.730E+03  7.830E-31  1.398E-19
6.668E+03  8.116E-31  1.435E-19
6.607E+03  8.413E-31  1.474E-19
6.546E+03  8.720E-31  1.514E-19
6.486E+03  9.040E-31  1.555E-19
6.427E+03  9.371E-31  1.598E-19
6.368E+03  9.714E-31  1.641E-19
6.310E+03  1.007E-30  1.685E-19
6.252E+03  1.044E-30  1.731E-19
6.194E+03  1.082E-30  1.778E-19
6.138E+03  1.122E-30  1.827E-19
6.081E+03  1.163E-30  1.877E-19
6.026E+03  1.206E-30  1.928E-19
5.970E+03  1.251E-30  1.981E-19
5.916E+03  1.297E-30  2.035E-19
5.861E+03  1.344E-30  2.090E-19
5.808E+03  1.394E-30  2.148E-19
5.754E+03  1.445E-30  2.206E-19
5.702E+03  1.499E-30  2.267E-19
5.649E+03  1.554E-30  2.329E-19
5.598E+03  1.612E-30  2.393E-19
5.546E+03  1.671E-30  2.459E-19
5.495E+03  1.733E-30  2.526E-19
5.445E+03  1.797E-30  2.596E-19
5.395E+03  1.864E-30  2.667E-19
5.346E+03  1.933E-30  2.741E-19
5.297E+03  2.005E-30  2.816E-19
5.248E+03  2.079E-30  2.894E-19
5.200E+03  2.156E-30  2.974E-19
5.152E+03  2.236E-30  3.056E-19
5.105E+03  2.319E-30  3.140E-19
5.058E+03  2.405E-30  3.227E-19
5.012E+03  2.495E-30  3.317E-19
4.966E+03  2.588E-30  3.408E-19
4.920E+03  2.684E-30  3.503E-19
4.875E+03  2.784E-30  3.600E-19
4.831E+03  2.887E-30  3.700E-19
4.786E+03  2.995E-30  3.802E-19
4.742E+03  3.107E-30  3.908E-19
4.699E+03  3.222E-30  4.017E-19
4.656E+03  3.343E-30  4.128E-19
4.613E+03  3.468E-30  4.243E-19
4.571E+03  3.597E-30  4.362E-19
4.529E+03  3.732E-30  4.483E-19
4.487E+03  3.872E-30  4.608E-19
4.446E+03  4.016E-30  4.737E-19
4.406E+03  4.167E-30  4.870E-19
4.365E+03  4.323E-30  5.006E-19
4.325E+03  4.485E-30  5.146E-19
4.285E+03  4.654E-30  5.290E-19
4.246E+03  4.829E-30  5.439E-19
4.207E+03  5.010E-30  5.591E-19
4.169E+03  5.198E-30  5.748E-19
4.130E+03  5.394E-30  5.910E-19
4.093E+03  5.597E-30  6.076E-19
4.055E+03  5.808E-30  6.247E-19
4.018E+03  6.026E-30  6.423E-19
3.981E+03  6.253E-30  6.604E-19
3.945E+03  6.489E-30  6.789E-19
3.908E+03  6.733E-30  6.980E-19
3.873E+03  6.987E-30  7.177E-19
3.837E+03  7.250E-30  7.380E-19
3.802E+03  7.524E-30  7.588E-19
3.767E+03  7.808E-30  7.802E-19
3.733E+03  8.104E-30  8.023E-19
3.698E+03  8.410E-30  8.250E-19
3.664E+03  8.728E-30  8.484E-19
3.631E+03  9.059E-30  8.725E-19
3.597E+03  9.402E-30  8.972E-19
3.565E+03  9.759E-30  9.227E-19
3.532E+03  1.013E-29  9.490E-19
3.499E+03  1.051E-29  9.760E-19
3.467E+03  1.091E-29  1.004E-18
3.436E+03  1.133E-29  1.032E-18
3.404E+03  1.176E-29  1.062E-18
3.373E+03  1.221E-29  1.092E-18
3.342E+03  1.267E-29  1.123E-18
3.311E+03  1.316E-29  1.155E-18
3.281E+03  1.366E-29  1.189E-18
3.251E+03  1.418E-29  1.223E-18
3.221E+03  1.472E-29  1.258E-18
3.192E+03  1.528E-29  1.294E-18
3.162E+03  1.587E-29  1.331E-18
3.133E+03  1.647E-29  1.369E-18
3.105E+03  1.710E-29  1.408E-18
3.076E+03  1.776E-29  1.449E-18
3.048E+03  1.844E-29  1.491E-18
3.020E+03  1.915E-29  1.534E-18
2.992E+03  1.988E-29  1.578E-18
2.965E+03  2.064E-29  1.623E-18
2.938E+03  2.143E-29  1.670E-18
2.911E+03  2.225E-29  1.718E-18
2.884E+03  2.310E-29  1.767E-18
2.858E+03  2.399E-29  1.818E-18
2.831E+03  2.490E-29  1.870E-18
2.805E+03  2.586E-29  1.924E-18
2.780E+03  2.685E-29  1.980E-18
2.754E+03  2.788E-29  2.037E-18
2.729E+03  2.896E-29  2.096E-18
2.704E+03  3.007E-29  2.157E-18
2.679E+03  3.123E-29  2.219E-18
2.655E+03  3.243E-29  2.283E-18
2.630E+03  3.368E-29  2.350E-18
2.606E+03  3.498E-29  2.418E-18
2.582E+03  3.632E-29  2.488E-18
2.559E+03  3.772E-29  2.560E-18
2.535E+03  3.918E-29  2.635E-18
2.512E+03  4.069E-29  2.711E-18
2.489E+03  4.227E-29  2.790E-18
2.466E+03  4.390E-29  2.872E-18
2.443E+03  4.560E-29  2.955E-18
2.421E+03  4.736E-29  3.041E-18
2.399E+03  4.919E-29  3.130E-18
2.377E+03  5.110E-29  3.222E-18
2.355E+03  5.308E-29  3.316E-18
2.333E+03  5.513E-29  3.413E-18
2.312E+03  5.727E-29  3.512E-18
2.291E+03  5.949E-29  3.615E-18
2.270E+03  6.180E-29  3.721E-18
2.249E+03  6.420E-29  3.830E-18
2.228E+03  6.669E-29  3.942E-18
2.208E+03  6.928E-29  4.058E-18
2.188E+03  7.197E-29  4.176E-18
2.168E+03  7.476E-29  4.299E-18
2.148E+03  7.767E-29  4.425E-18
2.128E+03  8.069E-29  4.555E-18
2.109E+03  8.382E-29  4.689E-18
2.089E+03  8.708E-29  4.826E-18
2.070E+03  9.047E-29  4.968E-18
2.051E+03  9.399E-29  5.114E-18
2.032E+03  9.765E-29  5.264E-18
2.014E+03  1.014E-28  5.419E-18
1.995E+03  1.054E-28  5.578E-18
1.977E+03  1.095E-28  5.742E-18
1.959E+03  1.138E-28  5.911E-18
1.941E+03  1.182E-28  6.084E-18
1.923E+03  1.228E-28  6.263E-18
1.905E+03  1.276E-28  6.447E-18
1.888E+03  1.325E-28  6.637E-18
1.871E+03  1.377E-28  6.832E-18
1.854E+03  1.430E-28  7.033E-18
1.837E+03  1.486E-28  7.240E-18
1.820E+03  1.544E-28  7.453E-18
1.803E+03  1.604E-28  7.672E-18
1.786E+03  1.667E-28  7.898E-18
1.770E+03  1.732E-28  8.131E-18
1.754E+03  1.799E-28  8.370E-18
1.738E+03  1.869E-28  8.616E-18
1.722E+03  1.942E-28  8.870E-18
1.706E+03  2.018E-28  9.131E-18
1.690E+03  2.096E-28  9.400E-18
1.675E+03  2.178E-28  9.677E-18
1.660E+03  2.263E-28  9.961E-18
1.644E+03  2.351E-28  1.025E-17
1.629E+03  2.443E-28  1.056E-17
1.614E+03  2.538E-28  1.087E-17
1.600E+03  2.636E-28  1.119E-17
1.585E+03  2.739E-28  1.152E-17
1.570E+03  2.846E-28  1.185E-17
1.556E+03  2.956E-28  1.220E-17
1.542E+03  3.071E-28  1.256E-17
1.528E+03  3.191E-28  1.293E-17
1.514E+03  3.315E-28  1.331E-17
1.500E+03  3.444E-28  1.370E-17
1.486E+03  3.578E-28  1.410E-17
1.472E+03  3.717E-28  1.452E-17
1.459E+03  3.862E-28  1.494E-17
1.445E+03  4.012E-28  1.538E-17
1.432E+03  4.168E-28  1.583E-17
1.419E+03  4.330E-28  1.630E-17
1.406E+03  4.498E-28  1.678E-17
1.393E+03  4.673E-28  1.727E-17
1.380E+03  4.854E-28  1.777E-17
1.368E+03  5.043E-28  1.829E-17
1.355E+03  5.238E-28  1.883E-17
1.343E+03  5.442E-28  1.938E-17
1.330E+03  5.653E-28  1.995E-17
1.318E+03  5.872E-28  2.053E-17
1.306E+03  6.099E-28  2.113E-17
1.294E+03  6.335E-28  2.175E-17
1.282E+03  6.581E-28  2.238E-17
1.271E+03  6.835E-28  2.304E-17
1.259E+03  7.100E-28  2.371E-17
1.247E+03  7.374E-28  2.440E-17
1.236E+03  7.659E-28  2.511E-17
1.225E+03  7.954E-28  2.584E-17
1.213E+03  8.261E-28  2.659E-17
1.202E+03  8.580E-28  2.736E-17
1.191E+03  8.910E-28  2.816E-17
1.180E+03  9.253E-28  2.897E-17
1.169E+03  9.610E-28  2.981E-17
1.159E+03  9.979E-28  3.067E-17
1.148E+03  1.036E-27  3.156E-17
1.138E+03  1.076E-27  3.247E-17
1.127E+03  1.117E-27  3.341E-17
1.117E+03  1.160E-27  3.437E-17
1.107E+03  1.205E-27  3.536E-17
1.096E+03  1.251E-27  3.638E-17
1.086E+03  1.299E-27  3.743E-17
1.076E+03  1.348E-27  3.850E-17
1.067E+03  1.400E-27  3.960E-17
1.057E+03  1.453E-27  4.074E-17
1.047E+03  1.509E-27  4.190E-17
1.038E+03  1.566E-27  4.310E-17
1.028E+03  1.626E-27  4.433E-17
1.019E+03  1.687E-27  4.559E-17
1.009E+03  1.751E-27  4.689E-17
1.000E+03  1.818E-27  4.822E-17
9.908E+02  1.887E-27  4.959E-17
9.817E+02  1.959E-27  5.100E-17
9.727E+02  2.033E-27  5.245E-17
9.638E+02  2.110E-27  5.394E-17
9.550E+02  2.190E-27  5.547E-17
9.462E+02  2.272E-27  5.704E-17
9.376E+02  2.358E-27  5.865E-17
9.290E+02  2.447E-27  6.030E-17
9.204E+02  2.539E-27  6.200E-17
9.120E+02  2.635E-27  6.374E-17
9.036E+02  2.734E-27  6.553E-17
8.954E+02  2.836E-27  6.736E-17
8.872E+02  2.942E-27  6.924E-17
8.790E+02  3.052E-27  7.117E-17
8.710E+02  3.166E-27  7.315E-17
8.630E+02  3.284E-27  7.519E-17
8.551E+02  3.407E-27  7.727E-17
8.472E+02  3.533E-27  7.941E-17
8.395E+02  3.665E-27  8.160E-17
8.318E+02  3.800E-27  8.385E-17
8.241E+02  3.941E-27  8.615E-17
8.166E+02  4.087E-27  8.852E-17
8.091E+02  4.237E-27  9.094E-17
8.017E+02  4.393E-27  9.342E-17
7.943E+02  4.555E-27  9.597E-17
7.870E+02  4.722E-27  9.858E-17
7.798E+02  4.895E-27  1.013E-16
