Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         7 = grain model
 4.000E-08 4.000E-01 4.500E-05 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 1.500E-05 = a_02 (cm) , sigma_2 , b_C2/0.92
 5.000E-01 1.000E+04 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 4.952E+00 = <U> 
     mmp83 = radfield
 2.264E-23 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  9.071E-26  3.056E-18 COBE-DIRBE
2.220E+00  1.160E-25  6.832E-18 COBE-DIRBE
3.530E+00  7.552E-25  7.071E-17 COBE-DIRBE
4.880E+00  3.524E-25  4.562E-17 COBE-DIRBE
1.229E+01  3.266E-24  1.065E-15 COBE-DIRBE
2.079E+01  3.261E-24  1.799E-15 COBE-DIRBE
5.599E+01  9.951E-24  1.478E-14 COBE-DIRBE
9.770E+01  7.697E-24  1.995E-14 COBE-DIRBE
1.479E+02  4.972E-24  1.951E-14 COBE-DIRBE
2.479E+02  1.570E-24  1.032E-14 COBE-DIRBE
1.200E+01  3.441E-24  1.095E-15 IRAS
2.500E+01  3.839E-24  2.546E-15 IRAS
6.000E+01  9.772E-24  1.555E-14 IRAS
1.000E+02  7.551E-24  2.003E-14 IRAS
3.550E+00  8.781E-25  8.269E-17 SST-IRAC
4.493E+00  2.468E-25  2.942E-17 SST-IRAC
5.731E+00  2.098E-24  3.189E-16 SST-IRAC
7.872E+00  4.981E-24  1.040E-15 SST-IRAC
2.368E+01  3.383E-24  2.125E-15 SST-MIPS
7.142E+01  8.440E-24  1.599E-14 SST-MIPS
1.559E+02  4.312E-24  1.783E-14 SST-MIPS
1.600E+01  2.752E-24  1.168E-15 SST-IRSPU
2.200E+01  3.353E-24  1.957E-15 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  5.746E-31  1.524E-19
9.908E+03  5.956E-31  1.565E-19
9.817E+03  6.173E-31  1.608E-19
9.727E+03  6.398E-31  1.651E-19
9.638E+03  6.632E-31  1.695E-19
9.550E+03  6.874E-31  1.741E-19
9.462E+03  7.124E-31  1.788E-19
9.376E+03  7.384E-31  1.836E-19
9.290E+03  7.654E-31  1.886E-19
9.204E+03  7.933E-31  1.937E-19
