Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
        10 = grain model
 4.000E-08 4.000E-01 5.000E-06 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 5.000E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 8.000E-01 8.000E-01 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 8.000E-01 = <U> 
     mmp83 = radfield
 8.370E-25 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  2.318E-27  7.809E-20 COBE-DIRBE
2.220E+00  3.120E-27  1.837E-19 COBE-DIRBE
3.530E+00  1.640E-26  1.536E-18 COBE-DIRBE
4.880E+00  7.893E-27  1.022E-18 COBE-DIRBE
1.229E+01  7.397E-26  2.412E-17 COBE-DIRBE
2.079E+01  7.345E-26  4.050E-17 COBE-DIRBE
5.599E+01  1.487E-25  2.208E-16 COBE-DIRBE
9.770E+01  3.834E-25  9.936E-16 COBE-DIRBE
1.479E+02  5.019E-25  1.969E-15 COBE-DIRBE
2.479E+02  2.604E-25  1.712E-15 COBE-DIRBE
1.200E+01  7.680E-26  2.445E-17 IRAS
2.500E+01  7.284E-26  4.830E-17 IRAS
6.000E+01  1.642E-25  2.614E-16 IRAS
1.000E+02  3.976E-25  1.055E-15 IRAS
3.550E+00  1.895E-26  1.784E-18 SST-IRAC
4.493E+00  5.782E-27  6.891E-19 SST-IRAC
5.731E+00  4.288E-26  6.519E-18 SST-IRAC
7.872E+00  1.033E-25  2.157E-17 SST-IRAC
2.368E+01  6.662E-26  4.185E-17 SST-MIPS
7.142E+01  1.990E-25  3.770E-16 SST-MIPS
1.559E+02  4.828E-25  1.996E-15 SST-MIPS
1.600E+01  6.412E-26  2.721E-17 SST-IRSPU
2.200E+01  6.928E-26  4.043E-17 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  1.728E-31  4.583E-20
9.908E+03  1.791E-31  4.706E-20
9.817E+03  1.856E-31  4.832E-20
9.727E+03  1.923E-31  4.962E-20
9.638E+03  1.993E-31  5.094E-20
9.550E+03  2.065E-31  5.231E-20
9.462E+03  2.140E-31  5.371E-20
9.376E+03  2.218E-31  5.515E-20
9.290E+03  2.298E-31  5.663E-20
9.204E+03  2.381E-31  5.814E-20
9.120E+03  2.468E-31  5.970E-20
9.036E+03  2.557E-31  6.130E-20
8.954E+03  2.650E-31  6.294E-20
