Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         1 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 8.000E-01 1.000E+04 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 7.547E+00 = <U> 
     mmp83 = radfield
 3.371E-23 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  1.267E-26  4.267E-19 COBE-DIRBE
2.220E+00  1.502E-26  8.844E-19 COBE-DIRBE
3.530E+00  9.227E-26  8.640E-18 COBE-DIRBE
4.880E+00  4.267E-26  5.524E-18 COBE-DIRBE
1.229E+01  1.325E-24  4.318E-16 COBE-DIRBE
2.079E+01  3.785E-24  2.087E-15 COBE-DIRBE
5.599E+01  1.951E-23  2.898E-14 COBE-DIRBE
9.770E+01  1.367E-23  3.544E-14 COBE-DIRBE
1.479E+02  7.891E-24  3.096E-14 COBE-DIRBE
2.479E+02  2.207E-24  1.451E-14 COBE-DIRBE
1.200E+01  1.155E-24  3.678E-16 IRAS
2.500E+01  5.762E-24  3.821E-15 IRAS
6.000E+01  1.902E-23  3.027E-14 IRAS
1.000E+02  1.332E-23  3.534E-14 IRAS
3.550E+00  1.073E-25  1.011E-17 SST-IRAC
4.493E+00  2.952E-26  3.518E-18 SST-IRAC
5.731E+00  2.886E-25  4.387E-17 SST-IRAC
7.872E+00  1.067E-24  2.228E-16 SST-IRAC
2.368E+01  5.111E-24  3.210E-15 SST-MIPS
7.142E+01  1.598E-23  3.027E-14 SST-MIPS
1.559E+02  6.690E-24  2.767E-14 SST-MIPS
1.600E+01  1.917E-24  8.137E-16 SST-IRSPU
2.200E+01  4.746E-24  2.770E-15 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  6.240E-31  1.655E-19
9.908E+03  6.469E-31  1.700E-19
9.817E+03  6.706E-31  1.746E-19
9.727E+03  6.952E-31  1.794E-19
9.638E+03  7.207E-31  1.843E-19
9.550E+03  7.471E-31  1.893E-19
9.462E+03  7.745E-31  1.944E-19
9.376E+03  8.029E-31  1.997E-19
9.290E+03  8.324E-31  2.051E-19
9.204E+03  8.630E-31  2.107E-19
9.120E+03  8.946E-31  2.164E-19
9.036E+03  9.274E-31  2.223E-19
8.954E+03  9.614E-31  2.283E-19
8.872E+03  9.965E-31  2.345E-19
8.790E+03  1.033E-30  2.408E-19
8.710E+03  1.071E-30  2.473E-19
8.630E+03  1.110E-30  2.540E-19
8.551E+03  1.150E-30  2.609E-19
8.472E+03  1.192E-30  2.680E-19
8.395E+03  1.236E-30  2.753E-19
8.318E+03  1.281E-30  2.827E-19
8.241E+03  1.328E-30  2.904E-19
8.166E+03  1.377E-30  2.983E-19
8.091E+03  1.428E-30  3.064E-19
8.017E+03  1.480E-30  3.148E-19
7.943E+03  1.535E-30  3.234E-19
7.870E+03  1.591E-30  3.322E-19
7.798E+03  1.650E-30  3.413E-19
7.727E+03  1.710E-30  3.506E-19
7.656E+03  1.774E-30  3.602E-19
7.586E+03  1.839E-30  3.700E-19
7.516E+03  1.907E-30  3.802E-19
7.447E+03  1.977E-30  3.906E-19
7.379E+03  2.050E-30  4.013E-19
7.311E+03  2.126E-30  4.123E-19
7.244E+03  2.205E-30  4.236E-19
7.178E+03  2.286E-30  4.353E-19
7.112E+03  2.371E-30  4.473E-19
7.047E+03  2.459E-30  4.596E-19
6.982E+03  2.550E-30  4.722E-19
6.918E+03  2.644E-30  4.852E-19
6.855E+03  2.742E-30  4.986E-19
6.792E+03  2.843E-30  5.123E-19
6.730E+03  2.949E-30  5.264E-19
6.668E+03  3.058E-30  5.409E-19
6.607E+03  3.172E-30  5.559E-19
6.546E+03  3.290E-30  5.713E-19
6.486E+03  3.412E-30  5.871E-19
6.427E+03  3.539E-30  6.033E-19
6.368E+03  3.671E-30  6.200E-19
6.310E+03  3.807E-30  6.372E-19
6.252E+03  3.949E-30  6.549E-19
6.194E+03  4.096E-30  6.731E-19
6.138E+03  4.249E-30  6.918E-19
6.081E+03  4.408E-30  7.111E-19
6.026E+03  4.573E-30  7.309E-19
5.970E+03  4.744E-30  7.512E-19
5.916E+03  4.921E-30  7.722E-19
5.861E+03  5.105E-30  7.937E-19
5.808E+03  5.296E-30  8.159E-19
5.754E+03  5.495E-30  8.387E-19
5.702E+03  5.701E-30  8.622E-19
5.649E+03  5.914E-30  8.863E-19
5.598E+03  6.136E-30  9.111E-19
5.546E+03  6.367E-30  9.367E-19
5.495E+03  6.606E-30  9.630E-19
5.445E+03  6.854E-30  9.900E-19
5.395E+03  7.112E-30  1.018E-18
5.346E+03  7.380E-30  1.046E-18
5.297E+03  7.658E-30  1.076E-18
5.248E+03  7.946E-30  1.106E-18
5.200E+03  8.246E-30  1.137E-18
5.152E+03  8.557E-30  1.169E-18
5.105E+03  8.880E-30  1.202E-18
5.058E+03  9.215E-30  1.236E-18
5.012E+03  9.563E-30  1.271E-18
4.966E+03  9.924E-30  1.307E-18
4.920E+03  1.030E-29  1.344E-18
4.875E+03  1.069E-29  1.382E-18
4.831E+03  1.109E-29  1.421E-18
4.786E+03  1.151E-29  1.462E-18
4.742E+03  1.195E-29  1.503E-18
4.699E+03  1.240E-29  1.546E-18
4.656E+03  1.287E-29  1.590E-18
4.613E+03  1.336E-29  1.635E-18
4.571E+03  1.387E-29  1.681E-18
4.529E+03  1.439E-29  1.729E-18
4.487E+03  1.494E-29  1.779E-18
4.446E+03  1.551E-29  1.829E-18
4.406E+03  1.610E-29  1.882E-18
4.365E+03  1.671E-29  1.935E-18
4.325E+03  1.735E-29  1.991E-18
4.285E+03  1.801E-29  2.048E-18
4.246E+03  1.870E-29  2.106E-18
4.207E+03  1.941E-29  2.167E-18
4.169E+03  2.016E-29  2.229E-18
4.130E+03  2.093E-29  2.293E-18
4.093E+03  2.173E-29  2.359E-18
4.055E+03  2.256E-29  2.426E-18
4.018E+03  2.342E-29  2.496E-18
3.981E+03  2.432E-29  2.568E-18
3.945E+03  2.525E-29  2.642E-18
3.908E+03  2.621E-29  2.718E-18
3.873E+03  2.722E-29  2.796E-18
3.837E+03  2.826E-29  2.877E-18
3.802E+03  2.935E-29  2.960E-18
3.767E+03  3.047E-29  3.045E-18
3.733E+03  3.165E-29  3.133E-18
3.698E+03  3.286E-29  3.224E-18
3.664E+03  3.413E-29  3.317E-18
3.631E+03  3.544E-29  3.413E-18
3.597E+03  3.681E-29  3.512E-18
3.565E+03  3.822E-29  3.614E-18
3.532E+03  3.970E-29  3.719E-18
3.499E+03  4.123E-29  3.827E-18
3.467E+03  4.283E-29  3.939E-18
3.436E+03  4.448E-29  4.054E-18
3.404E+03  4.620E-29  4.172E-18
3.373E+03  4.799E-29  4.294E-18
3.342E+03  4.985E-29  4.419E-18
3.311E+03  5.178E-29  4.548E-18
3.281E+03  5.379E-29  4.681E-18
3.251E+03  5.588E-29  4.818E-18
3.221E+03  5.804E-29  4.959E-18
3.192E+03  6.030E-29  5.105E-18
3.162E+03  6.264E-29  5.255E-18
3.133E+03  6.508E-29  5.409E-18
3.105E+03  6.761E-29  5.568E-18
3.076E+03  7.025E-29  5.732E-18
3.048E+03  7.298E-29  5.900E-18
3.020E+03  7.583E-29  6.074E-18
2.992E+03  7.878E-29  6.253E-18
2.965E+03  8.185E-29  6.437E-18
2.938E+03  8.503E-29  6.626E-18
2.911E+03  8.835E-29  6.821E-18
2.884E+03  9.179E-29  7.022E-18
2.858E+03  9.537E-29  7.229E-18
2.831E+03  9.910E-29  7.443E-18
2.805E+03  1.030E-28  7.662E-18
2.780E+03  1.070E-28  7.889E-18
2.754E+03  1.112E-28  8.122E-18
